id	stk_code	stk_name	stk_shares_idx	stk_float_idx	stk_capp_idx	stk_price	stk_curr	stk_mult	curr_conv	stk_curr_conv	stk_mcap_idx	specs_id	dates	times	stk_dcap_idx	stk_dcurr_conv	stk_dprice	idx_curr	idx_code	new_shares	stk_wgt	nxt_shares_idx	nxt_float_idx	nxt_capp_idx	nxt_price	nxt_adjust	to_adjust	nxt_date	nstk_curr_conv	nstk_mcap_idx	nxt_free_float	nxt_capping
29	PVR	PVN Premier Recreation	35000000	100	100	3600	VND	1	1	3600	126000000000	0	2012-09-13	12:23:11				VND	PVNASPRVND	0	0.2536031787132541						0	0000-00-00	0	0	0	0
30	PXI	Petroleum Industrial and Civil Construction	30000000	100	100	4000	VND	1	1	4000	120000000000	0	2012-09-13	12:23:11				VND	PVNASPRVND	0	0.24152683686976578						0	0000-00-00	0	0	0	0
31	PXM	Mientrung Petroleum Construction	18000000	100	100	3200	VND	1	1	3200	57600000000	0	2012-09-13	12:23:11				VND	PVNASPRVND	0	0.11593288169748758						0	0000-00-00	0	0	0	0
32	PSI	PVN Securities Incorporated	15000000	100	100	3600	VND	1	1	3600	54000000000	0	2012-09-13	12:23:11				VND	PVNASPRVND	0	0.1086870765913946						0	0000-00-00	0	0	0	0
33	PCT	Cuu Long Petro Gas Service Transportation	15000000	100	100	2900	VND	1	1	2900	43500000000	0	2012-09-13	12:23:11				VND	PVNASPRVND	0	0.0875534783652901						0	0000-00-00	0	0	0	0
34	PTL	Petro Capital and Infrastructure Investment	20000000	100	100	2900	VND	1	1	2900	58000000000	0	2012-09-13	12:23:11				VND	PVNASPRVND	0	0.11673797115372012						0	0000-00-00	0	0	0	0
35	POV	Vung Ang Petroleum	22500000	100	100	5900	VND	1	1	5900	132750000000	0	2012-09-13	12:23:11				VND	PVNASPRVND	0	0.2671890632871784						0	0000-00-00	0	0	0	0
36	PFL	Petro Dong Do Joint Stock Company	18870000	100	100	2700	VND	1	1	2700	50949000000	0	2012-09-13	12:23:11				VND	PVNASPRVND	0	0.1025462567639808						0	0000-00-00	0	0	0	0
37	PCG	PetroVietnam Gas City Investment and Development JSC	23000000	100	100	6100	VND	1	1	6100	140300000000	0	2012-09-13	12:23:11				VND	PVNASPRVND	0	0.2823851267735678						0	0000-00-00	0	0	0	0
38	PPS	Petro Vietnam Power Services Joint Stock Company	10000000	100	100	7200	VND	1	1	7200	72000000000	0	2012-09-13	12:23:11				VND	PVNASPRVND	0	0.14491610212185946						0	0000-00-00	0	0	0	0
39	PSG	Saigon Petroleum Constrution And Investment JSC	10000000	100	100	1300	VND	1	1	1300	13000000000	0	2012-09-13	12:23:11				VND	PVNASPRVND	0	0.02616540732755796						0	0000-00-00	0	0	0	0
40	PPE	PetroVietnam Power Engineering Consulting JSC	2000000	100	100	35400	VND	1	1	35400	70800000000	0	2012-09-13	12:23:11				VND	PVNASPRVND	0	0.1425008337531618						0	0000-00-00	0	0	0	0
41	DPM	PVN Fertilizer and Chemicals	377647740	100	100	39200	VND	1	1	39200	14803791408000	0	2012-09-13	12:23:11	528706836000	1400	1400	VND	PVNCOPRVND	0	38.67928825033465						0	0000-00-00	0	0	0	0
42	PVD	PVN Drilling & Well Services	70371300	100	100	35000	VND	1	1	35000	2462995500000	0	2012-09-13	12:23:11	154816860000	2200	2200	VND	PVNCOPRVND	0	6.435305002493799						0	0000-00-00	0	0	0	0
43	PVF	PVN Finance	100000000	100	100	8300	VND	1	1	8300	830000000000	0	2012-09-13	12:23:11	50000000000	500	500	VND	PVNCOPRVND	0	2.1686207514670057						0	0000-00-00	0	0	0	0
44	PVS	PVN Technical Services	600000000	100	100	15200	VND	1	1	15200	9120000000000	0	2012-09-13	12:23:11				VND	PVNCOPRVND	0	23.828700305276016						0	0000-00-00	0	0	0	0
45	PVX	PVN Construction	232600000	100	100	5200	VND	1	1	5200	1209520000000	0	2012-09-13	12:23:11				VND	PVNCOPRVND	0	3.1602291220655094						0	0000-00-00	0	0	0	0
46	PVI	PVN Insurance	30000000	100	100	15900	VND	1	1	15900	477000000000	0	2012-09-13	12:23:11				VND	PVNCOPRVND	0	1.2463037330720022						0	0000-00-00	0	0	0	0
47	PGD	PVN Low Pressure Gas Distribution	15000000	100	100	38800	VND	1	1	38800	582000000000	0	2012-09-13	12:23:11				VND	PVNCOPRVND	0	1.5206473221130088						0	0000-00-00	0	0	0	0
48	PVT	PVN Transportation	37518001	100	100	4300	VND	1	1	4300	161327404300	0	2012-09-13	12:23:11				VND	PVNCOPRVND	0	0.4215156105364909						0	0000-00-00	0	0	0	0
49	PGS	PVN Southern Gas	20000000	100	100	17100	VND	1	1	17100	342000000000	0	2012-09-13	12:23:11	24000000000	1200	1200	VND	PVNCOPRVND	0	0.8935762614478506						0	0000-00-00	0	0	0	0
50	PET	PVN General Services	42900000	100	100	11200	VND	1	1	11200	480480000000	0	2012-09-13	12:23:11	64350000000	1500	1500	VND	PVNCOPRVND	0	1.255396263451647						0	0000-00-00	0	0	0	0
51	PTL	Petro Capital and Infrastructure Investment	209740215	100	100	2900	VND	1	1	2900	608246623500	0	2012-09-13	12:23:11				VND	PVNCOPRVND	0	1.589224397267276						0	0000-00-00	0	0	0	0
52	PVC	Drilling Mud Corp	50000000	100	100	12700	VND	1	1	12700	635000000000	0	2012-09-13	12:23:11				VND	PVNCOPRVND	0	1.6591255146765647						0	0000-00-00	0	0	0	0
53	PVR	PVN Premier Recreation	35000000	100	100	3600	VND	1	1	3600	126000000000	0	2012-09-13	12:23:11				VND	PVNCOPRVND	0	0.3292123068492081						0	0000-00-00	0	0	0	0
54	PVG	PVN Northern Gas	2000000	100	100	9300	VND	1	1	9300	18600000000	0	2012-09-13	12:23:11				VND	PVNCOPRVND	0	0.04859800720154977						0	0000-00-00	0	0	0	0
55	PXS	Petroleum Equipment Assembly and Metal Structure	59841300	100	100	9400	VND	1	1	9400	562508220000	0	2012-09-13	12:23:11				VND	PVNCOPRVND	0	1.4697192756177926						0	0000-00-00	0	0	0	0
56	PSI	PVN Securities Incorporated	157531264	100	100	3600	VND	1	1	3600	567112550400	0	2012-09-13	12:23:11				VND	PVNCOPRVND	0	1.481749452066046						0	0000-00-00	0	0	0	0
57	PFL	Petro Dong Do Joint Stock Company	52356713	100	100	2700	VND	1	1	2700	141363125100	0	2012-09-13	12:23:11				VND	PVNCOPRVND	0	0.3693530199808269						0	0000-00-00	0	0	0	0
58	PSG	Saigon Petroleum Constrution And Investment JSC	23000000	100	100	1300	VND	1	1	1300	29900000000	0	2012-09-13	12:23:11				VND	PVNCOPRVND	0	0.0781226029745343						0	0000-00-00	0	0	0	0
59	PVE	PVN Investment Consultancy and Engineering	15000000	100	100	9600	VND	1	1	9600	144000000000	0	2012-09-13	12:23:11				VND	PVNCOPRVND	0	0.37624263639909494						0	0000-00-00	0	0	0	0
60	PXI	Petroleum Industrial and Civil Construction	18000000	100	100	4000	VND	1	1	4000	72000000000	0	2012-09-13	12:23:11				VND	PVNCOPRVND	0	0.18812131819954747						0	0000-00-00	0	0	0	0
61	PPS	Petro Vietnam Power Services Joint Stock Company	250000000	100	100	7200	VND	1	1	7200	1800000000000	0	2012-09-13	12:23:11				VND	PVNCOPRVND	0	4.703032954988687						0	0000-00-00	0	0	0	0
62	PXT	Petroleum Pipeline and Tank Construction	18870000	100	100	4200	VND	1	1	4200	79254000000	0	2012-09-13	12:23:11				VND	PVNCOPRVND	0	0.20707454100815187						0	0000-00-00	0	0	0	0
63	PXM	Mientrung Petroleum Construction	35000000	100	100	3200	VND	1	1	3200	112000000000	0	2012-09-13	12:23:11				VND	PVNCOPRVND	0	0.29263316164374054						0	0000-00-00	0	0	0	0
64	PCG	PetroVietnam Gas City Investment and Development JSC	297802094	100	100	6100	VND	1	1	6100	1816592773400	0	2012-09-13	12:23:11				VND	PVNCOPRVND	0	4.7463864883858315						0	0000-00-00	0	0	0	0
65	PCT	Cuu Long Petro Gas Service Transportation	38000000	100	100	2900	VND	1	1	2900	110200000000	0	2012-09-13	12:23:11				VND	PVNCOPRVND	0	0.28793012868875184						0	0000-00-00	0	0	0	0
66	PPE	PetroVietnam Power Engineering Consulting JSC	27719850	100	100	35400	VND	1	1	35400	981282690000	0	2012-09-13	12:23:11				VND	PVNCOPRVND	0	2.5638915717944153						0	0000-00-00	0	0	0	0
67	DPM	PVN Fertilizer and Chemicals	377647740	100	100	39200	VND	1	1	39200	14803791408000	0	2012-09-13	12:23:11	528706836000	1400	1400	VND	PVNHSXPRVND	0	33.61405187389045						0	0000-00-00	0	0	0	0
68	PVD	PVN Drilling & Well Services	70371300	100	100	35000	VND	1	1	35000	2462995500000	0	2012-09-13	12:23:11	154816860000	2200	2200	VND	PVNHSXPRVND	0	5.592571269101927						0	0000-00-00	0	0	0	0
69	PVF	PVN Finance	100000000	100	100	8300	VND	1	1	8300	830000000000	0	2012-09-13	12:23:11	50000000000	500	500	VND	PVNHSXPRVND	0	1.8846295713307635						0	0000-00-00	0	0	0	0
70	PGD	PVN Low Pressure Gas Distribution	600000000	100	100	38800	VND	1	1	38800	23280000000000	0	2012-09-13	12:23:11				VND	PVNHSXPRVND	0	52.86045351877129						0	0000-00-00	0	0	0	0
71	PVT	PVN Transportation	232600000	100	100	4300	VND	1	1	4300	1000180000000	0	2012-09-13	12:23:11				VND	PVNHSXPRVND	0	2.2710467525947022						0	0000-00-00	0	0	0	0
72	PET	PVN General Services	30000000	100	100	11200	VND	1	1	11200	336000000000	0	2012-09-13	12:23:11	45000000000	1500	1500	VND	PVNHSXPRVND	0	0.762934380683297						0	0000-00-00	0	0	0	0
73	PTL	Petro Capital and Infrastructure Investment	15000000	100	100	2900	VND	1	1	2900	43500000000	0	2012-09-13	12:23:11				VND	PVNHSXPRVND	0	0.09877275464203399						0	0000-00-00	0	0	0	0
74	PXS	Petroleum Equipment Assembly and Metal Structure	37518001	100	100	9400	VND	1	1	9400	352669209400	0	2012-09-13	12:23:11				VND	PVNHSXPRVND	0	0.8007841216061219						0	0000-00-00	0	0	0	0
75	PXI	Petroleum Industrial and Civil Construction	20000000	100	100	4000	VND	1	1	4000	80000000000	0	2012-09-13	12:23:11				VND	PVNHSXPRVND	0	0.18165104301983262						0	0000-00-00	0	0	0	0
76	PXT	Petroleum Pipeline and Tank Construction	42900000	100	100	4200	VND	1	1	4200	180180000000	0	2012-09-13	12:23:11				VND	PVNHSXPRVND	0	0.40912356164141805						0	0000-00-00	0	0	0	0
77	PXM	Mientrung Petroleum Construction	209740215	100	100	3200	VND	1	1	3200	671168688000	0	2012-09-13	12:23:11				VND	PVNHSXPRVND	0	1.5239811527181577						0	0000-00-00	0	0	0	0
78	PVS	PVN Technical Services	50000000	100	100	15200	VND	1	1	15200	760000000000	0	2012-09-13	12:23:11				VND	PVNHNXPRVND	0	9.303527053910493						0	0000-00-00	0	0	0	0
