ID	TABLES	FIELDS	HEADERS	WIDTHS	ALIGNS	FORMATS	DECIMALS	ORDERS	EDITTYPE	EDITOPTION	DESCRIPTIONS	SORTABLE
81	STK_PRICES	dates	DATES	100	C	D	0	14	text			true
82	STK_PRICES	times	TIMES	50	C	T	0	15	text			true
83	CUR_RATES	id	ID	50	C	N	0	0	text			true
84	CUR_RATES	currency	CURRENCY	50	C	C	0	2	text			true
85	CUR_RATES	tos	TOS	50	C	C	0	3	text			true
86	CUR_RATES	code	CODE	100	L	C	0	4	text			true
87	CUR_RATES	curr_conv	CURRCONV	100	L	DB	0	5	text			true
88	CUR_RATES	dates	DATES	50	C	D	0	6	text			true
89	CUR_RATES	times	TIMES	50	C	T	0	7	text			true
90	IDX_COMPO	id	ID	50	C	N	0	0	text			true
91	IDX_COMPO	stk_code	STKCODE	100	C	C	0	2	text			true
92	IDX_COMPO	stk_name	STKNAME	200	L	C	0	3	textarea			true
93	IDX_COMPO	stk_shares_idx	STKSHARESIDX	100	L	DB	0	4	text			true
94	IDX_COMPO	stk_float_idx	STKFLOATIDX	100	C	DB	0	5	text			true
95	IDX_COMPO	stk_capp_idx	STKCAPPIDX	100	C	DB	0	6	text			true
96	IDX_COMPO	idx_code	IDXCODE	100	C	C	0	7	text			true
97	IDX_COMPO	dates	DATES	50	C	D	0	8	text			true
98	IDX_COMPO	times	TIMES	50	C	T	0	9	text			true
99	IDX_COMPOSITION	id	ID	50	C	N	0	0	text			true
100	IDX_COMPOSITION	stk_code	STKCODE	100	C	C	0	2	text			true
101	IDX_COMPOSITION	stk_name	STKNAME	100	L	C	0	3	text			true
102	IDX_COMPOSITION	stk_shares_idx	STKSHARESIDX	100	L	DB	0	4	text			true
103	IDX_COMPOSITION	stk_float_idx	STKFLOATIDX	50	C	DB	0	5	text			true
104	IDX_COMPOSITION	stk_capp_idx	STKCAPPIDX	50	C	DB	0	6	text			true
105	IDX_COMPOSITION	stk_price	STKPRICE	50	C	DB	0	7	text			true
106	IDX_COMPOSITION	stk_curr	STKCURR	50	C	C	0	8	text			true
107	IDX_COMPOSITION	stk_mult	STKMULT	50	C	DB	0	0	text			true
108	IDX_COMPOSITION	curr_conv	CURRCONV	50	C	DB	0	0	text			true
109	IDX_COMPOSITION	stk_curr_conv	STKCURRCONV	50	L	DB	0	11	text			true
110	IDX_COMPOSITION	stk_mcap_idx	STKMCAPIDX	50	L	DB	0	12	text			true
111	IDX_COMPOSITION	specs_id	SPECSID	50	C	N	0	13	text			true
112	IDX_COMPOSITION	dates	DATES	50	C	D	0	14	text			true
113	IDX_COMPOSITION	times	TIMES	50	C	T	0	15	text			true
114	IDX_COMPOSITION	stk_dcap_idx	STKDCAPIDX	100	C	DB	0	16	text			true
115	IDX_COMPOSITION	stk_dcurr_conv	STKDCURRCONV	100	C	DB	0	17	text			true
116	IDX_COMPOSITION	stk_dprice	STKDPRICE	100	C	B	0	18	text			true
117	IDX_COMPOSITION	idx_curr	IDXCURR	200	C	C	0	19	textarea			true
118	IDX_COMPOSITION	idx_code	IDXCODE	200	C	C	0	20	textarea			true
119	IDX_COMPOSITION	stk_wgt	STKWGT	50	C	F	0	21	text			true
120	IDX_COMPOSITION	nxt_shares_idx	NXTSHARESIDX	50	C	DB	0	22	text			true
121	IDX_COMPOSITION	nxt_float_idx	NXTFLOATIDX	50	C	F	0	23	text			true
122	IDX_COMPOSITION	nxt_capp_idx	NXTCAPPIDX	50	C	F	0	24	text			true
123	IDX_COMPOSITION	nxt_price	NXTPRICE	50	C	F	0	25	text			true
124	IDX_COMPOSITION	nxt_adjust	NXTADJUST	50	C	F	0	26	text			true
125	IDX_COMPOSITION	to_adjust	TOADJUST	50	C	smallint	0	27	text			true
126	IDX_SPECS	id	ID	50	C	N	0	0	text			true
127	IDX_SPECS	idx_code	IDXCODE	200	C	C	0	2	textarea			true
128	IDX_SPECS	idx_name	IDXNAME	400	L	C	0	3	textarea			true
129	IDX_SPECS	idx_curr	IDXCURR	150	C	C	0	4	textarea			true
130	IDX_SPECS	idx_base	IDXBASE	100	C	F	0	5	text			true
131	IDX_SPECS	idx_type	IDXTYPE	200	C	C	0	0	textarea			true
132	IDX_SPECS	idx_mother	IDXMOTHER	200	C	C	0	7	text			true
133	IDX_SPECS	idx_divisor	IDXDIVISOR	300	L	DB	0	8	text			true
134	IDX_SPECS	idx_mcap	IDXMCAP	300	L	DB	0	9	text			true
135	IDX_SPECS	idx_last	IDXLAST	150	L	DB	0	10	text			true
136	IDX_SPECS	dates	DATES	150	C	D	0	11	text			true
137	IDX_SPECS	times	TIMES	150	C	T	0	12	text			true
138	IDX_SPECS	records	RECORDS	50	C	N	0	0	text			true
139	IDX_SPECS	calculs	CALCULS	50	C	smallint	0	14	text			true
140	IDX_SPECS	publications	PUBLICATIONS	50	C	smallint	0	15	text			true
141	IDX_SPECS	idx_plast	IDXPLAST	50	C	F	0	0	text			true
142	IDX_SPECS	idx_dcap	IDXDCAP	50	C	DB	0	17	text			true
143	IDX_SPECS	to_adjust	TOADJUST	50	C	smallint	0	18	text			true
144	IDX_SPECS	idx_mcap_nxt	IDXMCAPNXT	50	C	DB	0	19	text			true
145	IDX_SPECS	idx_divisor_nxt	IDXDIVISORNXT	50	C	DB	0	20	text			true
146	IDX_SPECS	idx_bbs	IDXBBS	200	C	C	0	21	textarea			true
147	IDX_SPECS	idx_var	IDXVAR	200	C	C	0	22	textarea			true
148	IDX_SPECS	idx_pclose	IDXPCLOSE	200	C	DB	0	23	textarea			true
149	IDX_CA	id	ID	50	C	N	0	0	text			true
150	IDX_CA	stk_code	STKCODE	100	C	C	0	2	textarea			true
151	IDX_CA	id_ca	IDCA	200	C	C	0	3	textarea			true
152	IDX_CA	dates	DATES	100	C	D	0	4	text			true
153	IDX_CA	times	TIMES	100	C	T	0	5	text			true
154	IDX_CA	ex_date	EXDATE	100	C	D	0	6	text			true
155	IDX_CA	effective_date	EFFECTIVEDATE	100	C	D	0	7	text			true
156	IDX_CA	title	TITLE	200	C	C	0	8	textarea			true
157	IDX_CA	description	DESCRIPTION	200	C	C	0	9	textarea			true
158	IDX_CA	author	AUTHOR	200	C	C	0	0	textarea			true
159	IDX_CA	poster	POSTER	200	C	C	0	0	textarea			true
160	IDX_CA	active	ACTIVE	50	C	N	0	12	text			true
161	IDX_CA	date_cre	DATECRE	100	C	D	0	13	text			true
162	IDX_CA	date_update	DATEUPDATE	100	C	D	0	14	text			true
163	IDX_CA	files	FILES	200	C	C	0	15	textarea			true
164	IDX_CA	language	LANGUAGE	100	C	C	0	16	textarea			true
165	IDX_CA	id_pvnca	IDPVNCA	100	C	N	0	17	text			true
166	IDX_CA	idx_code	IDXCODE	200	C	C	0	18	textarea			true
167	STK_DIV	id	ID	50	C	N	0	0	text			true
168	STK_DIV	exdate	EXDATE	100	C	D	0	2	text			true
169	STK_DIV	stk_code	STKCODE	150	C	C	0	3	textarea			true
170	STK_DIV	stk_name	STKNAME	400	L	C	0	4	textarea			true
171	STK_DIV	stk_divnet	STKDIVNET	50	L	F	0	5	text			true
172	STK_DIV	stk_divgross	STKDIVGROSS	50	L	F	0	6	text			true
173	SUMMARY	id	ID	50	C	N	0	0	text			true
174	SUMMARY	code	CODE	50	C	C	0	2	text			true
175	SUMMARY	name	NAME	200	L	C	0	3	textarea			true
176	SUMMARY	shares	SHARES	100	L	N	0	4	text			true
177	SUMMARY	float	FLOAT	50	C	N	0	5	text			true
178	SUMMARY	capping	CAPPING	50	C	N	0	6	text			true
179	SUMMARY	stk_price	STKPRICE	100	L	N	0	7	text			true
180	SUMMARY	stk_mcap_idx	STKMCAPIDX	200	L	N	0	8	textarea			true
181	FILESLIST	nr	NR	50	C	N	0	1	text			true
182	FILESLIST	table	TABLE	100	C	C	0	2	text			true
183	FILESLIST	mysql	MYSQL	100	C	C	0	3	text			true
184	FILESLIST	dbf	DBF	100	C	C	0	4	text			true
185	FILESLIST	txt	TXT	100	C	C	0	5	text			true
186	FILESLIST	active	ACTIVE	50	C	N	0	6	text			true
187	IDX_FILES	id	ID	50	C	N	0	0	text			true
188	IDX_FILES	table	TABLE	200	L	C	0	3	text			true
189	IDX_FILES	file	FILE	200	L	C	0	6	text			true
190	IDX_FILES	active	ACTIVE	50	C	N	0	7	text			true
191	IDX_FILES	empty	EMPTY	50	C	N	0	8	text			true
192	SYS_FORMAT	id	ID	50	C	N	0	0	text			true
193	SYS_FORMAT	tables	TABLES	200	C	C	0	2	text			true
194	SYS_FORMAT	fields	FIELDS	200	L	C	0	4	text			true
195	SYS_FORMAT	headers	HEADERS	200	L	C	0	6	text			true
196	SYS_FORMAT	widths	WIDTHS	100	C	C	0	7	text			true
197	SYS_FORMAT	aligns	ALIGNS	100	C	C	0	8	text			true
198	SYS_FORMAT	formats	FORMATS	100	C	C	0	9	text			true
199	SYS_FORMAT	decimals	DECIMALS	100	C	smallint	0	10	text			true
200	SYS_FORMAT	orders	ORDERS	100	C	smallint	0	11	text			true
201	SYS_FORMAT	edittype	EDITTYPE	100	C	C	0	12	text			true
202	SYS_FORMAT	editoption	EDITOPTION	200	C	C	0	13	text			true
203	SYS_FORMAT	descriptions	DESCRIPTIONS	200	C	C	0	14	text			true
204	SYS_FORMAT	sortable	SORTABLE	100	C	C	0	15	text			true
