id	idx_code	idx_name	idx_curr	idx_base	idx_type	idx_mother	idx_divisor	idx_mcap	idx_last	dates	times	records	calculs	publications	idx_plast	idx_dcap	to_adjust	idx_mcap_nxt	idx_divisor_nxt	idx_bbs	idx_conv	idx_group	idx_var	idx_pclose	ip_last	ip_plast	idx_dvar	nxt_date
20011	VNXCOTRUSD	VNX ALLSHARE TR CONTINUOUS (USD)	USD	1000	R	VNXCOPRVND	1428571428571.43	1748431900.1690269	1323.7669984795152	2012-09-13	00:00:00	26	1	0	0	37545623.389675654	0	0	0	Benchmark	21890			1383.693	1223.9023301183176	0	-4.330874082653072	2012-09-04
20012	VNXCOTRJPY	VNX ALLSHARE TR CONTINUOUS (JPY)	JPY	1000	R	VNXCOPRVND	113207547169.811	135720476222.34042	1139.2963516575974	2012-09-13	00:00:00	26	1	0	0	2914445730.496454	0	0	0	Benchmark	282			1127.062	1198.864206630677	0	1.0855083090014102	2012-09-04
20013	VNXCOTREUR	VNX ALLSHARE TR CONTINUOUS (EUR)	EUR	1000	R	VNXCOPRVND	1034482758620.69	1283874581.0125766	1133.2807557345325	2012-09-13	00:00:00	26	1	0	0	27569773.51741054	0	0	0	Benchmark	29810.68			1078.872	1241.0787616454904	0	5.043115006648834	2012-09-04
20014	VNXHSXPRVND	VNX ALLSHARE HSX	VND	1000	P	VNXHSXPRVND	25000000000000	44040484805400	1761.619392216	2012-09-13	08:52:27	11	1	0	0	778523696000	0	0	0	Benchmark	1			1708.019			3.138161356284681	2012-09-04
20015	VNXHSXPRUSD	VNX ALLSHARE HSX (USD)	USD	1000	P	VNXHSXPRVND	1190476190.47619	2011899717.0123343	1689.9957622903612	2012-09-13	00:00:00	11	1	0	0	35565267.06258565	0	0	0	Benchmark	21890			1784.47			-5.2942463425912925	2012-09-04
20016	VNXHSXPRJPY	VNX ALLSHARE HSX (JPY)	JPY	1000	P	VNXHSXPRVND	94339622641.5094	156171931934.04254	1655.4224785008514	2012-09-13	00:00:00	11	1	0	0	2760722326.2411346	0	0	0	Benchmark	282			1606.604			3.038613031017685	2012-09-04
20017	VNXHSXPREUR	VNX ALLSHARE HSX (EUR)	EUR	1000	P	VNXHSXPRVND	862068965.517241	1477339155.1417143	1713.7134199643895	2012-09-13	00:00:00	11	1	0	0	26115596.692192193	0	0	0	Benchmark	29810.68			1677.507			2.1583468780988335	2012-09-04
20018	VNXHSXTRVND	VNX ALLSHARE HSX TR	VND	1000	R	VNXHSXPRVND	25000000000000	44040484805400	2204.4734585328124	2012-09-13	00:00:00	11	1	0	0	778523696000	0	0	0	Benchmark	1			2100.271	1761.619392216	0	4.96138158041568	2012-09-04
20019	VNXHSXTRUSD	VNX ALLSHARE HSX TR (USD)	USD	1000	R	VNXHSXPRVND	1190476190476.19	2011899717.0123343	1492.9148559022708	2012-09-13	00:00:00	11	1	0	0	35565267.06258565	0	0	0	Benchmark	21890			1576.344	1689.9957622903612	0	-5.292572185876259	2012-09-04
20020	VNXHSXTRJPY	VNX ALLSHARE HSX TR (JPY)	JPY	1000	R	VNXHSXPRVND	94339622641.5094	156171931934.04254	1765.4137113391685	2012-09-13	00:00:00	11	1	0	0	2760722326.2411346	0	0	0	Benchmark	282			1683.59	1655.4224785008514	0	4.860073494091112	2012-09-04
