NAME,SHORTNAME,PROVIDER,PLACE,TYPE,SUB_TYPE,INDEX_PARENT,COMPO_PARENT,MEP,COMPO,DOWNLOAD,MNEMO,CODE,ISIN,REUTERS,BLOOMBERG,YAHOO,GOOGLE,LAUNCH,NB,CURR,CALCUL,FREQUENCY,PRICE,WEIGHTING,FLOAT,SHARES,CAPPING,BASE_VALUE,BASE_DATE,BASE_CAPI,HISTORY,CONTINENT,ORD,WEBSITE,URL_IDX,URL_CMP,LAST_UPDATE,CRITERIA,REV_COMPO,REV_FLOAT,ARR_FLOAT,FUTURES,OPTIONS,ETF,LEVEL3
STOXX GLOBAL 1800 MEDIA PR (USD),STX GLB1800 MDA USD (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXW1MDI,CH0111518863,CH0111518863,.SXW1MDI,SXW1MDI,,, 2003/11/12,,USD,D,C,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX GLOBAL 1800 MEDIA NR (EUR),STX GLB1800 MDA EUR (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXW1MDIR,CH0111518871,CH0111518871,.SXW1MDIR,SXW1MDIR,,, 2010/08/02,,EUR,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX GLOBAL 1800 MEDIA NR (USD),STX GLB1800 MDA USD (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXW1MDIV,CH0111518889,CH0111518889,.SXW1MDIV,SXW1MDIV,,, 2010/08/02,,USD,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX GLOBAL 1800 OIL & GAS PR (EUR),STX GLB1800 OLGS EUR (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXW1ENEE,CH0111518921,CH0111518921,.SXW1ENEE,SXW1ENEE,,, 2010/08/02,,EUR,R,15s,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX GLOBAL 1800 OIL & GAS PR (USD),STX GLB1800 OLGS USD (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXW1ENE,CH0111518939,CH0111518939,.SXW1ENE,SXW1ENE,,, 2003/11/12,,USD,D,C,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX GLOBAL 1800 OIL & GAS NR (EUR),STX GLB1800 OLGS EUR (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXW1ENER,CH0111518947,CH0111518947,.SXW1ENER,SXW1ENER,,, 2010/08/02,,EUR,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX GLOBAL 1800 OIL & GAS NR (USD),STX GLB1800 OLGS USD (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXW1ENEV,CH0111518954,CH0111518954,.SXW1ENEV,SXW1ENEV,,, 2010/08/02,,USD,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX GLOBAL 1800 PERSONAL & HOUSEHOLD GOODS PR (EUR),STX GLB1800 PHDG EUR (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXW1NCGE,CH0111518962,CH0111518962,.SXW1NCGE,SXW1NCGE,,, 2010/08/02,,EUR,R,15s,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX GLOBAL 1800 PERSONAL & HOUSEHOLD GOODS PR (USD),STX GLB1800 PHDG USD (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXW1NCG,CH0111518970,CH0111518970,.SXW1NCG,SXW1NCG,,, 2003/11/12,,USD,D,C,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX GLOBAL 1800 PERSONAL & HOUSEHOLD GOODS NR (EUR),STX GLB1800 PHDG EUR (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXW1NCGR,CH0111518988,CH0111518988,.SXW1NCGR,SXW1NCGR,,, 2010/08/02,,EUR,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX GLOBAL 1800 PERSONAL & HOUSEHOLD GOODS NR (USD),STX GLB1800 PHDG USD (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXW1NCGV,CH0111518996,CH0111518996,.SXW1NCGV,SXW1NCGV,,, 2010/08/02,,USD,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX GLOBAL 1800 REAL ESTATE PR (EUR),STX GLB1800 REALEST EUR (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXGREP,CH0111519002,CH0111519002,.SXGREP,SXGREP,,, 2010/08/02,,EUR,R,15s,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX GLOBAL 1800 REAL ESTATE PR (USD),STX GLB1800 REALEST USD (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXGREL,CH0111519010,CH0111519010,.SXGREL,SXGREL,,, 2008/09/22,,USD,D,C,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX GLOBAL 1800 REAL ESTATE NR (EUR),STX GLB1800 REALEST EUR (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXGRER,CH0111519192,CH0111519192,.SXGRER,SXGRER,,, 2010/08/02,,EUR,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX GLOBAL 1800 REAL ESTATE NR (USD),STX GLB1800 REAES USD (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXGREV,CH0111519200,CH0111519200,.SXGREV,SXGREV,,, 2010/08/02,,USD,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX GLOBAL 1800 RETAIL PR (EUR),STX GLB1800 RTL EUR (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXW1RTSE,CH0111519218,CH0111519218,.SXW1RTSE,SXW1RTSE,,, 2010/08/02,,EUR,R,15s,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX GLOBAL 1800 RETAIL PR (USD),STX GLB1800 RTL USD (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXW1RTS,CH0111519226,CH0111519226,.SXW1RTS,SXW1RTS,,, 2003/11/12,,USD,D,C,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX GLOBAL 1800 RETAIL NR (EUR),STX GLB1800 RTL EUR (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXW1RTSR,CH0111519234,CH0111519234,.SXW1RTSR,SXW1RTSR,,, 2010/08/02,,EUR,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX GLOBAL 1800 RETAIL NR (USD),STX GLB1800 RTL USD (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXW1RTSV,CH0111519242,CH0111519242,.SXW1RTSV,SXW1RTSV,,, 2010/08/02,,USD,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX GLOBAL 1800 TECHNOLOGY PR (EUR),STX GLB1800 TEC EUR (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXW1TECE,CH0111519259,CH0111519259,.SXW1TECE,SXW1TECE,,, 2010/08/02,,EUR,R,15s,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX GLOBAL 1800 TECHNOLOGY PR (USD),STX GLB1800 TEC USD (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXW1TEC,CH0111519267,CH0111519267,.SXW1TEC,SXW1TEC,,, 2003/11/12,,USD,D,C,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX GLOBAL 1800 TECHNOLOGY NR (EUR),STX GLB1800 TEC EUR (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXW1TECR,CH0111519275,CH0111519275,.SXW1TECR,SXW1TECR,,, 2010/08/02,,EUR,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX GLOBAL 1800 TECHNOLOGY NR (USD),STX GLB1800 TEC USD (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXW1TECV,CH0111519283,CH0111519283,.SXW1TECV,SXW1TECV,,, 2010/08/02,,USD,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX GLOBAL 1800 TELECOMMUNICATIONS PR (EUR),STX GLB1800 TEL EUR (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXW1TLSE,CH0111519309,CH0111519309,.SXW1TLSE,SXW1TLSE,,, 2010/08/02,,EUR,R,15s,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX GLOBAL 1800 TELECOMMUNICATIONS PR (USD),STX GLB1800 TEL USD (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXW1TLS,CH0111519317,CH0111519317,.SXW1TLS,SXW1TLS,,, 2003/11/12,,USD,D,C,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX GLOBAL 1800 TELECOMMUNICATIONS NR (EUR),STX GLB1800 TEL EUR (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXW1TLSR,CH0111519325,CH0111519325,.SXW1TLSR,SXW1TLSR,,, 2010/08/02,,EUR,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX GLOBAL 1800 TELECOMMUNICATIONS NR (USD),STX GLB1800 TEL USD (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXW1TLSV,CH0111519333,CH0111519333,.SXW1TLSV,SXW1TLSV,,, 2010/08/02,,USD,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX GLOBAL 1800 TRAVEL & LEISURE PR (EUR),STX GLB1800 TRLS EUR (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXW1CGSE,CH0111519341,CH0111519341,.SXW1CGSE,SXW1CGSE,,, 2010/08/02,,EUR,R,15s,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX GLOBAL 1800 TRAVEL & LEISURE PR (USD),STX GLB1800 TRLS USD (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXW1CGS,CH0111519358,CH0111519358,.SXW1CGS,SXW1CGS,,, 2003/11/12,,USD,D,C,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX GLOBAL 1800 TRAVEL & LEISURE NR (EUR),STX GLB1800 TRLS EUR (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXW1CGSR,CH0111519366,CH0111519366,.SXW1CGSR,SXW1CGSR,,, 2010/08/02,,EUR,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX GLOBAL 1800 TRAVEL & LEISURE NR (USD),STX GLB1800 TRLS USD (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXW1CGSV,CH0111519374,CH0111519374,.SXW1CGSV,SXW1CGSV,,, 2010/08/02,,USD,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX GLOBAL 1800 UTILITIES PR (EUR),STX GLB1800 UTIL EUR (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXW1UTIE,CH0111519382,CH0111519382,.SXW1UTIE,SXW1UTIE,,, 2010/08/02,,EUR,R,15s,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX GLOBAL 1800 UTILITIES PR (USD),STX GLB1800 UTIL USD (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXW1UTI,CH0111519390,CH0111519390,.SXW1UTI,SXW1UTI,,, 2003/11/12,,USD,D,C,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX GLOBAL 1800 UTILITIES NR (EUR),STX GLB1800 UTIL EUR (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXW1UTIR,CH0111519416,CH0111519416,.SXW1UTIR,SXW1UTIR,,, 2010/08/02,,EUR,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX GLOBAL 1800 UTILITIES NR (USD),STX GLB1800 UTIL USD (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXW1UTIV,CH0111519424,CH0111519424,.SXW1UTIV,SXW1UTIV,,, 2010/08/02,,USD,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC AUTOMOBILES & PARTS  PR (EUR),STXE 600 NC AUT&PRT EUR (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXABP,CH0113194119,CH0113194119,.SXABP,SXABP,,, 2010/08/16,,EUR,R,15s,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC AUTOMOBILES & PARTS  PR (USD),STXE 600 NC AUT&PRT USD (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXABL,CH0113194127,CH0113194127,.SXABL,SXABL,,, 2010/08/16,,USD,D,C,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC AUTOMOBILES & PARTS  NR (EUR),STXE 600 NC AUT&PRT EUR (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXABR,CH0113194135,CH0113194135,.SXABR,SXABR,,, 2010/08/16,,EUR,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC AUTOMOBILES & PARTS  NR (USD),STXE 600 NC AUT&PRT USD (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXABV,CH0113194143,CH0113194143,.SXABV,SXABV,,, 2010/08/16,,USD,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC BANKS   PR (EUR),STXE 600 NC BANKS EUR (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SX7BP,CH0113194150,CH0113194150,.SX7BP,SX7BP,,, 2010/08/16,,EUR,R,15s,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC BANKS   PR (USD),STXE 600 NC BANKS USD (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SX7BL,CH0113194168,CH0113194168,.SX7BL,SX7BL,,, 2010/08/16,,USD,D,C,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC BANKS   NR (EUR),STXE 600 NC BANKS EUR (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SX7BR,CH0113194176,CH0113194176,.SX7BR,SX7BR,,, 2010/08/16,,EUR,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC BANKS   NR (USD),STXE 600 NC BANKS USD (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SX7BV,CH0113194184,CH0113194184,.SX7BV,SX7BV,,, 2010/08/16,,USD,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC BASIC RESOURCES   PR (EUR),STXE 600 NC BAS RES EUR (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXPBP,CH0113194192,CH0113194192,.SXPBP,SXPBP,,, 2010/08/16,,EUR,R,15s,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC BASIC RESOURCES   PR (USD),STXE 600 NC BAS RES USD (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXPBL,CH0113194200,CH0113194200,.SXPBL,SXPBL,,, 2010/08/16,,USD,D,C,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC BASIC RESOURCES   NR (EUR),STXE 600 NC BAS RES EUR (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXPBR,CH0113194218,CH0113194218,.SXPBR,SXPBR,,, 2010/08/16,,EUR,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC BASIC RESOURCES   NR (USD),STXE 600 NC BAS RES USD (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXPBV,CH0113194226,CH0113194226,.SXPBV,SXPBV,,, 2010/08/16,,USD,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC CHEMICALS   PR (EUR),STXE 600 NC CHEM EUR (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SX4BP,CH0113194234,CH0113194234,.SX4BP,SX4BP,,, 2010/08/16,,EUR,R,15s,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC CHEMICALS   PR (USD),STXE 600 NC CHEM USD (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SX4BL,CH0113194242,CH0113194242,.SX4BL,SX4BL,,, 2010/08/16,,USD,D,C,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC CHEMICALS   NR (EUR),STXE 600 NC CHEM EUR (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SX4BR,CH0113194259,CH0113194259,.SX4BR,SX4BR,,, 2010/08/16,,EUR,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC CHEMICALS   NR (USD),STXE 600 NC CHEM USD (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SX4BV,CH0113194267,CH0113194267,.SX4BV,SX4BV,,, 2010/08/16,,USD,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC CONSTRUCTION & MATERIALS  PR (EUR),STXE 600 NC CNS&MAT EUR (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXOBP,CH0113194275,CH0113194275,.SXOBP,SXOBP,,, 2010/08/16,,EUR,R,15s,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC CONSTRUCTION & MATERIALS  PR (USD),STXE 600 NC CNS&MAT USD (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXOBL,CH0113194283,CH0113194283,.SXOBL,SXOBL,,, 2010/08/16,,USD,D,C,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC CONSTRUCTION & MATERIALS  NR (EUR),STXE 600 NC CNS&MAT EUR (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXOBR,CH0113194291,CH0113194291,.SXOBR,SXOBR,,, 2010/08/16,,EUR,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC CONSTRUCTION & MATERIALS  NR (USD),STXE 600 NC CNS&MAT USD (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXOBV,CH0113194309,CH0113194309,.SXOBV,SXOBV,,, 2010/08/16,,USD,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC FINANCIAL SERVICES   PR (EUR),STXE 600 NC FIN SVCS EUR (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXFBP,CH0113194317,CH0113194317,.SXFBP,SXFBP,,, 2010/08/16,,EUR,R,15s,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC FINANCIAL SERVICES   PR (USD),STXE 600 NC FIN SVCS USD (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXFBL,CH0113194325,CH0113194325,.SXFBL,SXFBL,,, 2010/08/16,,USD,D,C,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC FINANCIAL SERVICES   NR (EUR),STXE 600 NC FIN SVCS EUR (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXFBR,CH0113194333,CH0113194333,.SXFBR,SXFBR,,, 2010/08/16,,EUR,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC FINANCIAL SERVICES   NR (USD),STXE 600 NC FIN SVCS USD (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXFBV,CH0113194341,CH0113194341,.SXFBV,SXFBV,,, 2010/08/16,,USD,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC FOOD & BEVERAGE   PR (EUR),STXE 600 NC FD&BVR EUR (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SX3BP,CH0113194358,CH0113194358,.SX3BP,SX3BP,,, 2010/08/16,,EUR,R,15s,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC FOOD & BEVERAGE   PR (USD),STXE 600 NC FD&BVR USD (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SX3BL,CH0113194366,CH0113194366,.SX3BL,SX3BL,,, 2010/08/16,,USD,D,C,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC FOOD & BEVERAGE   NR (EUR),STXE 600 NC FD&BVR EUR (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SX3BR,CH0113194374,CH0113194374,.SX3BR,SX3BR,,, 2010/08/16,,EUR,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC FOOD & BEVERAGE   NR (USD),STXE 600 NC FD&BVR USD (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SX3BV,CH0113194382,CH0113194382,.SX3BV,SX3BV,,, 2010/08/16,,USD,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC HEALTH CARE   PR (EUR),STXE 600 NC HEA CARE EUR (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXDBP,CH0113194390,CH0113194390,.SXDBP,SXDBP,,, 2010/08/16,,EUR,R,15s,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC HEALTH CARE   PR (USD),STXE 600 NC HEA CARE USD (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXDBL,CH0113194408,CH0113194408,.SXDBL,SXDBL,,, 2010/08/16,,USD,D,C,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC HEALTH CARE   NR (EUR),STXE 600 NC HEA CARE EUR (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXDBR,CH0113194416,CH0113194416,.SXDBR,SXDBR,,, 2010/08/16,,EUR,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC HEALTH CARE   NR (USD),STXE 600 NC HEA CARE USD (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXDBV,CH0113194424,CH0113194424,.SXDBV,SXDBV,,, 2010/08/16,,USD,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC INDUSTRIAL GOODS & SERVICES   PR (EUR),STXE 600 NC INDUS GD EUR (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXNBP,CH0113194432,CH0113194432,.SXNBP,SXNBP,,, 2010/08/16,,EUR,R,15s,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC INDUSTRIAL GOODS & SERVICES   PR (USD),STXE 600 NC INDUS GD USD (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXNBL,CH0113194440,CH0113194440,.SXNBL,SXNBL,,, 2010/08/16,,USD,D,C,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC INDUSTRIAL GOODS & SERVICES   NR (EUR),STXE 600 NC INDUS GD EUR (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXNBR,CH0113194457,CH0113194457,.SXNBR,SXNBR,,, 2010/08/16,,EUR,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC INDUSTRIAL GOODS & SERVICES   NR (USD),STXE 600 NC INDUS GD USD (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXNBV,CH0113194465,CH0113194465,.SXNBV,SXNBV,,, 2010/08/16,,USD,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC INSURANCE   PR (EUR),STXE 600 NC INSUR EUR (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXIBP,CH0113194473,CH0113194473,.SXIBP,SXIBP,,, 2010/08/16,,EUR,R,15s,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC INSURANCE   PR (USD),STXE 600 NC INSUR USD (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXIBL,CH0113194481,CH0113194481,.SXIBL,SXIBL,,, 2010/08/16,,USD,D,C,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC INSURANCE   NR (EUR),STXE 600 NC INSUR EUR (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXIBR,CH0113194499,CH0113194499,.SXIBR,SXIBR,,, 2010/08/16,,EUR,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC INSURANCE   NR (USD),STXE 600 NC INSUR USD (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXIBV,CH0113194507,CH0113194507,.SXIBV,SXIBV,,, 2010/08/16,,USD,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC MEDIA   PR (EUR),STXE 600 NC MEDIA EUR (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXMBP,CH0113194515,CH0113194515,.SXMBP,SXMBP,,, 2010/08/16,,EUR,R,15s,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC MEDIA   PR (USD),STXE 600 NC MEDIA USD (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXMBL,CH0113194523,CH0113194523,.SXMBL,SXMBL,,, 2010/08/16,,USD,D,C,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC MEDIA   NR (EUR),STXE 600 NC MEDIA EUR (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXMBR,CH0113194531,CH0113194531,.SXMBR,SXMBR,,, 2010/08/16,,EUR,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC MEDIA   NR (USD),STXE 600 NC MEDIA USD (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXMBV,CH0113194549,CH0113194549,.SXMBV,SXMBV,,, 2010/08/16,,USD,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC OIL & GAS  PR (EUR),STXE 600 NC OIL&GAS EUR (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXEBP,CH0113194556,CH0113194556,.SXEBP,SXEBP,,, 2010/08/16,,EUR,R,15s,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC OIL & GAS  PR (USD),STXE 600 NC OIL&GAS USD (PR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SX9BL,CH0113194564,CH0113194564,.SX9BL,SX9BL,,, 2010/08/16,,USD,D,C,PR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
STOXX EUROPE 600 NC OIL & GAS  NR (EUR),STXE 600 NC OIL&GAS EUR (NR),STOXX,,EQUITY,Sector,,,,,STOXXCOM,SXEBR,CH0113194572,CH0113194572,.SXEBR,SXEBR,,, 2010/08/16,,EUR,D,C,NR,,,,,100, 1991/12/31,,,,,,,,,,,,,,,,
