STK_CODE	STK_NAME	STK_SHARES_IDX	STK_FLOAT_IDX	STK_CAPP_IDX	STK_PRICE	STK_CURR	STK_MULT	CURR_CONV	STK_CURR_CONV	STK_MCAP_IDX	DATES	TIMES	STK_DCAP_IDX	STK_DCURR_CONV	STK_DPRICE	IDX_CURR	IDX_CODE	STK_WGT	NXT_SHARES_IDX	NXT_FLOAT_IDX	NXT_CAPP_IDX	NXT_PRICE	NXT_ADJUST	TO_ADJUST
PGS	PVN Southern Gas	38000000	100	100	3.4	VND	0.001	1	3.4	"129,200,000,000"	10/11/2011	0:00:00	  	  	  	VND	PVNHNXPRVND	0.44%						0
PVG	PVN Northern Gas	27719850	100	100	2.6	VND	0.001	1	2.6	"72,071,610,000"	10/11/2011	0:00:00	  	  	  	VND	PVNHNXPRVND	0.24%						0
DPM	PVN Fertilizer and Chemicals	377647740	100	100	33	VND	0.001	1	33	"12,462,375,420,000"	10/11/2011	0:00:00	"377,647,740,000"	1	1	VND	PVNBMPRVND	42.35%						0
PVC	Drilling Mud Corp	35000000	100	100	37.7	VND	0.001	1	37.7	"1,319,500,000,000"	10/11/2011	0:00:00	  	  	  	VND	PVNBMPRVND	4.48%						0
PET	PVN General Services	70371300	100	100	12	VND	0.001	1	12	"844,455,600,000"	10/11/2011	0:00:00	  	  	  	VND	PVNCSPRVND	2.87%						0
PTL	Petro Capital and Infrastructure Investment	100000000	100	100	15.4	VND	0.001	1	15.4	"1,540,000,000,000"	10/11/2011	0:00:00	  	  	  	VND	PVNFIPRVND	5.23%						0
PVF	PVN Finance	600000000	100	100	10.9	VND	0.001	1	10.9	"6,540,000,000,000"	10/11/2011	0:00:00	  	  	  	VND	PVNFIPRVND	22.23%						0
PFL	Petro Dong Do Joint Stock Company	50000000	100	100	15.8	VND	0.001	1	15.8	"790,000,000,000"	10/11/2011	0:00:00	  	  	  	VND	PVNFIPRVND	2.68%						0
PPE	PetroVietnam Power Engineering Consulting JSC	2000000	100	100	35.2	VND	0.001	1	35.2	"70,400,000,000"	10/11/2011	0:00:00	  	  	  	VND	PVNFIPRVND	0.24%						0
PSI	PVN Securities Incorporated	59841300	100	100	5	VND	0.001	1	5	"299,206,500,000"	10/11/2011	0:00:00	  	  	  	VND	PVNFIPRVND	1.02%						0
PVI	PVN Insurance	157531264	100	100	4.4	VND	0.001	1	4.4	"693,137,561,600"	10/11/2011	0:00:00	  	  	  	VND	PVNFIPRVND	2.36%						0
PVR	PVN Premier Recreation	52356713	100	100	23	VND	0.001	1	23	"1,204,204,399,000"	10/11/2011	0:00:00	  	  	  	VND	PVNFIPRVND	4.09%						0
