STK_CODE	STK_NAME	STK_SHARES_IDX	STK_FLOAT_IDX	STK_CAPP_IDX	STK_PRICE	STK_CURR	STK_MULT	CURR_CONV	STK_CURR_CONV	STK_MCAP_IDX	DATES	TIMES	STK_DCAP_IDX	STK_DCURR_CONV	STK_DPRICE	IDX_CURR	IDX_CODE	STK_WGT	NXT_SHARES_IDX	NXT_FLOAT_IDX	NXT_CAPP_IDX	NXT_PRICE	NXT_ADJUST	TO_ADJUST	NXT_DATE	NXT_SCURR_CONV	NXT_SMCAP_IDX
PTL	Petro Capital and Infrastructure Investment	20000000	100	100	2900	VND	1	1	2900	58000000000	9/13/2012	0:00:00		  	  	VND	PVNASPRVND	0.15%						0			
POV	Vung Ang Petroleum	22500000	100	100	5900	VND	1	1	5900	1.3275E+11	9/13/2012	0:00:00		  	  	VND	PVNASPRVND	0.34%						0			
PFL	Petro Dong Do Joint Stock Company	18870000	100	100	2700	VND	1	1	2700	50949000000	9/13/2012	0:00:00		  	  	VND	PVNASPRVND	0.13%						0			
PCG	PetroVietnam Gas City Investment and Development JSC	23000000	100	100	6100	VND	1	1	6100	1.403E+11	9/13/2012	0:00:00		  	  	VND	PVNASPRVND	0.36%						0			
PPS	Petro Vietnam Power Services Joint Stock Company	10000000	100	100	7200	VND	1	1	7200	72000000000	9/13/2012	0:00:00		  	  	VND	PVNASPRVND	0.18%						0			
PSG	Saigon Petroleum Constrution And Investment JSC	10000000	100	100	1300	VND	1	1	1300	13000000000	9/13/2012	0:00:00		  	  	VND	PVNASPRVND	0.03%						0			
PPE	PetroVietnam Power Engineering Consulting JSC	2000000	100	100	35400	VND	1	1	35400	70800000000	9/13/2012	0:00:00		  	  	VND	PVNASPRVND	0.18%						0			
DPM	PVN Fertilizer and Chemicals	377647740	100	100	39200	VND	1	1	39200	1.48038E+13	9/13/2012	0:00:00	5.28707E+11	"1,400.00"	"1,400.00"	VND	PVNCOPRVND	37.49%						0			
PVD	PVN Drilling & Well Services	70371300	100	100	35000	VND	1	1	35000	2.463E+12	9/13/2012	0:00:00	1.54817E+11	"2,200.00"	"2,200.00"	VND	PVNCOPRVND	6.24%						0			
PVF	PVN Finance	100000000	100	100	8300	VND	1	1	8300	8.3E+11	9/13/2012	0:00:00	50000000000	500	500	VND	PVNCOPRVND	2.10%						0			
PVS	PVN Technical Services	600000000	100	100	15200	VND	1	1	15200	9.12E+12	9/13/2012	0:00:00		  	  	VND	PVNCOPRVND	23.09%						0			
PVX	PVN Construction	232600000	100	100	5200	VND	1	1	5200	1.20952E+12	9/13/2012	0:00:00		  	  	VND	PVNCOPRVND	3.06%						0			
PVI	PVN Insurance	30000000	100	100	15900	VND	1	1	15900	4.77E+11	9/13/2012	0:00:00		  	  	VND	PVNCOPRVND	1.21%						0			
PGD	PVN Low Pressure Gas Distribution	15000000	100	100	38800	VND	1	1	38800	5.82E+11	9/13/2012	0:00:00		  	  	VND	PVNCOPRVND	1.47%						0			
PVT	PVN Transportation	37518001	100	100	4300	VND	1	1	4300	1.61327E+11	9/13/2012	0:00:00		  	  	VND	PVNCOPRVND	0.41%						0			
PGS	PVN Southern Gas	20000000	100	100	17100	VND	1	1	17100	3.42E+11	9/13/2012	0:00:00	24000000000	"1,200.00"	"1,200.00"	VND	PVNCOPRVND	0.87%						0			
PET	PVN General Services	42900000	100	100	11200	VND	1	1	11200	4.8048E+11	9/13/2012	0:00:00	64350000000	"1,500.00"	"1,500.00"	VND	PVNCOPRVND	1.22%						0			
PTL	Petro Capital and Infrastructure Investment	209740215	100	100	2900	VND	1	1	2900	6.08247E+11	9/13/2012	0:00:00		  	  	VND	PVNCOPRVND	1.54%						0			
PVC	Drilling Mud Corp	50000000	100	100	12700	VND	1	1	12700	6.35E+11	9/13/2012	0:00:00		  	  	VND	PVNCOPRVND	1.61%						0			
PVR	PVN Premier Recreation	35000000	100	100	3600	VND	1	1	3600	1.26E+11	9/13/2012	0:00:00		  	  	VND	PVNCOPRVND	0.32%						0			
PVG	PVN Northern Gas	2000000	100	100	9300	VND	1	1	9300	18600000000	9/13/2012	0:00:00		  	  	VND	PVNCOPRVND	0.05%						0			
PXS	Petroleum Equipment Assembly and Metal Structure	59841300	100	100	9400	VND	1	1	9400	5.62508E+11	9/13/2012	0:00:00		  	  	VND	PVNCOPRVND	1.42%						0			
PSI	PVN Securities Incorporated	157531264	100	100	3600	VND	1	1	3600	5.67113E+11	9/13/2012	0:00:00		  	  	VND	PVNCOPRVND	1.44%						0			
PFL	Petro Dong Do Joint Stock Company	52356713	100	100	2700	VND	1	1	2700	1.41363E+11	9/13/2012	0:00:00		  	  	VND	PVNCOPRVND	0.36%						0			
PSG	Saigon Petroleum Constrution And Investment JSC	23000000	100	100	1300	VND	1	1	1300	29900000000	9/13/2012	0:00:00		  	  	VND	PVNCOPRVND	0.08%						0			
PVE	PVN Investment Consultancy and Engineering	15000000	100	100	9600	VND	1	1	9600	1.44E+11	9/13/2012	0:00:00		  	  	VND	PVNCOPRVND	0.36%						0			
PXI	Petroleum Industrial and Civil Construction	18000000	100	100	4000	VND	1	1	4000	72000000000	9/13/2012	0:00:00		  	  	VND	PVNCOPRVND	0.18%						0			
PPS	Petro Vietnam Power Services Joint Stock Company	250000000	100	100	7200	VND	1	1	7200	1.8E+12	9/13/2012	0:00:00		  	  	VND	PVNCOPRVND	4.56%						0			
PXT	Petroleum Pipeline and Tank Construction	18870000	100	100	4200	VND	1	1	4200	79254000000	9/13/2012	0:00:00		  	  	VND	PVNCOPRVND	0.20%						0			
PXM	Mientrung Petroleum Construction	35000000	100	100	3200	VND	1	1	3200	1.12E+11	9/13/2012	0:00:00		  	  	VND	PVNCOPRVND	0.28%						0			
PCG	PetroVietnam Gas City Investment and Development JSC	297802094	100	100	6100	VND	1	1	6100	1.81659E+12	9/13/2012	0:00:00		  	  	VND	PVNCOPRVND	4.60%						0			
PCT	Cuu Long Petro Gas Service Transportation	38000000	100	100	2900	VND	1	1	2900	1.102E+11	9/13/2012	0:00:00		  	  	VND	PVNCOPRVND	0.28%						0			
PPE	PetroVietnam Power Engineering Consulting JSC	27719850	100	100	35400	VND	1	1	35400	9.81283E+11	9/13/2012	0:00:00		  	  	VND	PVNCOPRVND	2.48%						0			
DPM	PVN Fertilizer and Chemicals	377647740	100	100	39200	VND	1	1	39200	1.48038E+13	9/13/2012	0:00:00	5.28707E+11	"1,400.00"	"1,400.00"	VND	PVNHSXPRVND	37.49%						0			
PVD	PVN Drilling & Well Services	70371300	100	100	35000	VND	1	1	35000	2.463E+12	9/13/2012	0:00:00	1.54817E+11	"2,200.00"	"2,200.00"	VND	PVNHSXPRVND	6.24%						0			
PVF	PVN Finance	100000000	100	100	8300	VND	1	1	8300	8.3E+11	9/13/2012	0:00:00	50000000000	500	500	VND	PVNHSXPRVND	2.10%						0			
PGD	PVN Low Pressure Gas Distribution	600000000	100	100	38800	VND	1	1	38800	2.328E+13	9/13/2012	0:00:00		  	  	VND	PVNHSXPRVND	58.95%						0			
