id	IDX_CODE	IDX_NAME	IDX_CURR	IDX_BASE	IDX_TYPE	IDX_MOTHER	IDX_DIVISOR	IDX_MCAP	IDX_LAST	DATES	TIMES	RECORDS	CALCULS	PUBLICATIONS	IDX_PLAST	IDX_DCAP	TO_ADJUST	IDX_MCAP_NXT	IDX_DIVISOR_NXT	IDX_BBS	IDX_CONV
20016	PVNHSXPRJPY	PVN ALLSHARE HSX (JPY)	JPY	1000	P	PVNHSXPRVND	94339622641.51	102850911992.91	1090.22	2012/09/12	0:00:00	11	1	0	1059.52	0.00	0	  	  	Benchmark	282.000000
20017	PVNHSXPREUR	PVN ALLSHARE HSX (EUR)	EUR	1000	P	PVNHSXPRVND	862068965.52	972938463.06	1128.61	2012/09/12	0:00:00	11	1	0	1086.86	0.00	0	  	  	Benchmark	29810.680000
20018	PVNHSXTRVND	PVN ALLSHARE HSX TR 	VND	1000	R	PVNHSXPRVND	25000000000000.00	29003957182000.00	1175.77	2012/09/12	0:00:00	11	1	0	1094.05	0.00	0	  	  	Benchmark	1.000000
20019	PVNHSXTRUSD	PVN ALLSHARE HSX TR (USD)	USD	1000	R	PVNHSXPRVND	1190476190476.19	1324986623.21	1127.84	2012/09/12	0:00:00	11	1	0	1100.96	0.00	0	  	  	Benchmark	21890.000000
20020	PVNHSXTRJPY	PVN ALLSHARE HSX TR (JPY)	JPY	1000	R	PVNHSXPRVND	94339622641.51	102850911992.91	1105.59	2012/09/12	0:00:00	11	1	0	1074.46	0.00	0	  	  	Benchmark	282.000000
20021	PVNHSXTREUR	PVN ALLSHARE HSX TR (EUR)	EUR	1000	R	PVNHSXPRVND	862068965517.24	972938463.06	1144.44	2012/09/12	0:00:00	11	1	0	1102.10	0.00	0	  	  	Benchmark	29810.680000
20022	PVNHNXPRVND	PVN ALLSHARE HNX 	VND	1000	P	PVNHNXPRVND	8000000000000.00	12913580546400.00	1614.20	2012/09/12	0:00:00	15	1	0	1048.22	0.00	0	  	  	Benchmark	1.000000
20023	PVNHNXPRUSD	PVN ALLSHARE HNX (USD)	USD	1000	P	PVNHNXPRVND	380952380.95	589930586.86	1548.57	2012/09/12	0:00:00	15	1	0	1055.24	0.00	0	  	  	Benchmark	21890.000000
20024	PVNHNXPRJPY	PVN ALLSHARE HNX (JPY)	JPY	1000	P	PVNHNXPRVND	30188679245.28	45792838817.02	1516.89	2012/09/12	0:00:00	15	1	0	1028.91	0.00	0	  	  	Benchmark	282.000000
20025	PVNHNXPREUR	PVN ALLSHARE HNX (EUR)	EUR	1000	P	PVNHNXPRVND	275862068.97	433186379.73	1570.30	2012/09/12	0:00:00	15	1	0	1056.00	0.00	0	  	  	Benchmark	29810.680000
20026	PVNHNXTRVND	PVN ALLSHARE HNX TR 	VND	1000	R	PVNHNXPRVND	8000000000000.00	12913580546400.00	1683.81	2012/09/12	0:00:00	15	1	0	1093.42	0.00	0	  	  	Benchmark	1.000000
