STK_CODE	STK_NAME	STK_SHARES_IDX	STK_FLOAT_IDX	STK_CAPP_IDX	IDX_CODE	DATES
PSI	PVN Securities Incorporated	157531264 	100	100	PVNCOPRVND	2012/09/12
PFL	Petro Dong Do Joint Stock Company	52356713 	100	100	PVNCOPRVND	2012/09/12
PSG	Saigon Petroleum Constrution And Investment JSC	23000000 	100	100	PVNCOPRVND	2012/09/12
PVE	PVN Investment Consultancy and Engineering	15000000 	100	100	PVNCOPRVND	2012/09/12
PXI	Petroleum Industrial and Civil Construction	18000000 	100	100	PVNCOPRVND	2012/09/12
PPS	Petro Vietnam Power Services Joint Stock Company	250000000 	100	100	PVNCOPRVND	2012/09/12
PXT	Petroleum Pipeline and Tank Construction	18870000 	100	100	PVNCOPRVND	2012/09/12
PXM	Mientrung Petroleum Construction	35000000 	100	100	PVNCOPRVND	2012/09/12
PCG	PetroVietnam Gas City Investment and Development JSC	297802094 	100	100	PVNCOPRVND	2012/09/12
PCT	Cuu Long Petro Gas Service Transportation	38000000 	100	100	PVNCOPRVND	2012/09/12
PPE	PetroVietnam Power Engineering Consulting JSC	27719850 	100	100	PVNCOPRVND	2012/09/12
DPM	PVN Fertilizer and Chemicals	377647740 	100	100	PVNHSXPRVND	2012/09/12
PVD	PVN Drilling & Well Services	70371300 	100	100	PVNHSXPRVND	2012/09/12
PVF	PVN Finance	100000000 	100	100	PVNHSXPRVND	2012/09/12
PGD	PVN Low Pressure Gas Distribution	600000000 	100	100	PVNHSXPRVND	2012/09/12
PVT	PVN Transportation	232600000 	100	100	PVNHSXPRVND	2012/09/12
PET	PVN General Services	30000000 	100	100	PVNHSXPRVND	2012/09/12
PTL	Petro Capital and Infrastructure Investment	15000000 	100	100	PVNHSXPRVND	2012/09/12
PXS	Petroleum Equipment Assembly and Metal Structure	37518001 	100	100	PVNHSXPRVND	2012/09/12
PXI	Petroleum Industrial and Civil Construction	20000000 	100	100	PVNHSXPRVND	2012/09/12
PXT	Petroleum Pipeline and Tank Construction	42900000 	100	100	PVNHSXPRVND	2012/09/12
PXM	Mientrung Petroleum Construction	209740215 	100	100	PVNHSXPRVND	2012/09/12
PVS	PVN Technical Services	50000000 	100	100	PVNHNXPRVND	2012/09/12
PVX	PVN Construction	35000000 	100	100	PVNHNXPRVND	2012/09/12
PVI	PVN Insurance	2000000 	100	100	PVNHNXPRVND	2012/09/12
PGS	PVN Southern Gas	59841300 	100	100	PVNHNXPRVND	2012/09/12
PVC	Drilling Mud Corp	157531264 	100	100	PVNHNXPRVND	2012/09/12
PVR	PVN Premier Recreation	52356713 	100	100	PVNHNXPRVND	2012/09/12
PVG	PVN Northern Gas	23000000 	100	100	PVNHNXPRVND	2012/09/12
PSI	PVN Securities Incorporated	15000000 	100	100	PVNHNXPRVND	2012/09/12
PFL	Petro Dong Do Joint Stock Company	18000000 	100	100	PVNHNXPRVND	2012/09/12
