TICKER	DATES	TIMES	STK_LAST
DZM	2012/09/11	12:00:00	66000
EBS	2012/09/11	12:00:00	73000
ECI	2012/09/11	12:00:00	0
EFI	2012/09/11	12:00:00	57000
EIB	2012/09/11	12:00:00	149000
EID	2012/09/11	12:00:00	85000
ELC	2012/09/11	12:00:00	240000
EVE	2012/09/11	12:00:00	208000
FBT	2012/09/11	12:00:00	87000
FCN	2012/09/11	12:00:00	172000
FDC	2012/09/11	12:00:00	187000
FDG	2012/09/11	12:00:00	0
FDT	2012/09/11	12:00:00	0
FLC	2012/09/11	12:00:00	64000
FMC	2012/09/11	12:00:00	100000
FPT	2012/09/11	12:00:00	385000
GAS	2012/09/11	12:00:00	402000
GBS	2012/09/11	12:00:00	147000
GDT	2012/09/11	12:00:00	0
GFC	2012/09/11	12:00:00	0
GGG	2012/09/11	12:00:00	18000
GIL	2012/09/11	12:00:00	410000
GLT	2012/09/11	12:00:00	0
GMC	2012/09/11	12:00:00	197000
GMD	2012/09/11	12:00:00	181000
GMX	2012/09/11	12:00:00	0
GSP	2012/09/11	12:00:00	55000
GTA	2012/09/11	12:00:00	79000
GTT	2012/09/11	12:00:00	59000
HAD	2012/09/11	12:00:00	252000
HAG	2012/09/11	12:00:00	236000
HAI	2012/09/11	12:00:00	183000
HAP	2012/09/11	12:00:00	44000
HAS	2012/09/11	12:00:00	50000
HAT	2012/09/11	12:00:00	0
HAX	2012/09/11	12:00:00	41000
HBC	2012/09/11	12:00:00	127000
HBD	2012/09/11	12:00:00	0
HBE	2012/09/11	12:00:00	0
HBS	2012/09/11	12:00:00	71000
HCC	2012/09/11	12:00:00	96000
HCM	2012/09/11	12:00:00	175000
HCT	2012/09/11	12:00:00	0
HDA	2012/09/11	12:00:00	78000
HDC	2012/09/11	12:00:00	157000
HDG	2012/09/11	12:00:00	106000
HDO	2012/09/11	12:00:00	72000
HEV	2012/09/11	12:00:00	105000
HGM	2012/09/11	12:00:00	0
HHC	2012/09/11	12:00:00	137000
HHG	2012/09/11	12:00:00	25000
HHL	2012/09/11	12:00:00	0
HHS	2012/09/11	12:00:00	329000
HJS	2012/09/11	12:00:00	69000
HLA	2012/09/11	12:00:00	37000
HLC	2012/09/11	12:00:00	101000
HLG	2012/09/11	12:00:00	93000
HLY	2012/09/11	12:00:00	0
HMC	2012/09/11	12:00:00	85000
HMH	2012/09/11	12:00:00	135000
HNM	2012/09/11	12:00:00	41000
HOM	2012/09/11	12:00:00	65000
HOT	2012/09/11	12:00:00	196000
HPB	2012/09/11	12:00:00	0
HPC	2012/09/11	12:00:00	33000
HPG	2012/09/11	12:00:00	196000
HPR	2012/09/11	12:00:00	108000
HPS	2012/09/11	12:00:00	0
HQC	2012/09/11	12:00:00	37000
HRC	2012/09/11	12:00:00	375000
HSG	2012/09/11	12:00:00	180000
HSI	2012/09/11	12:00:00	72000
HST	2012/09/11	12:00:00	0
HT1	2012/09/11	12:00:00	47000
HTB	2012/09/11	12:00:00	0
HTC	2012/09/11	12:00:00	145000
HTI	2012/09/11	12:00:00	78000
HTL	2012/09/11	12:00:00	0
HTP	2012/09/11	12:00:00	0
HTV	2012/09/11	12:00:00	120000
HU1	2012/09/11	12:00:00	79000
HU3	2012/09/11	12:00:00	91000
HUT	2012/09/11	12:00:00	78000
HVG	2012/09/11	12:00:00	245000
HVT	2012/09/11	12:00:00	0
HVX	2012/09/11	12:00:00	0
ICF	2012/09/11	12:00:00	35000
ICG	2012/09/11	12:00:00	60000
IDI	2012/09/11	12:00:00	70000
IDJ	2012/09/11	12:00:00	31000
IDV	2012/09/11	12:00:00	201000
IFS	2012/09/11	12:00:00	97000
IJC	2012/09/11	12:00:00	86000
ILC	2012/09/11	12:00:00	51000
IMP	2012/09/11	12:00:00	375000
INC	2012/09/11	12:00:00	0
INN	2012/09/11	12:00:00	0
ITA	2012/09/11	12:00:00	53000
ITC	2012/09/11	12:00:00	68000
ITD	2012/09/11	12:00:00	54000
IVS	2012/09/11	12:00:00	40000
JVC	2012/09/11	12:00:00	175000
KAC	2012/09/11	12:00:00	0
KBC	2012/09/11	12:00:00	66000
KBT	2012/09/11	12:00:00	0
KDC	2012/09/11	12:00:00	270000
KDH	2012/09/11	12:00:00	122000
KHA	2012/09/11	12:00:00	93000
KHB	2012/09/11	12:00:00	31000
KHL	2012/09/11	12:00:00	34000
KHP	2012/09/11	12:00:00	79000
KKC	2012/09/11	12:00:00	87000
KLS	2012/09/11	12:00:00	81000
KMR	2012/09/11	12:00:00	29000
KMT	2012/09/11	12:00:00	0
KSA	2012/09/11	12:00:00	112000
KSB	2012/09/11	12:00:00	170000
KSD	2012/09/11	12:00:00	18000
KSH	2012/09/11	12:00:00	70000
KSS	2012/09/11	12:00:00	68000
KST	2012/09/11	12:00:00	0
KTB	2012/09/11	12:00:00	72000
KTS	2012/09/11	12:00:00	0
KTT	2012/09/11	12:00:00	26000
L10	2012/09/11	12:00:00	74000
L14	2012/09/11	12:00:00	0
L18	2012/09/11	12:00:00	85000
L35	2012/09/11	12:00:00	52000
L43	2012/09/11	12:00:00	0
L44	2012/09/11	12:00:00	68000
L61	2012/09/11	12:00:00	72000
L62	2012/09/11	12:00:00	0
LAF	2012/09/11	12:00:00	67000
LAS	2012/09/11	12:00:00	281000
LBE	2012/09/11	12:00:00	92000
LBM	2012/09/11	12:00:00	91000
LCD	2012/09/11	12:00:00	0
LCG	2012/09/11	12:00:00	72000
LCM	2012/09/11	12:00:00	152000
LCS	2012/09/11	12:00:00	71000
LDP	2012/09/11	12:00:00	0
LGC	2012/09/11	12:00:00	180000
LGL	2012/09/11	12:00:00	38000
LHC	2012/09/11	12:00:00	0
LHG	2012/09/11	12:00:00	145000
LIG	2012/09/11	12:00:00	74000
LIX	2012/09/11	12:00:00	268000
LM3	2012/09/11	12:00:00	0
LM7	2012/09/11	12:00:00	0
LM8	2012/09/11	12:00:00	92000
LO5	2012/09/11	12:00:00	0
LSS	2012/09/11	12:00:00	180000
LTC	2012/09/11	12:00:00	39000
