STK_CODE	STK_NAME	 STK_SHARES_IDX 	STK_FLOAT_IDX	STK_CAPP_IDX	STK_PRICE	STK_CURR	STK_MULT	CURR_CONV	STK_CURR_CONV	 STK_MCAP_IDX 	DATES	TIMES	STK_DCAP_IDX	STK_DCURR_CONV	STK_DPRICE	IDX_CURR	IDX_CODE	STK_WGT	 NXT_SHARES_IDX 	NXT_FLOAT_IDX	NXT_CAPP_IDX	NXT_PRICE	NXT_ADJUST	TO_ADJUST	NXT_CAP	NXT_DATE	IDEX
PVI	PVN Insurance	 205,837,952 	100	100	17800.000	VND	1	1.00	17800.000	 3,663,915,545,600 	2012/03/14	0:00:00		  	  	VND	PVNFIPRVND	31.58%	  					0	 3,663,915,545,600 	2012/03/15	PVNFIPR
PVR	PVN Premier Recreation	 51,906,713 	100	100	6200.000	VND	1	1.00	6200.000	 321,821,620,600 	2012/03/14	0:00:00		  	  	VND	PVNFIPRVND	2.77%	  					0	 321,821,620,600 	2012/03/15	PVNFIPR
PCG	PetroVietnam Gas City Investment and Development JSC	 18,870,000 	100	100	4300.000	VND	1	1.00	4300.000	 81,141,000,000 	2012/03/14	0:00:00		  	  	VND	PVNHNPRVND	0.61%	  					0	 81,141,000,000 	2012/03/15	PVNHNPR
PFL	Petro Dong Do Joint Stock Company	 50,000,000 	100	100	4200.000	VND	1	1.00	4200.000	 210,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNHNPRVND	1.59%	  					0	 210,000,000,000 	2012/03/15	PVNHNPR
PGS	PVN Southern Gas	 38,000,000 	100	100	22000.000	VND	1	1.00	22000.000	 836,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNHNPRVND	6.32%	  					0	 836,000,000,000 	2012/03/15	PVNHNPR
PPE	PetroVietnam Power Engineering Consulting JSC	 2,000,000 	100	100	6400.000	VND	1	1.00	6400.000	 12,800,000,000 	2012/03/14	0:00:00		  	  	VND	PVNHNPRVND	0.10%	  					0	 12,800,000,000 	2012/03/15	PVNHNPR
PPS	Petro Vietnam Power Services Joint Stock Company	 15,000,000 	100	100	12400.000	VND	1	1.00	12400.000	 186,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNHNPRVND	1.41%	  					0	 186,000,000,000 	2012/03/15	PVNHNPR
PSI	PVN Securities Incorporated	 59,841,300 	100	100	4700.000	VND	1	1.00	4700.000	 281,254,110,000 	2012/03/14	0:00:00		  	  	VND	PVNHNPRVND	2.13%	  					0	 281,254,110,000 	2012/03/15	PVNHNPR
PVC	Drilling Mud Corp	 35,000,000 	100	100	14000.000	VND	1	1.00	14000.000	 490,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNHNPRVND	3.71%	  					0	 490,000,000,000 	2012/03/15	PVNHNPR
PVE	PVN Investment Consultancy and Engineering	 18,000,000 	100	100	11200.000	VND	1	1.00	11200.000	 201,600,000,000 	2012/03/14	0:00:00		  	  	VND	PVNHNPRVND	1.53%	  					0	 201,600,000,000 	2012/03/15	PVNHNPR
PVG	PVN Northern Gas	 27,719,850 	100	100	11700.000	VND	1	1.00	11700.000	 324,322,245,000 	2012/03/14	0:00:00		  	  	VND	PVNHNPRVND	2.45%	  					0	 324,322,245,000 	2012/03/15	PVNHNPR
PVI	PVN Insurance	 205,837,952 	100	100	17800.000	VND	1	1.00	17800.000	 3,663,915,545,600 	2012/03/14	0:00:00		  	  	VND	PVNHNPRVND	27.72%	  					0	 3,663,915,545,600 	2012/03/15	PVNHNPR
PVR	PVN Premier Recreation	 51,906,713 	100	100	6200.000	VND	1	1.00	6200.000	 321,821,620,600 	2012/03/14	0:00:00		  	  	VND	PVNHNPRVND	2.43%	  					0	 321,821,620,600 	2012/03/15	PVNHNPR
PVS	PVN Technical Services	 298,998,663 	100	100	14500.000	VND	1	1.00	14500.000	 4,335,480,613,500 	2012/03/14	0:00:00		  	  	VND	PVNHNPRVND	32.80%	  					0	 4,335,480,613,500 	2012/03/15	PVNHNPR
PVX	PVN Construction	 250,000,000 	100	100	9100.000	VND	1	1.00	9100.000	 2,275,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNHNPRVND	17.21%	  					0	 2,275,000,000,000 	2012/03/15	PVNHNPR
DPM	PVN Fertilizer and Chemicals	 377,644,200 	100	100	29000.000	VND	1	1.00	29000.000	 10,951,681,800,000 	2012/03/14	0:00:00		  	  	VND	PVNHSPRVND	36.16%	  					0	 10,951,681,800,000 	2012/03/15	PVNHSPR
PET	PVN General Services	 69,053,120 	100	100	13100.000	VND	1	1.00	13100.000	 904,595,872,000 	2012/03/14	0:00:00		  	  	VND	PVNHSPRVND	2.99%	  					0	 904,595,872,000 	2012/03/15	PVNHSPR
PGD	PVN Low Pressure Gas Distribution	 42,900,000 	100	100	31100.000	VND	1	1.00	31100.000	 1,334,190,000,000 	2012/03/14	0:00:00		  	  	VND	PVNHSPRVND	4.41%	  					0	 1,334,190,000,000 	2012/03/15	PVNHSPR
PTL	Petro Capital and Infrastructure Investment	 98,865,080 	100	100	4700.000	VND	1	1.00	4700.000	 464,665,876,000 	2012/03/14	0:00:00		  	  	VND	PVNHSPRVND	1.53%	  					0	 464,665,876,000 	2012/03/15	PVNHSPR
PVD	PVN Drilling & Well Services	 209,567,165 	100	100	37100.000	VND	1	1.00	37100.000	 7,774,941,821,500 	2012/03/14	0:00:00		  	  	VND	PVNHSPRVND	25.67%	  					0	 7,774,941,821,500 	2012/03/15	PVNHSPR
PVF	PVN Finance	 600,000,000 	100	100	11100.000	VND	1	1.00	11100.000	 6,660,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNHSPRVND	21.99%	  					0	 6,660,000,000,000 	2012/03/15	PVNHSPR
PVT	PVN Transportation	 232,600,000 	100	100	4100.000	VND	1	1.00	4100.000	 953,660,000,000 	2012/03/14	0:00:00		  	  	VND	PVNHSPRVND	3.15%	  					0	 953,660,000,000 	2012/03/15	PVNHSPR
PXI	Petroleum Industrial and Civil Construction	 30,000,000 	100	100	5200.000	VND	1	1.00	5200.000	 156,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNHSPRVND	0.52%	  					0	 156,000,000,000 	2012/03/15	PVNHSPR
PXM	Mientrung Petroleum Construction	 15,000,000 	100	100	5400.000	VND	1	1.00	5400.000	 81,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNHSPRVND	0.27%	  					0	 81,000,000,000 	2012/03/15	PVNHSPR
PXS	Petroleum Equipment Assembly and Metal Structure	 37,518,001 	100	100	8900.000	VND	1	1.00	8900.000	 333,910,208,900 	2012/03/14	0:00:00		  	  	VND	PVNHSPRVND	1.10%	  					0	 333,910,208,900 	2012/03/15	PVNHSPR
PXT	Petroleum Pipeline and Tank Construction	 20,000,000 	100	100	5300.000	VND	1	1.00	5300.000	 106,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNHSPRVND	0.35%	  					0	 106,000,000,000 	2012/03/15	PVNHSPR
CNG	CNG Vietnam Joint Stock Company 	 20,312,038 	100	100	27900.000	VND	1	1.00	27900.000	 566,705,860,200 	2012/03/14	0:00:00		  	  	VND	PVNHSPRVND	1.87%	 21,327,638 	100	100	27900		1	 595,041,100,200 	2012/03/15	PVNHSPR
PPE	PetroVietnam Power Engineering Consulting JSC	 2,000,000 	100	100	6400.000	VND	1	1.00	6400.000	 12,800,000,000 	2012/03/14	0:00:00		  	  	VND	PVNINPRVND	0.30%	  					0	 12,800,000,000 	2012/03/15	PVNINPR
PPS	Petro Vietnam Power Services Joint Stock Company	 15,000,000 	100	100	12400.000	VND	1	1.00	12400.000	 186,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNINPRVND	4.32%	  					0	 186,000,000,000 	2012/03/15	PVNINPR
PVE	PVN Investment Consultancy and Engineering	 18,000,000 	100	100	11200.000	VND	1	1.00	11200.000	 201,600,000,000 	2012/03/14	0:00:00		  	  	VND	PVNINPRVND	4.68%	  					0	 201,600,000,000 	2012/03/15	PVNINPR
PVT	PVN Transportation	 232,600,000 	100	100	4100.000	VND	1	1.00	4100.000	 953,660,000,000 	2012/03/14	0:00:00		  	  	VND	PVNINPRVND	22.15%	  					0	 953,660,000,000 	2012/03/15	PVNINPR
PVX	PVN Construction	 250,000,000 	100	100	9100.000	VND	1	1.00	9100.000	 2,275,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNINPRVND	52.83%	  					0	 2,275,000,000,000 	2012/03/15	PVNINPR
