STK_CODE	STK_NAME	STK_NAME_SN	STK_NAME_SN_VN	STK_MARKET	STK_SECTOR	STK_CURR	STK_MULT	SAMPLE	IPO	TICKER
PSP	Dinh Vu Petroleum Service Port Joint Stock Co	Dinh Vu Petroleum Service Port	CTCP Cảng dịch vụ dầu khí Đình Vũ	PVNUC	PVNIN	VND	0.001	1	2009/11/10	PSP
PTT	Indochina Petroleum Transportation Joint Stock Com	Indochina Petroleum Transportation	CTCP Vận tải Dầu khí Đông Dương	PVNUC	PVNIN	VND	0.001	1	2010/04/29	PTT
PGD	PVN Low Pressure Gas Distribution Joint S	PVN Low Pressure Gas Distribution	CTCP Phân phối khí thấp áp Dầu khí VN	PVNHM	PVNOG	VND	0.001	1	2009/11/26	PGD
PVD	PVN Drilling & Well Services Joint Stock 	PVN Drilling & Well Services	Tổng CTCP khoan và dịch vụ khoan Dầu khí	PVNHM	PVNOG	VND	0.001	1	2006/12/05	PVD
PCG	PetroVietnam Gas City Investment and Development JSC	PetroVietnam Gas City Investment and Development JSC	CTCP Đầu tư và phát triển Gas Đô thị	PVNHN	PVNOG	VND	0.001	1	2010/12/29	PCG
PSG	Saigon Petroleum Constrution And Investment JSC	Saigon Petroleum Constrution And Investment JSC	CTCP Đầu tư và Xây lắp Dầu khí Sài Gòn	PVNHN	PVNOG	VND	0.001	1	2011/03/15	PSG
PVS	PVN Technical Services Corp	PVN Technical Services	Tổng CTCP Dịch vụ Kỹ thuật Dầu khí	PVNHN	PVNOG	VND	0.001	1	2007/09/20	PVS
POV	Vung Ang Petroleum Joint Stock Co	Vung Ang Petroleum	CTCP Xăng dầu Dầu khí Vũng Áng	PVNUC	PVNOG	VND	0.001	1	2010/09/23	POV
PGS	PVN Southern Gas Joint Stock Co	PVN Southern Gas	CTCP Kinh doanh Khí hóa lỏng Miền Nam	PVNHN	PVNUT	VND	0.001	1	2007/11/15	PGS
PVG	PVN Northern Gas Joint Stock Co	PVN Northern Gas	CTCP Kinh doanh khí hóa lỏng Miền Bắc	PVNHN	PVNUT	VND	0.001	1	2009/01/07	PVG
NT2	PVN Power NhonTrach 2 Joint Stock Co	PVN Power NhonTrach 2	CTCP Điện lực Dầu khí Nhơn Trạch 2	PVNUC	PVNUT	VND	0.001	1	2010/01/22	NT2
