ticker	yyyymmdd	exc_pref	exc_pcei	exc_pflr	exc_popn	exc_pcls	exc_phgh	exc_plow	exc_pbase	exc_pvlm	exc_ptrn	exc_capi
TPH	20121109	4400	4700	4100	0	0	0	0	4400	0	0	8870334000
TPP	20121109	8600	9200	8000	8100	8100	8100	8000	8100	4900	39440000	32400000000
TSB	20121109	4700	5000	4400	0	0	0	0	4700	0	0	31703756000
TSM	20121109	7600	8100	7100	7100	7100	7100	7100	7100	100	710000	20846594000
TST	20121109	3900	4100	3700	0	0	0	0	3900	0	0	18720000000
TTC	20121109	4400	4700	4100	0	0	0	0	4400	0	0	26138323200
TV2	20121109	10500	11200	9800	0	0	0	0	10500	0	0	46184250000
TV3	20121109	9400	10000	8800	10000	10000	10000	10000	10000	1100	11000000	33809860000
TV4	20121109	9600	10200	9000	9600	9300	9900	9300	9300	2200	20880000	56188684200
TVD	20121109	7500	8000	7000	7600	8000	8000	7600	8000	2400	18340000	199978048000
TXM	20121109	3200	3400	3000	3100	3100	3100	3100	3100	100	310000	21700000000
UNI	20121109	7100	7500	6700	6900	7100	7100	6800	7100	43000	295660000	67339722800
V12	20121109	4600	4900	4300	4700	4600	4700	4600	4700	7800	36230000	27344600000
V15	20121109	2200	2300	2100	2100	2200	2300	2100	2200	7800	16740000	22000000000
V21	20121109	7500	8000	7000	0	0	0	0	7500	0	0	12750000000
VAT	20121109	5300	5600	5000	0	0	0	0	5300	0	0	5999600000
VBC	20121109	15200	16200	14200	0	0	0	0	15200	0	0	45599832800
VBH	20121109	9500	10100	8900	9700	9700	9700	9700	9700	100	970000	28130000000
VC1	20121109	15100	16100	14100	0	0	0	0	15100	0	0	108783420000
VC2	20121109	9200	9800	8600	0	0	0	0	9200	0	0	109153436800
VC3	20121109	9300	9900	8700	0	0	0	0	9300	0	0	73784340000
VC5	20121109	4700	5000	4400	4700	4700	4700	4700	4700	1000	4700000	23500000000
VC6	20121109	6400	6800	6000	6300	6300	6300	6300	6300	100	630000	50400000000
VC7	20121109	4100	4300	3900	4000	4100	4100	4000	4100	400	1620000	30750000000
VC9	20121109	5300	5600	5000	5300	5500	5500	5300	5500	2000	10800000	64323600000
VCC	20121109	8200	8700	7700	8000	8000	8000	8000	8000	3000	24000000	48000000000
VCG	20121109	5900	6300	5500	5900	6000	6100	5800	6000	293900	1742450000	2650264038000
VCH	20121109	1500	1600	1400	1600	1600	1600	1600	1600	2300	3680000	6400000000
VCM	20121109	9800	10400	9200	9600	10300	10300	9600	9700	3800	36740000	29100000000
VCR	20121109	2700	2800	2600	2700	2700	2700	2700	2700	100	270000	95148000000
VCS	20121109	8600	9200	8000	8600	8700	8700	8600	8700	1100	9470000	461093483700
VCV	20121109	2800	2900	2700	0	0	0	0	2800	0	0	30820112400
VDL	20121109	33500	35800	31200	0	0	0	0	33500	0	0	104816140000
VDS	20121109	4300	4600	4000	0	0	0	0	4300	0	0	150413944100
VE1	20121109	2300	2400	2200	2200	2400	2400	2200	2300	2600	5860000	6741944000
VE2	20121109	7600	8100	7100	8000	8100	8100	8000	8100	200	1610000	16994448000
VE3	20121109	5500	5800	5200	0	0	0	0	5500	0	0	7258405000
VE4	20121109	9800	10400	9200	10200	10200	10200	10200	10200	100	1020000	10485600000
VE8	20121109	3000	3200	2800	2800	2800	2800	2800	2800	500	1400000	5040000000
VE9	20121109	4900	5200	4600	4700	4600	4900	4600	4800	7600	35320000	34560422400
VFR	20121109	6000	6400	5600	6200	6000	6200	5800	6000	1500	8820000	90000000000
VGP	20121109	11800	12600	11000	0	0	0	0	11800	0	0	93355959600
VGS	20121109	3600	3800	3400	3700	3700	3700	3600	3700	141800	516680000	133212247000
VHH	20121109	2800	2900	2700	0	0	0	0	2800	0	0	16800000000
VHL	20121109	9300	9900	8700	9700	9900	9900	8700	9900	815000	7101790000	89100000000
VIE	20121109	4000	4200	3800	0	0	0	0	4000	0	0	6244976000
VIG	20121109	1600	1700	1500	1600	1600	1600	1500	1600	67900	107640000	54612480000
VIT	20121109	3800	4000	3600	4000	4000	4000	4000	4000	100	400000	39600000000
VIX	20121109	8100	8600	7600	0	0	0	0	8100	0	0	243000000000
VKC	20121109	4500	4800	4200	4500	4600	4600	4500	4600	133200	603900000	59800000000
VLA	20121109	9000	9600	8400	9000	9000	9000	9000	9000	13800	124200000	9027000000
VMC	20121109	12000	12800	11200	11700	11700	11700	11700	11700	5000	58500000	76050000000
