CODE	VN_NAME	EN_NAME	MARKET	INDUSTRY	IPO	IPO_SHARES	FTRD_DATE	FTRD_CLS
HDM	Dệt - May Huế	Hue Textile Garment Jsc	UPC	Consumer Goods	2010/01/21	4999557	2010/01/21	
HDO	CTCP HƯNG ĐẠO CONTAINER	Hung Dao Container Jsc	HNX	Industrials	2010/06/17	9459879	2010/06/17	
HEV	CTCP Sách Đại học - Dạy nghề	Higher Educational And Vocational Book	HNX	Consumer Services	2007/12/11	1000000	2007/12/11	
HFC	Xăng dầu Chất đốt Hà Nội	Hanoi Petrol Fuel Jsc	UPC	Utilities	2010/03/01	2100000	2010/03/01	
HFX	Lưới thép Bình Tây	Thanh Ha Export - Import Company	UPC	Consumer Services	2011/11/10	1270000	2011/11/10	
HGM	CTCP Cơ khí và Khoáng sản Hà Giang	Ha Giang Mineral And Mechanics Jsc	HNX	Basic Materials	2009/12/21	6300000	2009/12/21	
HHC	CTCP Bánh kẹo Hải Hà	Haiha Confectionery Jsc	HNX	Consumer Goods	2007/11/20	8212500	2007/11/20	
HHG	CTCP Hoàng Hà	Hoangha Jsc	HNX	Industrials	2010/07/28	13600000	2010/07/28	
HHL	CTCP Hồng Hà Long An	Hong Ha Long An Jsc	HNX	Industrials	2010/01/08	2748270	2010/01/08	
HHS	CTCP Đầu tư Dịch vụ Hoàng Huy	Hoang Huy Investment Services Jsc 	HSX	Consumer Goods	2011/12/13	22499981	2012/02/15	
HIG	Tập Đoàn HIPT	Hipt Group Jsc	UPC	Technology	2009/06/24	22559030	2009/06/24	
HJS	CTCP Thuỷ điện Nậm Mu	Nam Mu Hydropower Jsc	HNX	Utilities	2006/12/20	14999989	2006/12/20	
HLA	CTCP Hữu Liên Á Châu	Huu Lien Asia Corporation	HSX	Basic Materials	2008/10/23	34459293	2008/10/30	
HLC	CTCP Than Hà Lầm - TKV	Halam - Tkv Coal Jsc	HNX	Basic Materials	2009/03/05	11955675	2009/03/05	
HLG	CTCP Tập đoàn Hoàng Long	Hoang Long Group	HSX	Consumer Goods	2009/09/01	44375385	2009/09/09	
HLY	CTCP Viglacera Hạ Long I	Viglacera Ha Long I Jsc	HNX	Industrials	2006/12/25	1000000	2006/12/25	
HMC	CTCP Kim khí Thành phố Hồ Chí Minh	Ho Chi Minh City Metal Corporation	HSX	Basic Materials	2006/11/28	21000000	2006/12/21	
HMH	CTCP Hải Minh	Hai Minh Corporation	HNX	Industrials	2010/07/28	7357496	2010/07/28	
HNM	CTCP Sữa Hà Nội	Hanoimilk Jsc	HNX	Consumer Goods	2006/12/27	12500000	2006/12/27	
HOM	CTCP Xi măng VICEM Hoàng Mai	Hoang Mai Cement Jsc	HNX	Industrials	2009/07/09	72000000	2009/07/09	
HOT	CTCP Du lịch Dịch vụ Hội An	Hoi An Torurist Service Joint Stock	HSX	Consumer Services	2011/07/13	8000000	2011/07/21	
HPB	CTCP Bao bì PP	Pp Pack Marking Jsc	HNX	Industrials	2010/04/29	3880000	2010/04/29	
HPC	CTCP Chứng khoán Hải Phòng	Haiphong Securities Jsc	HNX	Financials	2006/12/15	40130620	2006/12/15	
HPG	CTCP Tập đoàn Hòa Phát	Hoa Phat Group Jsc	HSX	Basic Materials	2007/10/31	349211108	2007/11/15	
HPL	Bến xe Tàu phà Cần Thơ	Can Tho Ferry - Bridge Standage Jsc	UPC	Industrials	2010/01/26	2000000	2010/01/26	
HPP	Sơn Hải Phòng	Hai Phong Paint Jsc	UPC	Industrials	2010/08/05	8007177	2010/08/05	
HPR	CTCP Đầu tư Xây dựng Hồng Phát	Hong Phat Construction Investment Jsc	HNX	Industrials	2011/05/12	4800000	2011/05/12	
HPS	CTCP Đá Xây dựng Hoà Phát	Hoa Phat Construction Stone Jsc	HNX	Industrials	2006/12/25	1565250	2006/12/25	
HPT	DV Công nghệ Tin học HPT	Hpt Viet Nam Corporation	UPC	Technology	2010/06/17	6864201	2010/06/17	
HQC	CTCP Tư vấn – Thương mại – Dịch vụ Địa ốc Hoàng Quân	Hoang Quan Consulting – Trading – Service Real Estate Corporation 	HSX	Financials	2010/10/12	60000000	2010/10/20	
HRC	CTCP Cao su Hòa Bình	Hoa Binh Rubber Jsc	HSX	Basic Materials	2006/11/22	17260976	2006/12/26	
HSG	CTCP Tập đoàn Hoa Sen	Hoa Sen Group	HSX	Basic Materials	2008/11/05	100790790	2008/12/05	
HSI	CTCP Vật tư Tổng hợp và Phân bón Hóa sinh	General Materials Biochemistry Fertilizer Jsc 	HSX	Basic Materials	2007/12/12	10000000	2007/12/21	
HST	CTCP Phát hành sách và Thiết bị trường học Hưng Yên	Hung Yen Book Publishing And Educational Equipment Jsc	HNX	Consumer Services	2009/12/29	1500000	2009/12/29	
HT1	CTCP Xi măng Hà Tiên 1	Ha Tien 1 Cement Jsc	HSX	Industrials	2007/10/31	198000000	2007/11/13	
