id	IDX_CODE	IDX_NAME	IDX_CURR	IDX_BASE	IDX_TYPE	IDX_MOTHER	IDX_DIVISOR	IDX_MCAP	IDX_LAST	DATES	TIMES	RECORDS	CALCULS	PUBLICATIONS	IDX_PLAST	IDX_DCAP	TO_ADJUST	IDX_MCAP_NXT	IDX_DIVISOR_NXT	IDX_BBS	IDX_CONV	IDX_PCLOSE	NXT_DATE	dvar
20013	PVNCOTREUR	PVN ALL SHARE TR CONTINUOUS (EUR)	EUR	1000	R	PVNCOPRVND	1034482758620.690000	1283874581.012580	1133.280756	2012/09/13	0:00:00	26	1	0		27569773.517411	0	  	  	Benchmark	29810.680000	1078.872		5.043115
20014	PVNHSXPRVND	PVN ALLSHARE HSX 	VND	1000	P	PVNHSXPRVND	25000000000000.000000	44040484805400.000000	1761.619392	2012/09/13	0:00:00	11	1	0		778523696000.000000	0	  	  	Benchmark	1.000000	1708.019		3.138161
20015	PVNHSXPRUSD	PVN ALLSHARE HSX (USD)	USD	1000	P	PVNHSXPRVND	1190476190.476190	2011899717.012330	1689.995762	2012/09/13	0:00:00	11	1	0		35565267.062586	0	  	  	Benchmark	21890.000000	1784.47		-5.294246
20016	PVNHSXPRJPY	PVN ALLSHARE HSX (JPY)	JPY	1000	P	PVNHSXPRVND	94339622641.509400	156171931934.043000	1655.422479	2012/09/13	0:00:00	11	1	0		2760722326.241130	0	  	  	Benchmark	282.000000	1606.604		3.038613
20017	PVNHSXPREUR	PVN ALLSHARE HSX (EUR)	EUR	1000	P	PVNHSXPRVND	862068965.517241	1477339155.141710	1713.713420	2012/09/13	0:00:00	11	1	0		26115596.692192	0	  	  	Benchmark	29810.680000	1677.507		2.158347
20018	PVNHSXTRVND	PVN ALLSHARE HSX TR 	VND	1000	R	PVNHSXPRVND	25000000000000.000000	44040484805400.000000	2204.473459	2012/09/13	0:00:00	11	1	0		778523696000.000000	0	  	  	Benchmark	1.000000	2100.271		4.961382
20019	PVNHSXTRUSD	PVN ALLSHARE HSX TR (USD)	USD	1000	R	PVNHSXPRVND	1190476190476.190000	2011899717.012330	1492.914856	2012/09/13	0:00:00	11	1	0		35565267.062586	0	  	  	Benchmark	21890.000000	1576.344		-5.292572
20020	PVNHSXTRJPY	PVN ALLSHARE HSX TR (JPY)	JPY	1000	R	PVNHSXPRVND	94339622641.509400	156171931934.043000	1765.413711	2012/09/13	0:00:00	11	1	0		2760722326.241130	0	  	  	Benchmark	282.000000	1683.59		4.860073
20021	PVNHSXTREUR	PVN ALLSHARE HSX TR (EUR)	EUR	1000	R	PVNHSXPRVND	862068965517.241000	1477339155.141710	1985.579621	2012/09/13	0:00:00	11	1	0		26115596.692192	0	  	  	Benchmark	29810.680000	1943.595		2.160153
20022	PVNHNXPRVND	PVN ALLSHARE HNX 	VND	1000	P	PVNHNXPRVND	8000000000000.000000	8168944913000.000000	1021.118114	2012/09/13	0:00:00	15	1	0		71809560000.000000	0	  	  	Benchmark	1.000000	1031.442		-1.000918
20023	PVNHNXPRUSD	PVN ALLSHARE HNX (USD)	USD	1000	P	PVNHNXPRVND	380952380.952381	373181585.792599	979.601663	2012/09/13	0:00:00	15	1	0		3280473.275468	0	  	  	Benchmark	21890.000000	979.6017		-0.000004
20024	PVNHNXPRJPY	PVN ALLSHARE HNX (JPY)	JPY	1000	P	PVNHNXPRVND	30188679245.283000	28967889762.411300	959.561348	2012/09/13	0:00:00	15	1	0		254643829.787234	0	  	  	Benchmark	282.000000	911.1447		5.313826
20025	PVNHNXPREUR	PVN ALLSHARE HNX (EUR)	EUR	1000	P	PVNHNXPRVND	275862068.965517	274027459.722489	993.349541	2012/09/13	0:00:00	15	1	0		2408853.471306	0	  	  	Benchmark	29810.680000	972.7445		2.118238
20026	PVNHNXTRVND	PVN ALLSHARE HNX TR 	VND	1000	R	PVNHNXPRVND	8000000000000.000000	8168944913000.000000	1118.021273	2012/09/13	0:00:00	15	1	0		71809560000.000000	0	  	  	Benchmark	1.000000	1119.484		-0.130661
20027	PVNHNXTRUSD	PVN ALLSHARE HNX TR (USD)	USD	1000	R	PVNHNXPRVND	380952380952.381000	373181585.792599	1010.071841	2012/09/13	0:00:00	15	1	0		3280473.275468	0	  	  	Benchmark	21890.000000	1010.063		0.000875
20028	PVNHNXTRJPY	PVN ALLSHARE HNX TR (JPY)	JPY	1000	R	PVNHNXPRVND	30188679245.283000	28967889762.411300	1058.859856	2012/09/13	0:00:00	15	1	0		254643829.787234	0	  	  	Benchmark	282.000000	996.6716		6.239593
20029	PVNHNXTREUR	PVN ALLSHARE HNX TR (EUR)	EUR	1000	R	PVNHNXPRVND	275862068965.517000	274027459.722489	1149.869635	2012/09/13	0:00:00	15	1	0		2408853.471306	0	  	  	Benchmark	29810.680000	1126.008		2.119135
20030	PVNBMPRVND	PVN BASIC MATERIALS 	VND	1000	P	PVNBMPRVND	10000000000000.000000	14803791408000.000000	1480.379141	2012/09/13	0:00:00	1	1	0		528706836000.000000	0	  	  	Sectors	1.000000	1558.712		-5.025486
20031	PVNBMPRUSD	PVN BASIC MATERIALS (USD)	USD	1000	P	PVNBMPRVND	476190476.190476	676281014.527181	1420.190131	2012/09/13	0:00:00	1	1	0		24152893.375971	0	  	  	Sectors	21890.000000	1362.596		4.226794
