ticker	market	yyyymm	date	svolume	sturnover	svelo	nb	nbt	shares_lis	pr_cls	ssnb	ssnbt	ssturnover	ssvolume	ssvelo
D2D	HSX	201208	41152	1941690	2493225000	18.1466	23	19	10700000	20000	250	242	29172397000	29699640	277.5667
DAG	HSX	201208	41152	1419800	2647667000	11.3584	23	15	12500000	12500	250	235	51254464000	13145560	105.1644
DCL	HSX	201208	41152	427790	2235771000	4.3151	23	23	9913692	10100	250	174	36013908000	7832330	79.0051
DCT	HSX	201208	41152	720600	3114447000	2.647	23	23	27223647	3800	250	250	51710286000	27954121	102.6832
DDM	HSX	201208	41152	3419240	2390179000	27.9247	23	22	12244495	2400	250	236	23068441000	25625750	209.2837
DHA	HSX	201208	41152	523970	5151746000	3.4654	23	23	15119946	9600	250	250	75531936000	12237070	80.9332
DHC	HSX	201208	41152	1495920	4342296000	9.9729	23	17	14999908	6100	250	220	37500899000	11667180	77.7817
DHG	HSX	201208	41152	524740	4151493000	0.8026	23	22	65376429	74000	249	248	63276737000	11476010	17.5951
DHM	HSX	201208	41152	9162620	655813000	57.2664	23	23	16000000	17400	29	29	724419000	12479270	77.9955
DIC	HSX	201208	41152	1712580	10956977000	10.6689	23	23	16446069	7200	250	250	58485753000	43912542	292.002
DIG	HSX	201208	41152	1637920	5803062000	1.26	23	23	129997818	14000	250	250	32162354000	52449410	43.425
DLG	HSX	201208	41152	4062771	5652535000	11.5385	23	23	35210708	4800	250	250	55883687000	25660811	73.4986
DMC	HSX	201208	41152	2079810	2601413000	11.6782	23	20	17809336	25200	250	245	47752879000	11380480	63.9017
DPM	HSX	201208	41152	9623543	648841000	2.5325	23	23	380000000	40000	250	250	5440430000	89977556	23.6783
DPR	HSX	201208	41152	2155840	3024863000	5.0136	23	21	43000000	49500	250	239	53956505000	21583840	50.1949
DQC	HSX	201208	41152	2059600	5336538000	8.4325	23	23	24424679	16700	250	250	43843538000	38261570	156.6512
DRC	HSX	201208	41152	7796315	296157000	11.2616	23	23	69228945	26000	250	250	21491981000	64454269	123.1722
DRH	HSX	201208	41152	1047390	3453290000	5.6924	23	23	18399702	3000	250	250	64257794000	23607200	128.3023
DRL	HSX	201208	41152	393020	1021681000	4.1371	23	16	9500000	23900	99	85	6360245000	10704770	112.6818
DSN	HSX	201208	41152	432050	2895516000	5.113	23	20	8450000	36400	250	233	37529024000	18156720	214.8722
DTA	HSX	201208	41152	351990	1631988000	3.5199	23	23	10000000	4500	250	250	21128477000	8952900	89.529
DTL	HSX	201208	41152	507040	2966948000	1.0113	23	22	50136090	13000	250	235	49724427000	8041700	16.2566
DTT	HSX	201208	41152	1313280	3880446000	16.1103	23	14	8151820	5900	250	192	16674243000	16789780	205.9637
DVP	HSX	201208	41152	1550410	3566442000	7.7521	23	21	20000000	38500	250	224	43174924000	19192910	95.9648
DXG	HSX	201208	41152	3541590	3340664000	11.0675	23	23	32000000	9400	250	249	61999286000	26780260	101.433
DXV	HSX	201208	41152	584950	3393199000	5.9086	23	23	9900000	5700	250	250	41218750000	11348960	114.636
EIB	HSX	201208	41152	4173170	1666062000	0.3378	23	23	1235522904	16100	250	250	9628462000	70663381	6.2009
ELC	HSX	201208	41152	759630	4749914000	2.0741	23	22	36624909	24400	250	244	48924852000	13336010	42.3418
EVE	HSX	201208	41152	2195970	2419642000	9.3837	23	19	23401986	19500	250	239	49978458000	17001460	72.9333
FBT	HSX	201208	41152	463610	1506044000	3.0907	23	13	15000000	9800	250	216	14603976000	16105410	107.3693
FCN	HSX	201208	41152	4307750	2169725000	31.2039	23	23	13805162	18000	29	29	2388961000	5350420	38.7567
FDC	HSX	201208	41152	1466630	2945999000	7.2507	23	20	20227308	20700	250	201	29503352000	18188750	89.9218
FDG	HSX	201208	41152	400000	1429095000	3.0303	23	7	13200000	11900	250	166	20841097000	12442970	94.265
FMC	HSX	201208	41152	1165510	4736425000	14.5689	23	23	8000000	10000	250	250	50979221000	15475385	193.4425
FPT	HSX	201208	41152	6293730	271187000	2.2993	23	23	273722992	40100	249	249	4904941000	46648802	21.1674
GAS	HSX	201208	41152	5565052	469255000	0.2937	23	23	1895000000	40800	73	73	1730865000	14233406	0.7511
GDT	HSX	201208	41152	1797640	2625587000	17.3311	23	21	10372365	13800	250	208	30295647000	18630920	179.6208
GIL	HSX	201208	41152	3925090	1912332000	29.4575	23	18	13324588	40200	250	234	49350076000	20741730	158.3916
GMC	HSX	201208	41152	1188330	2726580000	13.3993	23	21	8868571	20000	250	237	24093183000	24950860	281.3403
GMD	HSX	201208	41152	1339240	5798780000	1.2286	23	23	109007090	20300	250	250	36476943000	35365120	34.8369
GSP	HSX	201208	41152	683440	4527363000	2.2781	23	23	30000000	6000	122	122	33226449000	9659400	32.198
GTA	HSX	201208	41152	399630	768468000	3.8426	23	21	10400000	7900	250	220	15307461000	21457200	206.3193
GTT	HSX	201208	41152	730100	3252835000	1.6783	23	23	43503000	6000	250	250	54229500000	57096200	131.2466
HAG	HSX	201208	41152	7315877	270329000	1.3614	23	23	537371049	26700	250	250	5094192000	90055687	18.6213
HAI	HSX	201208	41152	977390	723419000	5.6172	23	16	17399991	19200	250	225	31287264000	16126860	92.6832
HAP	HSX	201208	41152	3535960	10565449000	12.5946	23	23	28075261	5000	250	250	61279969000	51334615	209.8061
HAS	HSX	201208	41152	1992640	1072357000	24.908	23	23	8000000	5100	250	239	15860624000	17385400	217.3177
HAX	HSX	201208	41152	3532590	1763565000	31.7788	23	22	11116169	4300	250	224	27184737000	20366840	196.9787
HBC	HSX	201208	41152	4943070	76839000	11.9669	23	23	41306134	14000	250	249	51568102000	35000660	152.5121
HCM	HSX	201208	41152	3331731	2500030000	3.3037	23	23	100848637	19300	250	250	26284779000	53695777	58.1715
HDC	HSX	201208	41152	1313290	3104165000	4.7913	23	23	27409741	15700	249	241	40057607000	17534470	72.0344
HDG	HSX	201208	41152	1092510	5711605000	2.6976	23	23	40499948	11800	250	250	52571474000	33089920	81.7037
HHS	HSX	201208	41152	3184780	4893232000	21.2319	23	19	15000000	33800	139	134	30285120000	10947920	96.5489
HLA	HSX	201208	41152	2441340	7683134000	7.0847	23	23	34459293	4100	250	250	49008482000	56458093	163.84
HLG	HSX	201208	41152	1520840	2085060000	3.4272	23	21	44375385	7900	250	247	50015020000	15773000	35.5446
HMC	HSX	201208	41152	348450	1700216000	1.6593	23	23	21000000	8400	250	250	36450844000	13946170	66.4104
HOT	HSX	201208	41152	632340	1308927000	7.9043	23	10	8000000	21700	250	105	15655378000	8845750	110.572
HPG	HSX	201208	41152	3071600	4440631000	0.8796	23	23	349211108	21600	249	249	8417173000	81936887	24.7586
HQC	HSX	201208	41152	13456298	498518000	22.4272	23	23	60000000	4200	250	250	8380902000	87724077	192.4266
HRC	HSX	201208	41152	1528460	2387794000	8.855	23	16	17260976	37500	250	228	43060205000	19898650	115.2811
HSG	HSX	201208	41152	7751230	215269000	7.6904	23	23	100790790	17100	250	250	17284635000	91517005	90.7991
HSI	HSX	201208	41152	6562770	1167152000	65.6277	23	22	10000000	7600	250	243	29463889000	23618630	236.1863
HT1	HSX	201208	41152	1336340	6554231000	0.6749	23	23	198000000	4700	250	250	58054637000	42236460	21.3316
HTI	HSX	201208	41152	2900900	1461877000	11.6272	23	22	24949200	7600	250	240	23921142000	19255680	77.1797
HTL	HSX	201208	41152	160000	731000000	2	23	14	8000000	3700	250	112	17919930000	8006340	100.0793
HTV	HSX	201208	41152	1303100	4569151000	12.9276	23	23	10080000	12500	250	247	45728618000	13870350	137.6027
HU1	HSX	201208	41152	1542720	2862150000	15.4272	23	23	10000000	8100	224	202	34216645000	13931570	139.3157
HU3	HSX	201208	41152	3913970	1406393000	39.1399	23	22	9999944	9000	250	227	30878324000	23334600	233.3474
HVG	HSX	201208	41152	705720	5637596000	1.0693	23	23	65998073	29000	250	250	33403709000	23764893	36.0085
HVX	HSX	201208	41152	847800	1817571000	5.4697	23	17	15500000	4900	250	229	18836001000	21305620	137.4556
ICF	HSX	201208	41152	262020	1062796000	2.0459	23	23	12807000	3700	250	248	23222661000	11692910	91.3009
IDI	HSX	201208	41152	5316650	5865790000	13.9912	23	23	38000000	7900	250	250	38753415000	56122057	147.6896
IFS	HSX	201208	41152	1806340	1695701000	26.2727	23	21	6875359	10200	250	173	17533595000	17469410	254.0872
IJC	HSX	201208	41152	7368222	101631000	2.6872	23	23	274194525	9400	250	250	4426768000	74150272	27.0429
IMP	HSX	201208	41152	2960190	2529402000	19.4564	23	21	15214500	38000	250	229	57567395000	19516670	128.2769
ITA	HSX	201208	41152	1601350	258626000	0.3597	23	23	445155209	5700	250	250	3592943000	50252619	14.327
ITC	HSX	201208	41152	6321363	3096854000	9.1499	23	23	69086688	7900	250	250	25984506000	73991117	107.099
ITD	HSX	201208	41152	729790	5250424000	5.7143	23	23	12771195	6000	215	171	29605807000	8562830	71.4994
JVC	HSX	201208	41152	1344560	5956650000	3.8195	23	23	35419999	18300	250	250	32855414000	46573473	175.5333
