SOURCE	CODE_SRC	CODE_DWL	MARKET	LANGUAGE	INFORMATION	CODE_INFO	LOCAL	FORMAT	EXAMPLE	URL	LEVEL	LEFT	RIGHT	LEFT2	RIGHT2	PROTECT	TIME	STARTROW	DEL_BLLEF	DEL_BLRGT	DEL_FDLEFT	DEL_FDRGT	OUTPUT	STARTDATES	ENDDATES	DEL_DTLEF	DEL_DTRGT	INPUT	DELIMITOR	MULTIPAGES	LIST	BODY	META_FOLDER	PARAM	VFPGETPOST	PHPCHK	VFPCHK	DURATION
VIETSTOCK	VST	VST08	UPC	VN	PRICES	PRICES	Giá hằng ngày			http://data.vietstock.vn/ket-qua-giao-dich/upcom.aspx						0	TODAY						PRICES					WEB										
VIETSTOCK	VST	VSTSTATHM	ALL	VN	PRICES	PRICES				file:///LOCAL/IFRCDATA/DOWNLOADS/VNDB/HTM/PRICES/VST_MDATA/VST_HISTORY_<<TICKER>>.xls		<tbody	</tbody>			0	HISTODAY	1	<tr	</tr>	<td	/td>	PRICES					XLS				Y						
VIETSTOCK	VST	VSTPRHNXHH	HNX	VN	PRICES	PRICES				file:///LOCAL/IFRCDATA/DOWNLOADS/VNDB/HTM/PRICES/VST/HNX/VST_HNX_<<date_yyyymmdd>>.htm		<table border="2" width="965"	</table>			0	HISTODAY	4	<tr	</tr>	<td	/td>	PRICES	20050710	20121129	Ngày 	 </span>	HTM				Y						
VIETSTOCK	VST	VSTPRHSXHH	HSX	VN	PRICES	PRICES				file:///LOCAL/IFRCDATA/DOWNLOADS/VNDB/HTM/PRICES/VST/HSX/VST_HSX_<<date_yyyymmdd>>.htm		<td>GT</td>	</table>			0	HISTODAY	1	<tr	</tr>	<td	/td>	PRICES	20000728	20121129	'dd/mm/yyyy',this)" value="	CHR(34)	HTM				Y						
COPHIEU	CPH	CPHDIVCASTW	ALL	VN	DIVIDEND	DIVIDEND				http://www.cophieu68.com/events.php?stockname=&event_type=1&currentPage=<<page>>		<table width="100%" cellpadding="4" cellspacing="0" bgcolor="#E2EFFE">	</table>			0	TODAY	1	<tr class="tr_row	</tr>	<td	/td>	DIVIDEND					WEB		214		Y						
STOCKBIZ	STB	STBALLTW	ALL	VN	SHARESOLDER	SH_OLDER				http://www.stockbiz.vn/Stocks/<<TICKER>>/MajorHolders.aspx		<div class="mainheader">	</table>			0	TODAY	2	<tr	</tr>	<td	/td>	SH_OLDER					WEB	VN			Y						3
COPHIEU	CPH	CPHALLTW	ALL	VN	SHARESOLDER	SH_OLDER				http://www.cophieu68.com/shareholder.php?id=<<ticker>>		<BR clear="all" /><BR clear="all" />	</table>			0	TODAY	2	<tr	</tr>	<td	/td>	SH_OLDER					WEB				Y						10
CAFEF	CAF	CAFALLTW	ALL	VN	TEST_PARAM	TEST_PARAM				http://s.cafef.vn/Lich-su-giao-dich-<<TICKER>>-4.chn		 <table cellpadding="2"	</table>			1	TODAY	3	<tr	</tr>	<td	/td>	TEST_PARAM					WEB		5		Y						
FPTS	FPT	FPTDIVHW	ALL	VN	DIVIDEND	DIVIDEND				http://www.fpts.com.vn/VN/Lich-su-kien/Thuc-hien-quyen/?r=2&p=<<page>>	1	(*)</td>	</table>			0	TODAY	1	<tr	</tr>	<td	</td>	DIVIDEND					WEB	VN	183		Y						
CAFEF	CAF	CAFOWNERTW	ALL	VN	SHARESOLDER	SH_OLDER				http://s.cafef.vn/Ajax/CongTy/BanLanhDao.aspx?sym=<<TICKER>>		<table cellpadding="2"	</table>			0	TODAY	2	<tr	</tr>	<td	</td>	SH_OLDER					WEB				Y						10
