ticker	market	ftrd	ftrd_shli	ftrd_cls	enddate
SBA	HSX	2010/06/01	45000000	13000	
SBC	HSX	2010/06/02	8000000	32400	
SBS	HSX	2010/07/05	110000000	42000	
SBT	HSX	2008/02/25	141925800	24000	
SC5	HSX	2007/10/18	8600000	192000	
SCC	HNX	2006/12/20	1980000	27000	
SCD	HSX	2006/12/25	8500000	60000	
SCJ	HNX	2007/09/19	2774200	82400	
SCL	HNX	2010/09/15	9000000	31500	
SCO	UPC	2010/09/17	4200000	2500	
SCR	HNX	2010/11/09	100000000	26100	
SD1	HNX	2010/07/23	5000000	35000	
SD2	HNX	2007/03/12	3500000	157000	
SD3	HNX	2006/12/25	2000000	25000	
SD4	HNX	2008/06/25	7500000	14000	
SD5	HNX	2006/12/27	2200000	37000	
SD6	HNX	2006/12/25	2300000	31000	
SD7	HNX	2006/12/27	1500000	27000	
SD8	HNX	2008/11/28	2800000	17500	
SD9	HNX	2006/12/20	7000000	48700	
SDA	HNX	2006/12/21	2000000	76200	
SDB	HNX	2010/03/10	5500000	45800	
SDC	HNX	2006/12/25	1000000	50700	
SDD	HNX	2008/01/23	3650000	49900	
SDE	HNX	2010/03/23	1509565	30000	
SDG	HNX	2009/12/22	5000000	25000	
SDH	HNX	2009/10/19	5175000	49900	
SDI	UPC	2011/06/16	50000000	33000	
SDJ	HNX	2007/12/25	1838400	89000	
SDK	UPC	2010/10/28	2600000	0	
SDN	HNX	2009/06/22	1140000	21700	
SDN	HSX	2006/12/25	1140000	70000	2009/06/09
SDP	HNX	2009/04/15	5000000	15000	
SDS	HNX	2008/07/23	1500000	20200	
SDT	HNX	2006/12/14	6000000	67800	
SDU	HNX	2009/09/28	10000000	82000	
SDV	UPC	2011/04/22	5000000	16900	
SDY	HNX	2006/12/25	1500000	35000	
SEB	HNX	2009/01/14	12500000	15000	
SEC	HSX	2010/01/06	12613472	21600	
SED	HNX	2009/08/19	8000000	19400	
SEL	HNX	2010/09/16	4850000	19800	
SFC	HSX	2004/09/21	1700000	22800	
SFI	HSX	2006/12/29	1138500	110000	
SFN	HNX	2009/06/12	3000000	15700	
SFN	HSX	2006/12/28	3000000	101000	2009/06/04
SGC	HNX	2009/06/18	5956402	17900	
SGC	HSX	2006/09/05	4088700	55000	2009/06/09
SGD	HNX	2006/12/28	1000000	50000	
SGH	HNX	2009/07/30	1766300	66500	
SGH	HSX	2001/07/16	1766300	25200	2009/07/20
SGS	UPC	2010/12/22	14420000	0	
SGT	HSX	2008/01/18	45000000	108000	
SHC	HNX	2009/06/15	3709500	19000	
SHC	HSX	2006/08/15	1400000	30000	2009/06/03
SHI	HSX	2009/12/30	15000000	27600	
SHN	HNX	2009/12/16	8702000	15500	
SHP	UPC	2010/09/10	77011344	0	
SHS	HNX	2009/06/25	41062996	40200	
SHV	UPC	2010/08/27	5953720	32000	
SIC	HNX	2006/12/27	2200000	34500	
SII	HSX	2012/09/12	40000000	10000	
SJ1	HNX	2009/06/08	3500000	19000	
SJ1	HSX	2006/12/29	2000000	34000	2009/05/29
SJC	HNX	2007/11/21	2110000	85000	
SJD	HSX	2006/12/25	20000000	35000	
SJE	HNX	2006/12/14	2000000	38800	
SJM	HNX	2008/01/10	1500000	70000	
SJS	HSX	2006/07/06	5000000	100000	
SKS	HNX	2009/04/17	1900000	16100	
SLS	HNX	2012/10/16	6800000	26900	
SMA	HSX	2010/10/19	8060000	15000	
SMB	UPC	2010/09/08	29846648	15000	
SMC	HSX	2006/10/30	6000000	32000	
SME	HNX	2010/04/07	15000000	19600	
SME	UPC	2009/06/24	15000000	19300	2010/03/29
SMT	HNX	2010/07/30	2500000	19000	
SNG	HNX	2006/12/25	1900000	45000	
SPC	UPC	2010/09/09	8100000	33000	
SPD	UPC	2010/04/22	7560000	15000	
SPM	HSX	2010/05/21	14000000	74000	
SPP	HNX	2008/09/25	3500000	80000	
SQC	HNX	2009/12/17	100000000	81000	
SRA	HNX	2008/01/18	1000000	52000	
SRB	HNX	2008/03/17	5650000	15000	
SRC	HSX	2009/10/07	10800000	50000	
SRF	HSX	2009/10/21	8020000	42000	
SSC	HSX	2005/03/01	6000000	30800	
SSF	UPC	2010/04/20	1600000	0	
SSG	HNX	2011/01/05	4984190	15000	
SSI	HSX	2007/10/29	79999917	285000	
SSI	HNX	2006/12/15	50000000	165900	2007/10/12
SSM	HNX	2008/11/17	2751664	13500	
SSS	HNX	2007/08/28	2500000	49500	
ST8	HSX	2007/12/18	8200000	89000	
STC	HNX	2006/12/27	2880000	88900	
STG	HSX	2010/03/02	8351857	24000	
STL	HNX	2008/09/23	10000000	31000	
STP	HNX	2006/10/09	800000	23800	
STS	UPC	2010/03/30	2082200	25000	
STT	HSX	2011/07/08	8000000	16000	
STU	UPC	2010/10/19	1125600	0	
STV	UPC	2011/12/15	4000000	25000	
SVC	HSX	2009/06/01	20361040	25900	
SVC	HNX	2006/12/21	12873410	164900	2009/05/16
SVI	HSX	2012/03/12	8918990	22400	
SVI	HNX	2008/12/22	3900000	12200	2012/02/27
SVN	HNX	2011/07/26	3000000	12700	
SVS	HNX	2010/07/07	13500000	17900	
SVS	UPC	2009/09/22	13500000	12000	2010/06/28
SVT	HSX	2011/10/05	8700000	17000	
SWC	UPC	2011/04/29	67100000	0	
SZL	HSX	2008/09/09	10000000	84000	
TAC	HSX	2006/12/26	18890200	75000	
TAG	HNX	2010/01/12	4506821	77000	
TAS	HNX	2010/02/22	13900000	16500	
TAS	UPC	2009/06/24	13900000	17200	2010/02/03
TBC	HSX	2009/10/19	63500000	30400	
TBC	HNX	2006/08/29	63500000	26900	2009/09/28
TBT	UPC	2010/03/01	1656470	0	
TBX	HNX	2008/11/18	1011400	29000	
TC6	HNX	2008/06/26	10000000	30000	
TCL	HSX	2009/12/24	17000000	41000	
TCM	HSX	2007/10/15	18982497	54000	
TCO	HSX	2012/02/27	12870000	10300	
TCO	UPC	2009/10/06	9090000	10000	2011/12/15
TCR	HSX	2006/12/29	4969000	35000	
TCS	HNX	2008/11/21	10000000	25100	
TCT	HNX	2009/10/05	3197000	77000	
TCT	HSX	2006/12/06	1598500	49000	2009/09/23
TDC	HSX	2010/05/04	20000000	36000	
TDH	HSX	2006/12/14	17000000	300000	
TDN	HNX	2008/11/21	8000000	28800	
TDS	UPC	2011/10/06	12225393	15000	
TDW	HSX	2010/11/11	8500000	9900	
TET	HNX	2010/04/28	5702940	35500	
TGP	UPC	2009/06/24	10000000	11700	
TH1	HNX	2009/11/11	8892733	69800	
THB	HNX	2008/11/19	11424570	16800	
THG	HSX	2011/07/28	8000000	20000	
THT	HNX	2008/10/24	9100000	22500	
THV	HNX	2010/12/03	55000000	16900	
TIC	HSX	2009/10/12	16582600	24000	
TIE	HSX	2009/12/11	9569900	27200	
TIG	HNX	2010/10/08	15000000	30000	
TIS	UPC	2011/03/24	184000000	11000	
TIX	HSX	2009/11/25	12000000	69500	
TJC	HNX	2007/12/17	3000000	50000	
TKC	HNX	2009/12/01	6050000	33600	
TKU	HNX	2006/06/26	3281854	35100	
TLC	HNX	2006/12/28	2000000	85000	
TLG	HSX	2010/03/26	15500000	35000	
TLH	HSX	2010/03/16	54000000	34700	
TLT	HNX	2006/12/08	1800000	35000	
TMC	HNX	2009/06/08	4000000	30900	
TMC	HSX	2006/12/26	2564140	60000	2009/05/29
TMP	HSX	2009/06/18	70000000	24000	
TMS	HSX	2000/08/04	4290000	14000	
TMT	HSX	2010/01/22	12577500	55000	
TMW	UPC	2009/12/23	4662350	0	
TMX	HNX	2009/11/02	6000000	23600	
TNA	HSX	2005/07/20	1300000	30000	
TNB	UPC	2010/04/16	10000000	19900	
TNC	HSX	2007/08/22	19250000	40000	
TNG	HNX	2007/11/22	5430000	67000	
TNM	UPC	2009/10/27	3800000	10000	
TNT	HSX	2010/05/21	8500000	28800	
TNY	UPC	2011/06/15	1800000	0	
TPC	HSX	2007/11/28	10400000	69000	
TPH	HNX	2006/12/15	1200000	30700	
TPP	HNX	2008/09/26	2000000	20000	
TRA	HSX	2008/11/26	8000000	63500	
TRC	HSX	2007/07/24	30000000	145000	
TRI	HSX	2001/12/28	3740300	29000	
TS4	HSX	2002/08/08	1500000	22000	
TSB	HNX	2011/01/19	3372740	29500	
TSC	HSX	2007/10/04	8312915	48000	
TSM	HNX	2010/07/02	2936140	26000	
TST	HNX	2007/12/13	4800000	69000	
TTC	HNX	2010/01/07	5992348	10200	
TTC	HSX	2006/08/08	3992000	19000	2009/12/28
TTF	HSX	2008/02/18	15000000	70000	
TTG	UPC	2010/02/02	2000000	0	
TTP	HSX	2006/12/05	10655000	81000	
TTR	UPC	2009/12/04	1993393	10800	
TV1	HSX	2010/09/23	10000000	20500	
TV2	HNX	2009/10/13	4439000	33000	
TV3	HNX	2009/12/01	2940000	23000	
TV4	HNX	2008/07/22	2750000	14000	
TVD	HNX	2011/01/11	15280790	19400	
TVG	UPC	2010/01/25	1720000	0	
TXM	HNX	2006/12/11	3500000	17900	
TYA	HSX	2006/02/15	3653480	34000	
UDC	HSX	2010/07/05	35000000	24000	
UDJ	UPC	2009/12/22	16500000	0	
UIC	HSX	2007/11/12	8000000	80000	
UNI	HNX	2009/06/08	4743933	16700	
UNI	HSX	2006/07/03	1000000	28200	2009/05/29
V11	UPC	2008/12/15	5000000	12200	
V12	HNX	2010/01/05	3000000	37000	
V15	HNX	2009/12/17	6000000	16000	
V21	HNX	2010/04/21	1700000	60000	
VAT	HNX	2010/12/15	1200000	16500	
VBC	HNX	2010/03/17	1898364	40000	
VBH	HNX	2006/12/29	2900000	30000	
VC1	HNX	2009/05/14	3500000	27000	
VC2	HNX	2006/12/11	2000000	38300	
VC3	HNX	2007/12/13	8000000	116000	
VC5	HNX	2008/01/16	5000000	57000	
VC6	HNX	2008/01/28	4000000	44800	
VC7	HNX	2007/12/28	5000000	55000	
VC9	HNX	2009/11/05	8000000	50200	
VCA	UPC	2011/02/21	15187322	0	
VCC	HNX	2009/02/05	4000000	10000	
VCF	HSX	2011/01/28	26579135	53500	
VCG	HNX	2008/09/05	149985150	39600	
VCH	HNX	2010/07/21	3970000	29400	
VCM	HNX	2010/05/11	3000000	56100	
VCR	HNX	2010/05/10	30000000	38000	
VCS	HNX	2007/12/17	10000000	84500	
VCT	UPC	2010/07/15	1100000	40000	
VCV	HNX	2010/08/05	11007183	15800	
VDL	HNX	2007/11/27	1200000	86000	
VDN	UPC	2010/07/15	2000000	13500	
VDS	HNX	2010/05/25	33000000	19600	
VDS	UPC	2009/06/24	33000000	19500	2010/05/14
VDT	UPC	2011/03/01	1965440	12000	
VE1	HNX	2008/09/04	3000000	19000	
VE2	HNX	2010/07/26	1861141	54000	
VE3	HNX	2010/06/30	1319700	32000	
VE4	HNX	2012/10/16	1028000	12000	
VE9	HNX	2008/01/23	3100000	31000	
VES	HSX	2010/04/14	9007500	16900	
VFC	HSX	2006/07/24	5575627	30000	
VFG	HSX	2009/12/17	8133855	68000	
VFMVF1	HSX	2006/12/18	30000000	37000	
VFMVF4	HSX	2008/06/12	80646000	8300	
VFMVFA	HSX	2010/08/09	24043760	10000	
VFR	HNX	2006/12/28	15000000	36100	
VGP	HNX	2009/06/12	6201608	25600	
VGP	HSX	2006/12/21	3885020	58000	2009/05/30
VGS	HNX	2008/12/04	7000000	17700	
VHC	HSX	2007/12/24	30000000	62000	
VHF	UPC	2010/05/07	4300000	0	
VHG	HSX	2008/01/28	25000000	96000	
VHH	HNX	2010/07/28	6000000	21300	
VHL	HNX	2009/02/12	7000000	27000	
VIA	UPC	2010/04/20	1200000	0	
VIC	HSX	2007/09/19	80000000	125000	
VID	HSX	2006/12/25	8455700	79000	
VIE	HNX	2011/05/06	1561244	9000	
VIG	HNX	2009/12/01	15000000	22800	
VIP	HSX	2006/12/21	35100000	55000	
VIR	UPC	2010/07/01	5240000	7100	
VIS	HSX	2006/12/25	10000000	45000	
VIT	HNX	2009/11/03	4500000	37900	
VIX	HNX	2009/12/29	30000000	28300	
VKC	HNX	2010/12/08	13000000	13000	
VKD	UPC	2010/04/12	2160000	0	
VKP	HSX	2008/06/19	8000000	44000	
VLA	HNX	2010/08/04	1080000	20000	
VLF	HSX	2010/12/21	10400000	30000	
VMC	HNX	2006/12/11	3500000	51900	
VMD	HSX	2010/09/30	8141196	30400	
VMG	HNX	2009/09/30	9600000	21000	
VNA	HSX	2008/09/09	20000000	44000	
VNC	HNX	2006/12/21	5250000	37200	
VND	HNX	2010/03/30	45000000	42000	
VNE	HSX	2007/08/09	32000000	52000	
VNF	HNX	2010/12/01	5600000	27100	
VNG	HSX	2009/12/17	13000000	16000	
VNH	HSX	2010/04/08	8023071	19200	
VNI	HSX	2009/09/09	10559996	30000	
VNL	HSX	2009/08/17	8190000	31200	
VNM	HSX	2006/01/19	159000000	53000	
VNN	HNX	2012/12/03	5726698	14000	
VNR	HNX	2006/03/13	34300000	37300	
VNS	HSX	2008/07/29	17000000	48000	
VNT	HNX	2009/08/14	5472000	40500	
VOS	HSX	2010/09/08	140000000	14400	
VPC	HNX	2012/06/18	5625000	3500	
VPC	UPC	2009/10/07	5625000	9400	2012/06/12
VPH	HSX	2009/09/09	20083285	36000	
VPK	HSX	2006/12/21	7600000	27500	
VPL	HSX	2008/01/31	100000000	136000	
VQC	UPC	2010/02/26	1400000	0	
VRC	HSX	2010/07/26	10116910	43200	
VSC	HSX	2008/01/09	8037334	124000	
VSG	HSX	2008/09/18	11044000	20000	
VSH	HSX	2006/07/18	125000000	35500	
VSH	HNX	2005/07/14	124230000	13000	2006/07/04
VSI	HSX	2010/12/24	12000000	24000	
VSP	UPC	2012/07/06	38084489	1900	
VSP	HNX	2006/12/25	4000000	70000	2012/05/31
VST	HSX	2009/02/26	40000000	19200	
VT1	UPC	2010/04/15	2000000	23000	
VTA	UPC	2011/10/31	6000000	2500	
VTA	HSX	2006/12/29	4000000	22000	2009/07/23
VTA	HNX	2009/08/06	6000000	9300	2011/05/31
VTB	HSX	2006/12/27	7000000	47000	
VTC	HNX	2009/06/08	4050085	12100	
VTC	HSX	2003/02/12	1794434	21000	2009/05/29
VTF	HSX	2010/09/24	18025509	18100	
VTI	UPC	2010/12/17	3500000	18000	
VTL	HNX	2005/01/08	1800000	18100	
VTO	HSX	2007/10/09	40000000	90000	
VTS	HNX	2006/09/20	1000000	25200	
VTV	HNX	2006/12/18	2500000	15200	
VXB	HNX	2010/06/22	4049006	29500	
WCS	HNX	2010/09/17	2500000	34000	
WSB	UPC	2010/08/10	14500000	17000	
WSS	HNX	2009/12/15	10800000	19900	
WTC	UPC	2010/07/15	10000000	50000	
XMC	HNX	2007/12/20	10000000	55000	
YBC	HNX	2008/05/20	2210880	18000	
YSC	HNX	2006/12/29	730000	52800	
