ticker	market	ftrd	ftrd_shli	ftrd_cls	enddate
CMX	HSX	2010/11/09	11496797	15000	
CNG	HSX	2011/11/23	20312038	28700	
CNT	HSX	2008/07/28	8000000	36000	
COM	HSX	2006/08/07	3400000	39000	
CPC	HNX	2010/01/18	4108800	24500	
CSC	HNX	2009/11/04	2500000	46600	
CSG	HSX	2009/07/10	29742020	15900	
CSG	HNX	2008/05/06	30000000	14100	2009/06/30
CSM	HSX	2009/08/11	25000000	50000	
CT3	UPC	2009/11/20	2181209	0	
CT6	HNX	2010/05/04	4437401	31500	
CTA	HNX	2010/10/01	8000000	24900	
CTB	HNX	2006/10/10	1714330	31100	
CTC	HNX	2008/07/18	2376200	21500	
CTD	HSX	2010/01/20	18450000	114000	
CTI	HSX	2010/03/19	15000000	26400	
CTM	HNX	2009/08/07	2677800	15000	
CTN	HNX	2006/12/20	3000000	50600	
CTS	HNX	2009/07/31	78933400	31600	
CTV	HNX	2011/09/09	2000000	9000	
CTX	HNX	2012/05/24	25453800	13600	
CVN	HNX	2010/08/06	1000000	34500	
CVT	HNX	2009/11/05	4000000	25000	
CX8	HNX	2010/05/19	1858960	23000	
CYC	HSX	2006/07/31	9074855	20000	
CZC	UPC	2011/04/05	2667900	0	
D11	HNX	2011/02/25	2600000	67000	
D26	UPC	2011/01/10	1000000	0	
DAC	HNX	2006/09/20	750000	17000	
DAD	HNX	2009/08/19	5000000	15200	
DAE	HNX	2006/12/28	500000	31400	
DAG	HSX	2010/04/08	10000000	21600	
DAP	UPC	2010/05/04	1200000	0	
DBC	HNX	2008/03/18	7000000	26100	
DBF	UPC	2010/06/21	3679200	28000	
DBM	UPC	2009/12/17	1294392	33000	
DBT	HNX	2009/10/30	3000000	42000	
DC2	HNX	2010/07/02	1100000	45000	
DC4	HNX	2008/11/03	2000000	17400	
DCC	HSX	2007/12/12	10300000	69000	
DCL	HSX	2008/09/17	8100000	62000	
DCS	HNX	2007/12/17	2000000	40000	
DCT	HSX	2006/10/10	12097346	32000	
DDM	HSX	2008/07/22	8920000	16800	
DDN	UPC	2009/06/24	2800000	37000	
DGT	UPC	2010/03/09	2481000	0	
DHA	HSX	2004/04/14	3849962	38500	
DHC	HSX	2009/07/23	8000000	17400	
DHG	HSX	2006/12/21	8000000	320000	
DHI	HNX	2006/12/04	1000000	19600	
DHL	HNX	2012/06/06	5500000	10400	
DHM	HSX	2012/07/24	16000000	20000	
DHT	HNX	2008/12/03	4122602	25000	
DIC	HSX	2006/12/28	3200000	38000	
DID	HNX	2009/12/10	2434200	22000	
DIG	HSX	2009/08/19	60000000	66000	
DIH	HNX	2011/04/27	2984942	17000	
DL1	HNX	2010/03/10	1500000	25200	
DLC	UPC	2011/05/11	4780080	19000	
DLD	UPC	2011/04/08	9307415	0	
DLG	HSX	2010/06/22	29100000	30000	
DLR	HNX	2010/05/20	4500000	32300	
DLV	UPC	2010/11/02	2910000	0	
DMC	HSX	2006/12/25	10700000	130000	
DNC	HNX	2009/12/23	1605095	19800	
DNF	UPC	2010/09/06	5000000	0	
DNL	UPC	2011/08/18	3000000	0	
DNM	HNX	2011/02/16	2411510	26000	
DNP	HNX	2009/06/29	3427637	18600	
DNP	HNX	2006/12/20	2000000	53500	2009/06/17
DNS	UPC	2010/04/05	5953747	16400	
DNT	UPC	2009/08/14	5032700	13000	
DNY	HNX	2010/05/11	15000000	55000	
DPC	HNX	2009/06/10	2237280	17600	
DPC	HNX	2001/11/28	1587280	35000	2009/06/01
DPM	HSX	2007/11/05	380000000	95000	
DPP	UPC	2010/05/19	1985447	0	
DPR	HSX	2007/11/30	40000000	99000	
DQC	HSX	2008/02/21	15434000	232000	
DRC	HSX	2006/12/29	9247500	95000	
DRH	HSX	2010/07/26	14990000	18700	
DRL	HSX	2012/04/11	9500000	20000	
DSN	HSX	2010/10/26	8450000	24000	
DST	HNX	2007/10/16	1000000	78000	
DTA	HSX	2010/07/16	10000000	32500	
DTC	HNX	2006/12/25	500000	17000	
DTL	HSX	2010/06/04	38800000	31100	
DTT	HSX	2006/12/22	2000000	45000	
DTV	UPC	2010/09/09	5280000	0	
DVD	HSX	2009/12/22	8910000	74000	2011/09/01
DVH	UPC	2010/11/02	4350000	20500	
DVP	HSX	2009/12/01	20000000	49200	
DXG	HSX	2009/12/22	8000000	48000	
DXL	UPC	2010/06/28	2689000	0	
DXP	HNX	2009/06/08	5250000	38000	
DXP	HNX	2005/12/26	3500000	18500	2006/11/24
DXV	HSX	2008/02/26	9900000	33600	
DZM	HNX	2009/06/11	2500000	64000	
EBS	HNX	2006/12/21	1000000	72900	
ECI	HNX	2009/06/16	1860000	20200	
EFI	HNX	2009/09/30	3570000	16200	
EID	HNX	2009/08/11	8000000	26300	
ELC	HSX	2010/10/13	22125000	55000	
EMC	HSX	2012/11/29	8073000	9600	
EVE	HSX	2010/12/17	15327996	45000	
FBA	UPC	2011/02/18	3414900	0	
FBT	HSX	2008/01/14	15000000	42000	
FCN	HSX	2012/07/24	13805162	19200	
FDC	HSX	2010/01/18	14297699	43100	
FDG	HSX	2011/04/20	13200000	28000	
FDT	HNX	2011/09/12	3054500	19500	
FLC	HNX	2011/10/05	10000000	16200	
FMC	HSX	2006/12/07	6000000	66000	
FPC	HSX	2006/07/25	10000000	40000	
FPT	HSX	2006/12/13	60810230	400000	
GAS	HSX	2012/05/21	1895000000	41000	
GBS	HNX	2010/10/11	13500000	13100	
GDT	HSX	2009/11/17	10372365	36000	
GDW	UPC	2010/06/15	9500000	0	
GER	UPC	2010/06/01	2200000	9500	
GFC	HNX	2011/04/21	8080000	10500	
GGG	HNX	2009/10/12	6450000	30000	
GHC	UPC	2011/04/26	10000000	0	
GIL	HSX	2002/01/02	2550000	38000	
GLT	HNX	2009/11/26	6375779	45000	
GMC	HSX	2006/12/22	2275000	45000	
GMD	HSX	2002/04/22	12658843	42500	
GMX	HNX	2011/09/15	5320694	15000	
GSP	HSX	2012/03/09	30000000	13600	
GTA	HSX	2007/07/23	8407750	66000	
GTH	UPC	2009/10/28	1900000	16000	
GTT	HSX	2010/06/30	29002000	16000	
H11	UPC	2011/04/28	1060000	0	
HAD	HNX	2009/10/27	4000000	53800	
HAG	HSX	2008/12/22	179814501	48000	
HAI	HSX	2010/04/20	14499998	45000	
HAI	HNX	2006/12/27	11400000	55000	2010/04/05
HAP	HSX	2000/08/04	2003773	16000	
HAS	HSX	2002/12/19	1200000	21500	
HAT	HNX	2010/10/29	3123000	28000	
HAX	HSX	2006/12/26	1625730	35000	
HBC	HSX	2006/12/27	5639990	103000	
HBD	HNX	2009/06/15	1535000	13900	
HBD	HSX	2006/12/29	1535000	30000	2009/06/03
HBE	HNX	2008/02/22	1000000	38000	
HBS	HNX	2010/07/16	30000000	19700	
HCC	HNX	2007/12/24	1622802	59000	
HCI	UPC	2010/09/17	4360000	0	
HCM	HSX	2009/05/19	39463400	32400	
HCT	HNX	2007/11/27	1041558	46000	
HDA	HNX	2010/12/27	2200000	26900	
HDC	HSX	2007/10/08	8128000	84000	
HDG	HSX	2010/02/02	13500000	103000	
HDM	UPC	2010/01/21	3000000	12000	
HDO	HNX	2010/06/17	4304672	22800	
HDO	UPC	2009/11/11	4304672	14500	2010/06/11
HEV	HNX	2007/12/11	1000000	80000	
HFC	UPC	2010/03/01	2100000	0	
HFX	UPC	2011/11/10	1270000	2100	
HGM	HNX	2009/12/21	6000000	69000	
HHC	HNX	2007/11/20	5475000	73000	
HHG	HNX	2010/07/28	13600000	16500	
HHL	HNX	2010/01/08	2748270	26000	
HHS	HSX	2012/02/15	10000000	35000	
HIG	UPC	2009/06/24	9609062	31400	
HJS	HNX	2006/12/20	4000000	35000	
HLA	HSX	2008/10/30	19000000	30000	
HLC	HNX	2009/03/05	9300000	32000	
HLG	HSX	2009/09/09	28768711	36000	
HLY	HNX	2006/12/25	500000	18000	
HMC	HSX	2006/12/21	15800000	40000	
HMH	HNX	2010/07/28	5438790	32300	
HNM	HNX	2006/12/27	7049500	59500	
