DATES	STK_CODE	STK_SHARES	ADJCLOSE	CLOSE	DIVTR
2006/12/05	PVD	0	51.715600	130.000000	0.000000
2006/12/06	PVD	0	49.328700	124.000000	0.000000
2006/12/07	PVD	0	46.941900	118.000000	0.000000
2006/12/08	PVD	0	44.952800	113.000000	0.000000
2006/12/11	PVD	0	46.941900	118.000000	0.000000
2006/12/12	PVD	0	47.737500	120.000000	0.000000
2006/12/13	PVD	0	50.124400	126.000000	0.000000
2006/12/14	PVD	0	52.511200	132.000000	0.000000
2006/12/15	PVD	0	54.898100	138.000000	0.000000
2006/12/18	PVD	0	57.285000	144.000000	0.000000
2006/12/19	PVD	0	60.069700	151.000000	0.000000
2006/12/20	PVD	0	62.854400	158.000000	0.000000
2006/12/21	PVD	0	60.467500	152.000000	0.000000
2006/12/22	PVD	0	57.682800	145.000000	0.000000
2006/12/25	PVD	0	60.467500	152.000000	0.000000
2006/12/26	PVD	0	63.252200	159.000000	0.000000
2006/12/27	PVD	0	66.036900	166.000000	0.000000
2006/12/28	PVD	0	66.036900	166.000000	0.000000
2006/12/29	PVD	0	66.434700	167.000000	0.000000
2007/01/02	PVD	0	64.445600	162.000000	0.000000
2007/01/03	PVD	0	66.832500	168.000000	0.000000
2007/01/04	PVD	0	70.015000	176.000000	0.000000
2007/01/05	PVD	0	73.197500	184.000000	0.000000
2007/01/08	PVD	0	76.777800	193.000000	0.000000
2007/01/09	PVD	0	80.358100	202.000000	0.000000
2007/01/10	PVD	0	84.336200	212.000000	0.000000
2007/01/11	PVD	0	88.314300	222.000000	0.000000
2007/01/12	PVD	0	92.690300	233.000000	0.000000
2007/01/15	PVD	0	97.066200	244.000000	0.000000
2007/01/16	PVD	0	101.840000	256.000000	0.000000
2007/01/17	PVD	0	106.613700	268.000000	0.000000
2007/01/18	PVD	0	111.785300	281.000000	0.000000
2007/01/19	PVD	0	117.354600	295.000000	0.000000
2007/01/22	PVD	0	117.354600	295.000000	0.000000
2007/01/23	PVD	0	117.354600	295.000000	0.000000
2007/01/24	PVD	0	111.785300	281.000000	0.000000
2007/01/25	PVD	0	106.215900	267.000000	0.000000
2007/01/26	PVD	0	101.044300	254.000000	0.000000
2007/01/29	PVD	0	105.818100	266.000000	0.000000
2007/01/30	PVD	0	110.989600	279.000000	0.000000
2007/01/31	PVD	0	116.161200	292.000000	0.000000
2007/02/01	PVD	0	110.591800	278.000000	0.000000
2007/02/02	PVD	0	112.978700	284.000000	0.000000
2007/02/05	PVD	0	112.978700	284.000000	0.000000
2007/02/06	PVD	0	112.978700	284.000000	0.000000
2007/02/07	PVD	0	112.978700	284.000000	0.000000
2007/02/08	PVD	0	107.409300	270.000000	0.000000
2007/02/09	PVD	0	107.409300	270.000000	0.000000
2007/02/12	PVD	0	111.785300	281.000000	0.000000
2007/02/13	PVD	0	111.387500	280.000000	0.000000
2007/02/14	PVD	0	111.387500	280.000000	0.000000
2007/02/15	PVD	0	112.183100	282.000000	0.000000
2007/02/26	PVD	0	117.752500	296.000000	0.000000
2007/02/27	PVD	0	123.321800	310.000000	0.000000
2007/02/28	PVD	0	118.548100	298.000000	0.000000
2007/03/01	PVD	0	115.365600	290.000000	0.000000
2007/03/02	PVD	0	117.354600	295.000000	0.000000
2007/03/05	PVD	0	114.967800	289.000000	0.000000
2007/03/06	PVD	0	109.398400	275.000000	0.000000
2007/03/07	PVD	0	110.591800	278.000000	0.000000
2007/03/08	PVD	0	110.194000	277.000000	0.000000
2007/03/09	PVD	0	110.194000	277.000000	0.000000
2007/03/12	PVD	0	111.387500	280.000000	0.000000
2007/03/13	PVD	0	107.409300	270.000000	0.000000
2007/03/14	PVD	0	103.033400	259.000000	0.000000
2007/03/15	PVD	0	99.453100	250.000000	0.000000
2007/03/16	PVD	0	104.226800	262.000000	0.000000
2007/03/19	PVD	0	104.226800	262.000000	0.000000
2007/03/20	PVD	0	100.248700	252.000000	0.000000
2007/03/21	PVD	0	100.646500	253.000000	0.000000
2007/03/22	PVD	0	98.259700	247.000000	0.000000
2007/03/23	PVD	0	98.657500	248.000000	0.000000
2007/03/26	PVD	0	98.657500	248.000000	0.000000
2007/03/27	PVD	0	97.464000	245.000000	0.000000
2007/03/28	PVD	0	97.464000	245.000000	0.000000
2007/03/29	PVD	0	97.464000	245.000000	0.000000
2007/03/30	PVD	0	97.464000	245.000000	0.000000
2007/04/02	PVD	0	97.464000	245.000000	0.000000
2007/04/03	PVD	0	93.485900	235.000000	0.000000
2007/04/04	PVD	0	97.861800	246.000000	0.000000
