STK_CODE	STK_NAME	STK_NAME_SN	STK_NAME_SN_VN	STK_MARKET	STK_SECTOR	STK_CURR	STK_MULT	SAMPLE	IPO	TICKER	SOURCE
PVE	VNX Investment Consultancy and Engineerin	VNX Investment Consultancy and Engineering	Tổng công ty Tư vấn và Thiết kế Dầu khí	VNXHN	VNXIN	VND	1	1	2008/01/02	PVE	WEBSITE
PVX	VNX Construction	VNX Construction	Tổng CTCP Xây lắp Dầu khí VN	VNXHN	VNXIN	VND	1	1	2009/08/19	PVX	WEBSITE
PSP	Dinh Vu Petroleum Service Port Joint Stock Co	Dinh Vu Petroleum Service Port	CTCP Cảng dịch vụ dầu khí Đình Vũ	VNXUC	VNXIN	VND	1	1	2009/11/10	PSP	WEBSITE
PTT	Indochina Petroleum Transportation Joint Stock Com	Indochina Petroleum Transportation	CTCP Vận tải Dầu khí Đông Dương	VNXUC	VNXIN	VND	1	1	2010/04/29	PTT	WEBSITE
PGD	VNX Low Pressure Gas Distribution Joint S	VNX Low Pressure Gas Distribution	CTCP Phân phối khí thấp áp Dầu khí VN	VNXHM	VNXOG	VND	1	1	2009/11/26	PGD	WEBSITE
PVD	VNX Drilling & Well Services Joint Stock 	VNX Drilling & Well Services	Tổng CTCP khoan và dịch vụ khoan Dầu khí	VNXHM	VNXOG	VND	1	1	2006/12/05	PVD	WEBSITE
PCG	PetroVietnam Gas City Investment and Development JSC	PetroVietnam Gas City Investment and Development JSC	CTCP Đầu tư và phát triển Gas Đô thị	VNXHN	VNXOG	VND	1	1	2010/12/29	PCG	WEBSITE
PSG	Saigon Petroleum Constrution And Investment JSC	Saigon Petroleum Constrution And Investment JSC	CTCP Đầu tư và Xây lắp Dầu khí Sài Gòn	VNXHN	VNXOG	VND	1	1	2011/03/15	PSG	WEBSITE
PVS	VNX Technical Services Corp	VNX Technical Services	Tổng CTCP Dịch vụ Kỹ thuật Dầu khí	VNXHN	VNXOG	VND	1	1	2007/09/20	PVS	WEBSITE
POV	Vung Ang Petroleum Joint Stock Co	Vung Ang Petroleum	CTCP Xăng dầu Dầu khí Vũng Áng	VNXUC	VNXOG	VND	1	1	2010/09/23	POV	WEBSITE
PGS	VNX Southern Gas Joint Stock Co	VNX Southern Gas	CTCP Kinh doanh Khí hóa lỏng Miền Nam	VNXHN	VNXUT	VND	1	1	2007/11/15	PGS	WEBSITE
PVG	VNX Northern Gas Joint Stock Co	VNX Northern Gas	CTCP Kinh doanh khí hóa lỏng Miền Bắc	VNXHN	VNXUT	VND	1	1	2009/01/07	PVG	WEBSITE
NT2	VNX Power NhonTrach 2 Joint Stock Co	VNX Power NhonTrach 2	CTCP Điện lực Dầu khí Nhơn Trạch 2	VNXUC	VNXUT	VND	1	1	2010/01/22	NT2	WEBSITE
