TABLE	DBF	FIELD	FIELD_DBF	HEADER	WIDTH	ALIGN	FORMAT	DECIMAL	ORDER	EDITTYPE	EDITOPTION	FIELD_LEN	EXAMPLE
IDX_REF	IDX_REF	idx_web	IDX_WEB	IDXWEB	200	C	C	0	28	textarea	255		
IDX_REF	IDX_REF	idx_isin	IDX_ISIN	IDXISIN	200	C	C	0	29	textarea	255		
IDX_REF	IDX_REF	idx_reuters	IDX_REUTERS	IDXREUTERS	200	C	C	0	30	textarea	255		
IDX_REF	IDX_REF	idx_bl	IDX_BL	IDXBL	200	C	C	0	31	textarea	255		
IDX_REF	IDX_REF	idx_yh	IDX_YH	IDXYH	200	C	C	0	32	textarea	255		
IDX_REF	IDX_REF	idx_ggl	IDX_GGL	IDXGGL	200	C	C	0	33	textarea	255		
IDX_REF	IDX_REF	calculs	CALCULS	CALCULS	50	C	smallint	0	34	text	6	0	
IDX_REF	IDX_REF	publications	PUBLICATIONS	PUBLICATIONS	50	C	smallint	0	35	text	6	0	
IDX_REF	IDX_REF	idx_igs	IDX_IGS	IDXIGS	200	C	C	0	36	textarea	255	NULL	
IDX_REF	IDX_REF	idx_es	IDX_ES	IDXES	200	C	C	0	37	textarea	255	NULL	
IDX_REF	IDX_REF	idx_sel	IDX_SEL	IDXSEL	200	C	C	0	38	textarea	255	NULL	
IDX_REF	IDX_REF	idx_inconnect	IDX_INCONNECT	IDXINCONNECT	200	C	C	0	39	textarea	255	NULL	
IDX_REF	IDX_REF	idx_capfrev	IDX_CAPFREV	IDXCAPFREV	200	C	C	0	40	textarea	255	NULL	
STK_PRICES	STK_PRICES	id	ID	ID	50	C	N	0	1	text	9	1	
STK_PRICES	STK_PRICES	stk_code	STK_CODE	STKCODE	100	C	C	0	2	text	50	DPM	
STK_PRICES	STK_PRICES	stk_name	STK_NAME	STKNAME	100	C	C	0	3	text	50		
STK_PRICES	STK_PRICES	stk_market	STK_MARKET	STKMARKET	200	C	C	0	4	textarea	255	NULL	
STK_PRICES	STK_PRICES	stk_sector	STK_SECTOR	STKSECTOR	200	C	C	0	5	textarea	255	NULL	
STK_PRICES	STK_PRICES	stk_rlast	STK_RLAST	STKRLAST	100	C	DB	0	6	text	30.8		
STK_PRICES	STK_PRICES	stk_last	STK_LAST	STKLAST	100	C	DB	0	7	text	30		
STK_PRICES	STK_PRICES	stk_open	STK_OPEN	STKOPEN	100	C	F	0	8	text	0		
STK_PRICES	STK_PRICES	stk_high	STK_HIGH	STKHIGH	100	C	F	0	9	text	0		
STK_PRICES	STK_PRICES	stk_low	STK_LOW	STKLOW	100	C	F	0	10	text	0		
STK_PRICES	STK_PRICES	stk_price	STK_PRICE	STKPRICE	100	C	DB	0	11	text	30		
STK_PRICES	STK_PRICES	stk_curr	STK_CURR	STKCURR	50	C	C	0	12	text	10		
STK_PRICES	STK_PRICES	stk_mult	STK_MULT	STKMULT	100	C	F	0	13	text	0		
STK_PRICES	STK_PRICES	dates	DATES	DATES	50	C	D	0	14	text	8	40438	
STK_PRICES	STK_PRICES	times	TIMES	TIMES	50	C	T	0	15	text	8	0	
CUR_RATES	CUR_RATES	id	ID	ID	50	C	N	0	1	text	9	1641	
CUR_RATES	CUR_RATES	currency	CURRENCY	CURRENCY	50	C	C	0	2	text	10	VND	
CUR_RATES	CUR_RATES	tos	TOS	TOS	50	C	C	0	3	text	10	EUR	
CUR_RATES	CUR_RATES	code	CODE	CODE	100	C	C	0	4	text	20	VND_TO_EUR	
CUR_RATES	CUR_RATES	curr_conv	CURR_CONV	CURRCONV	100	C	DB	0	5	text	25000		
CUR_RATES	CUR_RATES	dates	DATES	DATES	50	C	D	0	6	text	8	40438	
CUR_RATES	CUR_RATES	times	TIMES	TIMES	50	C	T	0	7	text	8	0.375	
IDX_COMPO	IDX_COMPO	id	ID	ID	50	C	N	0	1	text	10	152899	
IDX_COMPO	IDX_COMPO	stk_code	STK_CODE	STKCODE	100	C	C	0	2	text	20	PVI	
IDX_COMPO	IDX_COMPO	stk_name	STK_NAME	STKNAME	200	C	C	0	3	textarea	255	PVN Fertilizer and Chemicals	
