id	DATE	NXT_DATE
200	2012-07-05	2012-07-06
201	2012-07-06	2012-07-09
202	2012-07-09	2012-07-10
203	2012-07-10	2012-07-11
204	2012-07-11	2012-07-12
205	2012-07-12	2012-07-13
206	2012-07-13	2012-07-16
207	2012-07-16	2012-07-17
208	2012-07-17	2012-07-18
209	2012-07-18	2012-07-19
210	2012-07-19	2012-07-20
211	2012-07-20	2012-07-23
212	2012-07-23	2012-07-24
213	2012-07-24	2012-07-25
214	2012-07-25	2012-07-26
215	2012-07-26	2012-07-27
216	2012-07-27	2012-07-30
217	2012-07-30	2012-07-31
218	2012-07-31	2012-08-01
219	2012-08-01	2012-08-02
220	2012-08-02	2012-08-03
221	2012-08-03	2012-08-06
222	2012-08-06	2012-08-07
223	2012-08-07	2012-08-08
224	2012-08-08	2012-08-09
225	2012-08-09	2012-08-10
226	2012-08-10	2012-08-13
227	2012-08-13	2012-08-14
228	2012-08-14	2012-08-15
229	2012-08-15	2012-08-16
230	2012-08-16	2012-08-17
231	2012-08-17	2012-08-20
232	2012-08-20	2012-08-21
233	2012-08-21	2012-08-22
234	2012-08-22	2012-08-23
235	2012-08-23	2012-08-24
236	2012-08-24	2012-08-27
237	2012-08-27	2012-08-28
238	2012-08-28	2012-08-29
239	2012-08-29	2012-08-30
240	2012-08-30	2012-08-31
241	2012-08-31	2012-09-03
242	2012-09-03	2012-09-04
243	2012-09-04	2012-09-05
244	2012-09-05	2012-09-06
245	2012-09-06	2012-09-07
246	2012-09-07	2012-09-10
247	2012-09-10	2012-09-11
248	2012-09-11	2012-09-12
249	2012-09-12	2012-09-13
250	2012-09-13	2012-09-14
251	2012-09-14	2012-09-17
252	2012-09-17	2012-09-18
253	2012-09-18	2012-09-19
254	2012-09-19	2012-09-20
255	2012-09-20	2012-09-21
256	2012-09-21	2012-09-24
257	2012-09-24	2012-09-25
258	2012-09-25	2012-09-26
259	2012-09-26	2012-09-27
260	2012-09-27	2012-09-28
261	2012-09-28	2012-10-01
262	2012-10-01	2012-10-02
263	2012-10-02	2012-10-03
264	2012-10-03	2012-10-04
265	2012-10-04	2012-10-05
266	2012-10-05	2012-10-08
267	2012-10-08	2012-10-09
268	2012-10-09	2012-10-10
269	2012-10-10	2012-10-11
270	2012-10-11	2012-10-12
271	2012-10-12	2012-10-15
272	2012-10-15	2012-10-16
273	2012-10-16	2012-10-17
274	2012-10-17	2012-10-18
275	2012-10-18	2012-10-19
276	2012-10-19	2012-10-22
277	2012-10-22	2012-10-23
278	2012-10-23	2012-10-24
279	2012-10-24	2012-10-25
280	2012-10-25	2012-10-26
281	2012-10-26	2012-10-29
282	2012-10-29	2012-10-30
283	2012-10-30	2012-10-31
284	2012-10-31	2012-11-01
285	2012-11-01	2012-11-02
286	2012-11-02	2012-11-05
287	2012-11-05	2012-11-06
288	2012-11-06	2012-11-07
289	2012-11-07	2012-11-08
290	2012-11-08	2012-11-09
291	2012-11-09	2012-11-12
292	2012-11-12	2012-11-13
293	2012-11-13	2012-11-14
294	2012-11-14	2012-11-15
295	2012-11-15	2012-11-16
296	2012-11-16	2012-11-19
297	2012-11-19	2012-11-20
298	2012-11-20	2012-11-21
299	2012-11-21	2012-11-22
300	2012-11-22	2012-11-23
301	2012-11-23	2012-11-26
302	2012-11-26	2012-11-27
303	2012-11-27	2012-11-28
304	2012-11-28	2012-11-29
305	2012-11-29	2012-11-30
306	2012-11-30	2012-12-03
307	2012-12-03	2012-12-04
308	2012-12-04	2012-12-05
309	2012-12-05	2012-12-06
310	2012-12-06	2012-12-07
311	2012-12-07	2012-12-10
312	2012-12-10	2012-12-11
313	2012-12-11	2012-12-12
314	2012-12-12	2012-12-13
315	2012-12-13	2012-12-14
316	2012-12-14	2012-12-17
317	2012-12-17	2012-12-18
318	2012-12-18	2012-12-19
319	2012-12-19	2012-12-20
320	2012-12-20	2012-12-21
321	2012-12-21	2012-12-24
322	2012-12-24	2012-12-25
323	2012-12-25	2012-12-26
324	2012-12-26	2012-12-27
325	2012-12-27	2012-12-28
326	2012-12-28	2012-12-31
327	2012-12-31	2013-01-01
328	2013-01-01	2013-01-02
329	2013-01-02	2013-01-03
330	2013-01-03	2013-01-04
331	2013-01-04	2013-01-07
332	2013-01-07	2013-01-08
333	2013-01-08	2013-01-09
334	2013-01-09	2013-01-10
335	2013-01-10	2013-01-11
336	2013-01-11	2013-01-14
337	2013-01-14	2013-01-15
338	2013-01-15	2013-01-16
339	2013-01-16	2013-01-17
340	2013-01-17	2013-01-18
341	2013-01-18	2013-01-21
342	2013-01-21	2013-01-22
343	2013-01-22	2013-01-23
344	2013-01-23	
