TICKER	DATES	TIMES	STK_LAST
MDG	2012/09/13	12:00:00	3900
MHC	2012/09/13	12:00:00	2600
MPC	2012/09/13	12:00:00	28500
MSN	2012/09/13	12:00:00	101000
MTG	2012/09/13	12:00:00	3300
NAV	2012/09/13	12:00:00	0
NBB	2012/09/13	12:00:00	32500
NHS	2012/09/13	12:00:00	26900
NHW	2012/09/13	12:00:00	0
NKG	2012/09/13	12:00:00	11000
NNC	2012/09/13	12:00:00	33500
NSC	2012/09/13	12:00:00	42500
NTB	2012/09/13	12:00:00	4000
NTL	2012/09/13	12:00:00	15200
NVN	2012/09/13	12:00:00	5000
NVT	2012/09/13	12:00:00	4600
OGC	2012/09/13	12:00:00	9800
OPC	2012/09/13	12:00:00	0
PAC	2012/09/13	12:00:00	15100
PAN	2012/09/13	12:00:00	17500
PDN	2012/09/13	12:00:00	0
PDR	2012/09/13	12:00:00	13100
PET	2012/09/13	12:00:00	11200
PGC	2012/09/13	12:00:00	10800
PGD	2012/09/13	12:00:00	38800
PGI	2012/09/13	12:00:00	7700
PHR	2012/09/13	12:00:00	27300
PHT	2012/09/13	12:00:00	4700
PIT	2012/09/13	12:00:00	0
PJT	2012/09/13	12:00:00	7500
PNC	2012/09/13	12:00:00	3800
PNJ	2012/09/13	12:00:00	29500
POM	2012/09/13	12:00:00	13200
PPC	2012/09/13	12:00:00	8700
PPI	2012/09/13	12:00:00	5000
PRUBF1	2012/09/13	12:00:00	6200
PTB	2012/09/13	12:00:00	12000
PTC	2012/09/13	12:00:00	5100
PTL	2012/09/13	12:00:00	2900
PVD	2012/09/13	12:00:00	35000
PVF	2012/09/13	12:00:00	8300
PVT	2012/09/13	12:00:00	4300
PXI	2012/09/13	12:00:00	4000
PXL	2012/09/13	12:00:00	3300
PXM	2012/09/13	12:00:00	3200
PXS	2012/09/13	12:00:00	9400
PXT	2012/09/13	12:00:00	4200
QCG	2012/09/13	12:00:00	7100
RAL	2012/09/13	12:00:00	25700
RDP	2012/09/13	12:00:00	9700
REE	2012/09/13	12:00:00	15300
RIC	2012/09/13	12:00:00	5600
SAM	2012/09/13	12:00:00	6900
SAV	2012/09/13	12:00:00	7200
SBA	2012/09/13	12:00:00	4700
SBC	2012/09/13	12:00:00	12500
SBS	2012/09/13	12:00:00	3100
SBT	2012/09/13	12:00:00	17800
SC5	2012/09/13	12:00:00	14900
SCD	2012/09/13	12:00:00	8800
SEC	2012/09/13	12:00:00	23000
SFC	2012/09/13	12:00:00	0
SFI	2012/09/13	12:00:00	15100
SGT	2012/09/13	12:00:00	0
SHI	2012/09/13	12:00:00	5200
SJD	2012/09/13	12:00:00	13300
SJS	2012/09/13	12:00:00	22800
SMA	2012/09/13	12:00:00	4300
SMC	2012/09/13	12:00:00	13700
SPM	2012/09/13	12:00:00	26200
SRC	2012/09/13	12:00:00	12500
SRF	2012/09/13	12:00:00	0
SSC	2012/09/13	12:00:00	32500
SSI	2012/09/13	12:00:00	17300
ST8	2012/09/13	12:00:00	10600
STB	2012/09/13	12:00:00	20000
STG	2012/09/13	12:00:00	13200
STT	2012/09/13	12:00:00	3900
SVC	2012/09/13	12:00:00	11500
SVI	2012/09/13	12:00:00	0
SVT	2012/09/13	12:00:00	8000
SZL	2012/09/13	12:00:00	11500
TAC	2012/09/13	12:00:00	38000
TBC	2012/09/13	12:00:00	11700
TCL	2012/09/13	12:00:00	14100
TCM	2012/09/13	12:00:00	6600
TCO	2012/09/13	12:00:00	9300
TCR	2012/09/13	12:00:00	4800
TDC	2012/09/13	12:00:00	8100
TDH	2012/09/13	12:00:00	11800
TDW	2012/09/13	12:00:00	0
THG	2012/09/13	12:00:00	8400
TIC	2012/09/13	12:00:00	10000
TIE	2012/09/13	12:00:00	8600
TIX	2012/09/13	12:00:00	18000
TLG	2012/09/13	12:00:00	19000
TLH	2012/09/13	12:00:00	4900
TMP	2012/09/13	12:00:00	0
TMS	2012/09/13	12:00:00	24100
TMT	2012/09/13	12:00:00	4600
TNA	2012/09/13	12:00:00	15200
TNC	2012/09/13	12:00:00	15800
TNT	2012/09/13	12:00:00	2800
TPC	2012/09/13	12:00:00	10000
TRA	2012/09/13	12:00:00	82000
TRC	2012/09/13	12:00:00	0
TS4	2012/09/13	12:00:00	9300
TSC	2012/09/13	12:00:00	5900
TTF	2012/09/13	12:00:00	4800
TTP	2012/09/13	12:00:00	25500
TV1	2012/09/13	12:00:00	0
TYA	2012/09/13	12:00:00	3700
UDC	2012/09/13	12:00:00	4600
UIC	2012/09/13	12:00:00	8700
