tables	DBF	fields	field_dbf	headers	widths	aligns	formats	decimals	orders	edittype	editoption	field_len	example	page
IDX_REF	IDX_REF	idx_launch	IDX_LAUNCH	IDXLAUNCH	200	L	C	0	27	textarea		255		sysformat
IDX_REF	IDX_REF	idx_web	IDX_WEB	IDXWEB	200	L	C	0	28	textarea		255		sysformat
IDX_REF	IDX_REF	idx_isin	IDX_ISIN	IDXISIN	200	L	C	0	29	textarea		255		sysformat
IDX_REF	IDX_REF	idx_reuters	IDX_REUTERS	IDXREUTERS	200	L	C	0	30	textarea		255		sysformat
IDX_REF	IDX_REF	idx_bl	IDX_BL	IDXBL	200	L	C	0	31	textarea		255		sysformat
IDX_REF	IDX_REF	idx_yh	IDX_YH	IDXYH	200	L	C	0	32	textarea		255		sysformat
IDX_REF	IDX_REF	idx_ggl	IDX_GGL	IDXGGL	200	L	C	0	33	textarea		255		sysformat
IDX_REF	IDX_REF	calculs	CALCULS	CALCULS	50	R	smallint	0	34	text		6	0	sysformat
IDX_REF	IDX_REF	publications	PUBLICATIONS	PUBLICATIONS	50	R	smallint	0	0	text		6	0	sysformat
IDX_REF	IDX_REF	idx_igs	IDX_IGS	IDXIGS	200	L	C	0	36	textarea		255	NULL	sysformat
IDX_REF	IDX_REF	idx_es	IDX_ES	IDXES	200	L	C	0	37	textarea		255	NULL	sysformat
IDX_REF	IDX_REF	idx_sel	IDX_SEL	IDXSEL	200	L	C	0	38	textarea		255	NULL	sysformat
IDX_REF	IDX_REF	idx_inconnect	IDX_INCONNECT	IDXINCONNECT	200	L	C	0	39	textarea		255	NULL	sysformat
IDX_REF	IDX_REF	idx_capfrev	IDX_CAPFREV	IDXCAPFREV	200	L	C	0	40	textarea		255	NULL	sysformat
STK_PRICES	STK_PRICES	id	ID	ID	50	R	N	0	0	text		9	1	sysformat
STK_PRICES	STK_PRICES	stk_code	STK_CODE	CODE	50	L	C	0	2	text		50	DPM	sysformat
STK_PRICES	STK_PRICES	stk_name	STK_NAME	NAME	300	L	C	0	3	text		50		sysformat
STK_PRICES	STK_PRICES	stk_market	STK_MARKET	MARKET	100	L	C	0	4	textarea		255	NULL	sysformat
STK_PRICES	STK_PRICES	stk_sector	STK_SECTOR	SECTOR	100	L	C	0	5	textarea		255	NULL	sysformat
STK_PRICES	STK_PRICES	stk_rlast	STK_RLAST	RLAST	100	R	DB	0	6	text		30.8		sysformat
STK_PRICES	STK_PRICES	stk_last	STK_LAST	LAST	100	R	DB	0	7	text		30		sysformat
STK_PRICES	STK_PRICES	stk_open	STK_OPEN	OPEN	100	R	F	0	8	text		0		sysformat
STK_PRICES	STK_PRICES	stk_high	STK_HIGH	HIGH	100	R	F	0	9	text		0		sysformat
STK_PRICES	STK_PRICES	stk_low	STK_LOW	LOW	100	R	F	0	10	text		0		sysformat
STK_PRICES	STK_PRICES	stk_price	STK_PRICE	PRICE	100	R	DB	0	11	text		30		sysformat
STK_PRICES	STK_PRICES	stk_curr	STK_CURR	CURR	50	L	C	0	12	text		10		sysformat
STK_PRICES	STK_PRICES	stk_mult	STK_MULT	MULT	100	R	F	0	13	text		0		sysformat
STK_PRICES	STK_PRICES	dates	DATES	DATES	100	C	D	0	14	text		8	40438	sysformat
STK_PRICES	STK_PRICES	times	TIMES	TIMES	50	C	T	0	15	text		8	0	sysformat
CUR_RATES	CUR_RATES	id	ID	ID	50	R	N	0	0	text		9	1641	sysformat
CUR_RATES	CUR_RATES	currency	CURRENCY	CURRENCY	50	L	C	0	2	text		10	VND	sysformat
CUR_RATES	CUR_RATES	tos	TOS	TOS	50	L	C	0	3	text		10	EUR	sysformat
CUR_RATES	CUR_RATES	code	CODE	CODE	100	L	C	0	4	text		20	VND_TO_EUR	sysformat
CUR_RATES	CUR_RATES	curr_conv	CURR_CONV	CURRCONV	100	R	DB	0	5	text				sysformat
CUR_RATES	CUR_RATES	dates	DATES	DATES	50	C	D	0	6	text		8	40438	sysformat
CUR_RATES	CUR_RATES	times	TIMES	TIMES	50	C	T	0	7	text		8	0.375	sysformat
IDX_COMPO	IDX_COMPO	id	ID	ID	50	C	N	0	0	text		10	152899	sysformat
IDX_COMPO	IDX_COMPO	stk_code	STK_CODE	CODE	100	L	C	0	2	text		20	PVI	sysformat
IDX_COMPO	IDX_COMPO	stk_name	STK_NAME	NAME	200	L	C	0	3	textarea		255	PVN Fertilizer and Chemicals	sysformat
IDX_COMPO	IDX_COMPO	stk_shares_idx	STK_SHARES_IDX	SHARESIDX	100	R	DB	0	4	text				sysformat
IDX_COMPO	IDX_COMPO	stk_float_idx	STK_FLOAT_IDX	FLOATIDX	100	R	DB	0	5	text		100		sysformat
IDX_COMPO	IDX_COMPO	stk_capp_idx	STK_CAPP_IDX	CAPPIDX	100	R	DB	0	6	text		100		sysformat
IDX_COMPO	IDX_COMPO	idx_code	IDX_CODE	IDXCODE	100	L	C	0	7	text		20	PVNASVND	sysformat
IDX_COMPO	IDX_COMPO	dates	DATES	DATES	50	C	D	0	8	text		8	40438	sysformat
IDX_COMPO	IDX_COMPO	times	TIMES	TIMES	50	C	T	0	9	text		8	0	sysformat
IDX_COMPOSITION	IDX_COMPOSITION	id	ID	ID	50	C	N	0	0	text		10	442991	sysformat
IDX_COMPOSITION	IDX_COMPOSITION	stk_code	STK_CODE	CODE	100	L	C	0	2	text		50	PVI	sysformat
IDX_COMPOSITION	IDX_COMPOSITION	stk_name	STK_NAME	NAME	100	L	C	0	3	text		50	PVN Fertilizer and Chemicals	sysformat
IDX_COMPOSITION	IDX_COMPOSITION	stk_shares_idx	STK_SHARES_IDX	SHARESIDX	100	R	DB	0	4	text				sysformat
IDX_COMPOSITION	IDX_COMPOSITION	stk_float_idx	STK_FLOAT_IDX	FLOATIDX	50	R	DB	0	5	text		100		sysformat
IDX_COMPOSITION	IDX_COMPOSITION	stk_capp_idx	STK_CAPP_IDX	CAPPIDX	50	R	DB	0	6	text		100		sysformat
IDX_COMPOSITION	IDX_COMPOSITION	stk_price	STK_PRICE	PRICE	50	R	DB	0	7	text		20.1		sysformat
IDX_COMPOSITION	IDX_COMPOSITION	stk_curr	STK_CURR	CURR	50	L	C	0	8	text		10	VND	sysformat
IDX_COMPOSITION	IDX_COMPOSITION	stk_mult	STK_MULT	MULT	50	R	DB	0	0	text		1		sysformat
IDX_COMPOSITION	IDX_COMPOSITION	curr_conv	CURR_CONV	CURRCONV	50	R	DB	0	0	text		NULL		sysformat
IDX_COMPOSITION	IDX_COMPOSITION	stk_curr_conv	STK_CURR_CONV	CURRCONV	50	L	DB	0	11	text		0		sysformat
IDX_COMPOSITION	IDX_COMPOSITION	stk_mcap_idx	STK_MCAP_IDX	MCAPIDX	50	L	DB	0	12	text		0		sysformat
IDX_COMPOSITION	IDX_COMPOSITION	specs_id	SPECS_ID	SPECSID	50	R	N	0	13	text		10	22352	sysformat
IDX_COMPOSITION	IDX_COMPOSITION	dates	DATES	DATES	50	C	D	0	14	text		8	41162	sysformat
IDX_COMPOSITION	IDX_COMPOSITION	times	TIMES	TIMES	50	C	T	0	15	text		8	0.690625	sysformat
IDX_COMPOSITION	IDX_COMPOSITION	stk_dcap_idx	STK_DCAP_IDX	DCAPIDX	100	R	DB	0	16	text		NULL		sysformat
IDX_COMPOSITION	IDX_COMPOSITION	stk_dcurr_conv	STK_DCURR_CONV	DCURRCONV	100	R	DB	0	17	text		NULL		sysformat
IDX_COMPOSITION	IDX_COMPOSITION	stk_dprice	STK_DPRICE	DPRICE	100	R	DB	0	18	text		0.6		sysformat
IDX_COMPOSITION	IDX_COMPOSITION	idx_curr	IDX_CURR	IDXCURR	200	L	C	0	19	textarea		255		sysformat
IDX_COMPOSITION	IDX_COMPOSITION	idx_code	IDX_CODE	IDXCODE	200	L	C	0	20	textarea		255	PVNASVND	sysformat
IDX_COMPOSITION	IDX_COMPOSITION	stk_wgt	STK_WGT	WGT	50	R	F	0	21	text		0		sysformat
IDX_COMPOSITION	IDX_COMPOSITION	nxt_shares_idx	NXT_SHARES_IDX	NXTSHARESIDX	50	R	DB	0	22	text		NULL		sysformat
IDX_COMPOSITION	IDX_COMPOSITION	nxt_float_idx	NXT_FLOAT_IDX	NXTFLOATIDX	50	R	F	0	23	text		NULL		sysformat
IDX_COMPOSITION	IDX_COMPOSITION	nxt_capp_idx	NXT_CAPP_IDX	NXTCAPPIDX	50	R	F	0	24	text		NULL		sysformat
IDX_COMPOSITION	IDX_COMPOSITION	nxt_price	NXT_PRICE	NXTPRICE	50	R	F	0	25	text		NULL		sysformat
IDX_COMPOSITION	IDX_COMPOSITION	nxt_adjust	NXT_ADJUST	NXTADJUST	50	R	F	0	26	text		NULL		sysformat
IDX_COMPOSITION	IDX_COMPOSITION	to_adjust	TO_ADJUST	TOADJUST	50	R	smallint	0	27	text		6	0	sysformat
IDX_SPECS	IDX_SPECS	id	ID	ID	50	R	N	0	0	text		10	19990	sysformat
IDX_SPECS	IDX_SPECS	idx_code	IDX_CODE	IDXCODE	200	L	C	0	2	textarea		255	PVN10PRVND	sysformat
IDX_SPECS	IDX_SPECS	idx_name	IDX_NAME	IDXNAME	500	L	C	0	3	textarea		255	PVN 10	sysformat
IDX_SPECS	IDX_SPECS	idx_curr	IDX_CURR	IDXCURR	150	L	C	0	4	textarea		255	VND	sysformat
IDX_SPECS	IDX_SPECS	idx_base	IDX_BASE	IDXBASE	80	R	F	0	5	text		NULL	1000	sysformat
IDX_SPECS	IDX_SPECS	idx_type	IDX_TYPE	IDXTYPE	200	L	C	0	6	textarea		255	P	sysformat
IDX_SPECS	IDX_SPECS	idx_mother	IDX_MOTHER	IDXMOTHER	200	L	C	0	7	text		255	PVN10PRVND	sysformat
IDX_SPECS	IDX_SPECS	idx_divisor	IDX_DIVISOR	IDXDIVISOR	320	R	DB	0	8	text			3.00E+13	sysformat
IDX_SPECS	IDX_SPECS	idx_mcap	IDX_MCAP	IDXMCAP	320	R	DB	0	9	text			3.23E+13	sysformat
IDX_SPECS	IDX_SPECS	idx_last	IDX_LAST	IDXLAST	150	R	DB	0	10	text		0	1076.66	sysformat
IDX_SPECS	IDX_SPECS	dates	DATES	DATES	120	C	D	0	11	text		8	12-Sep	sysformat
IDX_SPECS	IDX_SPECS	times	TIMES	TIMES	120	C	T	0	12	text		8	0	sysformat
IDX_SPECS	IDX_SPECS	records	RECORDS	RECORDS	50	R	N	0	0	text		10	10	sysformat
IDX_SPECS	IDX_SPECS	calculs	CALCULS	CALCULS	50	R	smallint	0	14	text		6	1	sysformat
