name	code_ctr	indcode	year	value	last_upd
Fertilizer consumption (% of fertilizer production) - Europe & Central Asia (all income levels)	ECS	AG.CON.FERT.PT.ZS	2003	58.123152762085	2013/06/24
Fertilizer consumption (% of fertilizer production) - Europe & Central Asia (all income levels)	ECS	AG.CON.FERT.PT.ZS	2004	51.6338125925694	2013/06/24
Fertilizer consumption (% of fertilizer production) - Europe & Central Asia (all income levels)	ECS	AG.CON.FERT.PT.ZS	2005	47.5593085852973	2013/06/24
Fertilizer consumption (% of fertilizer production) - Europe & Central Asia (all income levels)	ECS	AG.CON.FERT.PT.ZS	2006	51.8087732598171	2013/06/24
Fertilizer consumption (% of fertilizer production) - Europe & Central Asia (all income levels)	ECS	AG.CON.FERT.PT.ZS	2007	55.1721676147565	2013/06/24
Fertilizer consumption (% of fertilizer production) - Europe & Central Asia (all income levels)	ECS	AG.CON.FERT.PT.ZS	2008	50.6137899456955	2013/06/24
Fertilizer consumption (% of fertilizer production) - Europe & Central Asia (all income levels)	ECS	AG.CON.FERT.PT.ZS	2009	61.2656570627272	2013/06/24
Fertilizer consumption (% of fertilizer production) - Europe & Central Asia (all income levels)	ECS	AG.CON.FERT.PT.ZS	2010	53.8113897787011	2013/06/24
Fertilizer consumption (% of fertilizer production) - Europe & Central Asia (developing only)	ECA	AG.CON.FERT.PT.ZS	2002	24.781720407302	2013/06/24
Fertilizer consumption (% of fertilizer production) - Europe & Central Asia (developing only)	ECA	AG.CON.FERT.PT.ZS	2003	23.2669573955806	2013/06/24
Fertilizer consumption (% of fertilizer production) - Europe & Central Asia (developing only)	ECA	AG.CON.FERT.PT.ZS	2004	22.2532877792363	2013/06/24
Fertilizer consumption (% of fertilizer production) - Europe & Central Asia (developing only)	ECA	AG.CON.FERT.PT.ZS	2005	21.322310524555	2013/06/24
Fertilizer consumption (% of fertilizer production) - Europe & Central Asia (developing only)	ECA	AG.CON.FERT.PT.ZS	2006	26.5740446224878	2013/06/24
Fertilizer consumption (% of fertilizer production) - Europe & Central Asia (developing only)	ECA	AG.CON.FERT.PT.ZS	2007	26.7901688370434	2013/06/24
Fertilizer consumption (% of fertilizer production) - Europe & Central Asia (developing only)	ECA	AG.CON.FERT.PT.ZS	2008	27.6796659969483	2013/06/24
Fertilizer consumption (% of fertilizer production) - Europe & Central Asia (developing only)	ECA	AG.CON.FERT.PT.ZS	2009	37.1744674098031	2013/06/24
Fertilizer consumption (% of fertilizer production) - Europe & Central Asia (developing only)	ECA	AG.CON.FERT.PT.ZS	2010	28.9752856134331	2013/06/24
Fertilizer consumption (% of fertilizer production) - European Union	EUU	AG.CON.FERT.PT.ZS	2002	109.457033434615	2013/06/24
Fertilizer consumption (% of fertilizer production) - European Union	EUU	AG.CON.FERT.PT.ZS	2003	107.698418522219	2013/06/24
Fertilizer consumption (% of fertilizer production) - European Union	EUU	AG.CON.FERT.PT.ZS	2004	92.1334523481316	2013/06/24
Fertilizer consumption (% of fertilizer production) - European Union	EUU	AG.CON.FERT.PT.ZS	2005	82.9632890045152	2013/06/24
Fertilizer consumption (% of fertilizer production) - European Union	EUU	AG.CON.FERT.PT.ZS	2006	91.0066603789137	2013/06/24
Fertilizer consumption (% of fertilizer production) - European Union	EUU	AG.CON.FERT.PT.ZS	2007	105.942416780832	2013/06/24
