tables	DBF	fields	field_dbf	headers	widths	aligns	formats	decimals	orders	edittype	editoption	field_len	example	page
IDX_SPECS	IDX_SPECS	nxt_dates	NXT_DATES	NEXT DATE	100	L	C	0	18	text		8	NULL	home
CUR_RATES	CUR_RATES	id	ID	ID	50	R	N	0	0	text		9	1641	sysformat
CUR_RATES	CUR_RATES	currency	CURRENCY	CURRENCY	50	L	C	0	2	text		10	VND	sysformat
CUR_RATES	CUR_RATES	tos	TOS	TOS	50	L	C	0	3	text		10	EUR	sysformat
CUR_RATES	CUR_RATES	code	CODE	CODE	100	L	C	0	4	text		20	VND_TO_EUR	sysformat
CUR_RATES	CUR_RATES	curr_conv	CURR_CONV	CURRCONV	100	R	N	0	5	text				sysformat
CUR_RATES	CUR_RATES	dates	DATES	DATES	50	C	C	0	6	text		8	40438	sysformat
CUR_RATES	CUR_RATES	times	TIMES	TIMES	50	C	C	0	7	text		8	0.375	sysformat
IDX_CA	IDX_CA	id	ID	ID	50	R	N	0	0	text		10	282	sysformat
IDX_CA	IDX_CA	author	AUTHOR	AUTHOR	200	L	C	0	0	text		64	haidn	sysformat
IDX_CA	IDX_CA	poster	POSTER	POSTER	200	L	C	0	0	text		64	haidn	sysformat
IDX_CA	IDX_CA	stk_code	STK_CODE	CODE	100	L	C	0	1	text		255	PVX	sysformat
IDX_CA	IDX_CA	id_ca	ID_CA	IDCA	200	L	C	0	2	text		255	RIGHTS	sysformat
IDX_CA	IDX_CA	dates	DATES	DATES	100	C	C	0	3	text		8	40882	sysformat
IDX_CA	IDX_CA	new_shares	NEWSHARES	NEWSHARES	200	R	N	0	4	text		11	583153266	sysformat
IDX_CA	IDX_CA	times	TIMES	TIMES	100	C	C	0	5	text		8	0.410185185	sysformat
IDX_CA	IDX_CA	ex_date	EX_DATE	EXDATE	100	C	C	0	6	text		8	40889	sysformat
IDX_CA	IDX_CA	effective_date	EFFECTIVE_DATE	EFFECTIVEDATE	100	C	C	0	7	text		8	0000-00-00	sysformat
IDX_CA	IDX_CA	title	TITLE	TITLE	200	L	C	0	8	text		255	PVX: Issues right for current shareholders	sysformat
IDX_CA	IDX_CA	description	DESCRIPTION	DESCRIPTION	200	CL	C	0	9	text		255	"<p style=""text-align: justify;"">- Intensive number..."	sysformat
IDX_CA	IDX_CA	active	ACTIVE	ACTIVE	50	R	N	0	12	text		1	1	sysformat
IDX_CA	IDX_CA	date_cre	DATE_CRE	DATECRE	100	C	C	0	13	text		8	41031	sysformat
IDX_CA	IDX_CA	date_update	DATE_UPDATE	DATEUPDATE	100	C	C	0	14	text		8	41031	sysformat
IDX_CA	IDX_CA	files	FILES	FILES	200	L	C	0	15	text		255	http://www.hnx.vn/default.asp?actType=2&TypeGrp=1&...	sysformat
IDX_CA	IDX_CA	language	LANGUAGE	LANGUAGE	100	L	C	0	16	text		255	en	sysformat
IDX_CA	IDX_CA	id_pvnca	ID_PVNCA	IDPVNCA	100	R	N	0	17	text		11	5	sysformat
IDX_CA	IDX_CA	idx_code	IDX_CODE	CODE	200	L	C	0	18	text		255	NULL	sysformat
IDX_CA	IDX_CA	nxt_free_float	NXT_FLOAT	NEXT FLOAT	50	R	N	0	19	text		11	100	sysformat
IDX_CA	IDX_CA	nxt_capping	NXT_CAPP	NEXT CAPPING	50	R	N	0	20	text		11	100	sysformat
IDX_CA	IDX_CA	adj_close	ADJ_CLS	ADJ CLOSE	100	R	N	0	21	text			84	sysformat
IDX_CA	IDX_CA	intro	INTRO	INTRO	50	R	N	0	22	text		1		sysformat
IDX_CA	IDX_CA	removal	REMOVAL	REMOVAL	50	R	N	0	23	text		1		sysformat
IDX_CALENDAR	IDX_CALENDAR	id	ID	ID	50	R	N	0	0	text		11	1	sysformat
IDX_CALENDAR	IDX_CALENDAR	currdate	DATE	DATE	100	C	C	0	2	text		8	41156	sysformat
