STK_CODE	STK_NAME	STK_SHARES_IDX	STK_FLOAT_IDX	STK_CAPP_IDX	STK_PRICE	STK_CURR	STK_MULT	CURR_CONV	STK_CURR_CONV	STK_MCAP_IDX	DATES	TIMES	STK_DCAP_IDX	STK_DCURR_CONV	STK_DPRICE	IDX_CURR	IDX_CODE	STK_WGT	NXT_SHARES_IDX	NXT_FLOAT_IDX	NXT_CAPP_IDX	NXT_PRICE	NXT_ADJUST	TO_ADJUST
PSI	PVN Securities Incorporated	15000000	100	100	3600.000	VND	1	1.00	3600.000	54000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	0.14%						0
PCT	Cuu Long Petro Gas Service Transportation	15000000	100	100	2900.000	VND	1	1.00	2900.000	43500000000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	0.11%						0
PTL	Petro Capital and Infrastructure Investment	20000000	100	100	2900.000	VND	1	1.00	2900.000	58000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	0.15%						0
POV	Vung Ang Petroleum	22500000	100	100	5900.000	VND	1	1.00	5900.000	132750000000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	0.34%						0
PFL	Petro Dong Do Joint Stock Company	18870000	100	100	2700.000	VND	1	1.00	2700.000	50949000000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	0.13%						0
PCG	PetroVietnam Gas City Investment and Development JSC	23000000	100	100	6100.000	VND	1	1.00	6100.000	140300000000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	0.36%						0
PPS	Petro Vietnam Power Services Joint Stock Company	10000000	100	100	7200.000	VND	1	1.00	7200.000	72000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	0.18%						0
PSG	Saigon Petroleum Constrution And Investment JSC	10000000	100	100	1300.000	VND	1	1.00	1300.000	13000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	0.03%						0
PPE	PetroVietnam Power Engineering Consulting JSC	2000000	100	100	35400.000	VND	1	1.00	35400.000	70800000000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	0.18%						0
DPM	PVN Fertilizer and Chemicals	377647740	100	100	39200.000	VND	1	1.00	39200.000	14803791408000.00 	2012/09/13	0:00:00	528706836000.00	 1,400.00 	 1,400.00 	VND	PVNCOPRVND	37.49%						0
