id	IDX_CODE	IDX_NAME	IDX_CURR	IDX_BASE	IDX_TYPE	IDX_MOTHER	IDX_DIVISOR	IDX_MCAP	IDX_LAST	DATES	TIMES	RECORDS	CALCULS	PUBLICATIONS	IDX_PLAST	IDX_DCAP	TO_ADJUST	IDX_MCAP_NXT	IDX_DIVISOR_NXT	IDX_BBS	IDX_CONV	IDX_PCLOSE
20010	PVNCOTRVND	PVN ALL SHARE TR CONTINUOUS	VND	1000	R	PVNCOPRVND	30000000000000.000000	38273174294700.000000	1409.045692	2012/09/13	0:00:00	26	1	0	1274.980492	821873696000.000000	0	  	  	Benchmark	1.000000	1274.980492
20011	PVNCOTRUSD	PVN ALL SHARE TR CONTINUOUS (USD)	USD	1000	R	PVNCOPRVND	1428571428571.430000	1748431900.169030	1314.229177	2012/09/13	0:00:00	26	1	0	1274.084227	37545623.389676	0	  	  	Benchmark	21890.000000	1274.084227
20012	PVNCOTRJPY	PVN ALL SHARE TR CONTINUOUS (JPY)	JPY	1000	R	PVNCOPRVND	113207547169.811000	135720476222.340000	1080.071045	2012/09/13	0:00:00	26	1	0	1020.881490	2914445730.496450	0	  	  	Benchmark	282.000000	1020.88149
20013	PVNCOTREUR	PVN ALL SHARE TR CONTINUOUS (EUR)	EUR	1000	R	PVNCOPRVND	1034482758620.690000	1283874581.012580	1067.390851	2012/09/13	0:00:00	26	1	0	1020.966921	27569773.517411	0	  	  	Benchmark	29810.680000	1020.966921
20014	PVNHSXPRVND	PVN ALLSHARE HSX 	VND	1000	P	PVNHSXPRVND	25000000000000.000000	44040484805400.000000	1761.619392	2012/09/13	0:00:00	11	1	0	1079.524991	778523696000.000000	0	  	  	Benchmark	1.000000	1079.524991
20015	PVNHSXPRUSD	PVN ALLSHARE HSX (USD)	USD	1000	P	PVNHSXPRVND	1190476190.476190	2011899717.012330	1689.995762	2012/09/13	0:00:00	11	1	0	1086.458561	35565267.062586	0	  	  	Benchmark	21890.000000	1086.458561
20016	PVNHSXPRJPY	PVN ALLSHARE HSX (JPY)	JPY	1000	P	PVNHSXPRVND	94339622641.509400	156171931934.043000	1655.422479	2012/09/13	0:00:00	11	1	0	1059.522480	2760722326.241130	0	  	  	Benchmark	282.000000	1059.52248
20017	PVNHSXPREUR	PVN ALLSHARE HSX (EUR)	EUR	1000	P	PVNHSXPRVND	862068965.517241	1477339155.141710	1713.713420	2012/09/13	0:00:00	11	1	0	1086.857219	26115596.692192	0	  	  	Benchmark	29810.680000	1086.857219
20018	PVNHSXTRVND	PVN ALLSHARE HSX TR 	VND	1000	R	PVNHSXPRVND	25000000000000.000000	44040484805400.000000	1816.884267	2012/09/13	0:00:00	11	1	0	1094.051407	778523696000.000000	0	  	  	Benchmark	1.000000	1094.051407
20019	PVNHSXTRUSD	PVN ALLSHARE HSX TR (USD)	USD	1000	R	PVNHSXPRVND	1190476190476.190000	2011899717.012330	1712.580694	2012/09/13	0:00:00	11	1	0	1100.958421	35565267.062586	0	  	  	Benchmark	21890.000000	1100.958421
20020	PVNHSXTRJPY	PVN ALLSHARE HSX TR (JPY)	JPY	1000	R	PVNHSXPRVND	94339622641.509400	156171931934.043000	1708.438400	2012/09/13	0:00:00	11	1	0	1074.460609	2760722326.241130	0	  	  	Benchmark	282.000000	1074.460609
20021	PVNHSXTREUR	PVN ALLSHARE HSX TR (EUR)	EUR	1000	R	PVNHSXPRVND	862068965517.241000	1477339155.141710	1737.784757	2012/09/13	0:00:00	11	1	0	1102.104062	26115596.692192	0	  	  	Benchmark	29810.680000	1102.104062
20022	PVNHNXPRVND	PVN ALLSHARE HNX 	VND	1000	P	PVNHNXPRVND	8000000000000.000000	8168944913000.000000	1021.118114	2012/09/13	0:00:00	15	1	0	1048.219664	71809560000.000000	0	  	  	Benchmark	1.000000	1048.219664
20023	PVNHNXPRUSD	PVN ALLSHARE HNX (USD)	USD	1000	P	PVNHNXPRVND	380952380.952381	373181585.792599	979.601663	2012/09/13	0:00:00	15	1	0	1055.240898	3280473.275468	0	  	  	Benchmark	21890.000000	1055.240898
20024	PVNHNXPRJPY	PVN ALLSHARE HNX (JPY)	JPY	1000	P	PVNHNXPRVND	30188679245.283000	28967889762.411300	959.561348	2012/09/13	0:00:00	15	1	0	1028.912957	254643829.787234	0	  	  	Benchmark	282.000000	1028.912957
20025	PVNHNXPREUR	PVN ALLSHARE HNX (EUR)	EUR	1000	P	PVNHNXPRVND	275862068.965517	274027459.722489	993.349541	2012/09/13	0:00:00	15	1	0	1056.001000	2408853.471306	0	  	  	Benchmark	29810.680000	1056.001
20026	PVNHNXTRVND	PVN ALLSHARE HNX TR 	VND	1000	R	PVNHNXPRVND	8000000000000.000000	8168944913000.000000	1074.517474	2012/09/13	0:00:00	15	1	0	1093.424491	71809560000.000000	0	  	  	Benchmark	1.000000	1093.424491
20027	PVNHNXTRUSD	PVN ALLSHARE HNX TR (USD)	USD	1000	R	PVNHNXPRVND	380952380952.381000	373181585.792599	1020.876865	2012/09/13	0:00:00	15	1	0	1099.693468	3280473.275468	0	  	  	Benchmark	21890.000000	1099.693468
20028	PVNHNXTRJPY	PVN ALLSHARE HNX TR (JPY)	JPY	1000	R	PVNHNXPRVND	30188679245.283000	28967889762.411300	1009.806774	2012/09/13	0:00:00	15	1	0	1073.354453	254643829.787234	0	  	  	Benchmark	282.000000	1073.354453
20029	PVNHNXTREUR	PVN ALLSHARE HNX TR (EUR)	EUR	1000	R	PVNHNXPRVND	275862068965.517000	274027459.722489	1035.496388	2012/09/13	0:00:00	15	1	0	1100.796410	2408853.471306	0	  	  	Benchmark	29810.680000	1100.79641
20030	PVNBMPRVND	PVN BASIC MATERIALS 	VND	1000	P	PVNBMPRVND	10000000000000.000000	14803791408000.000000	1480.379141	2012/09/13	0:00:00	1	1	0	1344.232143	528706836000.000000	0	  	  	Sectors	1.000000	1344.232143
20031	PVNBMPRUSD	PVN BASIC MATERIALS (USD)	USD	1000	P	PVNBMPRVND	476190476.190476	676281014.527181	1420.190131	2012/09/13	0:00:00	1	1	0	1353.538911	24152893.375971	0	  	  	Sectors	21890.000000	1353.538911
20032	PVNBMPRJPY	PVN BASIC MATERIALS (JPY)	JPY	1000	P	PVNBMPRVND	37735849056.603800	52495714212.766000	1391.136427	2012/09/13	0:00:00	1	1	0	1320.032447	1874846936.170210	0	  	  	Sectors	282.000000	1320.032447
20033	PVNBMPREUR	PVN BASIC MATERIALS (EUR)	EUR	1000	P	PVNBMPRVND	344827586.206897	496593549.962631	1440.121295	2012/09/13	0:00:00	1	1	0	1353.503131	17735483.927237	0	  	  	Sectors	29810.680000	1353.503131
20034	PVNCSPRVND	PVN CONSUMER SERVICES 	VND	1000	P	PVNCSPRVND	10000000000000.000000	788158560000.000000	78.815856	2012/09/13	0:00:00	1	1	0	85.246304	105556950000.000000	0	  	  	Sectors	1.000000	85.246304
20035	PVNCSPRUSD	PVN CONSUMER SERVICES (USD)	USD	1000	P	PVNCSPRVND	476190476.190476	36005416.171768	75.611374	2012/09/13	0:00:00	1	1	0	85.934783	4822153.951576	0	  	  	Sectors	21890.000000	85.934783
20036	PVNCSPRJPY	PVN CONSUMER SERVICES (JPY)	JPY	1000	P	PVNCSPRVND	37735849056.603800	2794888510.638300	74.064546	2012/09/13	0:00:00	1	1	0	83.040556	374315425.531915	0	  	  	Sectors	282.000000	83.040556
20037	PVNCSPREUR	PVN CONSUMER SERVICES (EUR)	EUR	1000	P	PVNCSPRVND	344827586.206897	26438798.444048	76.672515	2012/09/13	0:00:00	1	1	0	85.264667	3540910.505899	0	  	  	Sectors	29810.680000	85.264667
20038	PVNFIPRVND	PVN FINANCIALS 	VND	1000	P	PVNFIPRVND	10000000000000.000000	10683771510000.000000	1068.377151	2012/09/13	0:00:00	5	1	0	1113.789855	50000000000.000000	0	  	  	Sectors	1.000000	1113.789855
20039	PVNFIPRUSD	PVN FINANCIALS (USD)	USD	1000	P	PVNFIPRVND	476190476.190476	488066309.273641	1024.939249	2012/09/13	0:00:00	5	1	0	1120.914924	2284148.012791	0	  	  	Sectors	21890.000000	1120.914924
20040	PVNFIPRJPY	PVN FINANCIALS (JPY)	JPY	1000	P	PVNFIPRVND	37735849056.603800	37885714574.468100	1003.971436	2012/09/13	0:00:00	5	1	0	1093.811561	177304964.539007	0	  	  	Sectors	282.000000	1093.811561
20041	PVNFIPREUR	PVN FINANCIALS (EUR)	EUR	1000	P	PVNFIPRVND	344827586.206897	358387380.294579	1039.323403	2012/09/13	0:00:00	5	1	0	1122.005470	1677251.240160	0	  	  	Sectors	29810.680000	1122.00547
20042	PVNINPRVND	PVN INDUSTRIALS 	VND	1000	P	PVNINPRVND	10000000000000.000000	12555633734400.000000	1255.563373	2012/09/13	0:00:00	15	1	0	617.675352	461428473000.000000	0	  	  	Sectors	1.000000	617.675352
20043	PVNINPRUSD	PVN INDUSTRIALS (USD)	USD	1000	P	PVNINPRVND	476190476.190476	573578516.875286	1204.514885	2012/09/13	0:00:00	15	1	0	621.454274	21079418.592965	0	  	  	Sectors	21890.000000	621.454274
20044	PVNINPRJPY	PVN INDUSTRIALS (JPY)	JPY	1000	P	PVNINPRVND	37735849056.603800	44523523880.851100	1179.873383	2012/09/13	0:00:00	15	1	0	606.763818	1636271180.851060	0	  	  	Sectors	282.000000	606.763818
20045	PVNINPREUR	PVN INDUSTRIALS (EUR)	EUR	1000	P	PVNINPRVND	344827586.206897	421179045.040234	1221.419231	2012/09/13	0:00:00	15	1	0	622.120256	15478629.571684	0	  	  	Sectors	29810.680000	622.120256
20046	PVNOGPRVND	PVN OIL & GAS 	VND	1000	P	PVNOGPRVND	10000000000000.000000	13957715385000.000000	1395.771539	2012/09/13	0:00:00	5	1	0	385.390840	700764606800.000000	0	  	  	Sectors	1.000000	385.39084
20047	PVNOGPRUSD	PVN OIL & GAS (USD)	USD	1000	P	PVNOGPRVND	476190476.190476	637629757.195066	1339.022490	2012/09/13	0:00:00	5	1	0	388.187595	32013001.681133	0	  	  	Sectors	21890.000000	388.187595
20048	PVNOGPRJPY	PVN OIL & GAS (JPY)	JPY	1000	P	PVNOGPRVND	37735849056.603800	49495444627.659600	1311.629283	2012/09/13	0:00:00	5	1	0	378.899392	2484980875.177300	0	  	  	Sectors	282.000000	378.899392
20049	PVNOGPREUR	PVN OIL & GAS (EUR)	EUR	1000	P	PVNOGPRVND	344827586.206897	468211908.785710	1357.814535	2012/09/13	0:00:00	5	1	0	388.264340	23507166.116305	0	  	  	Sectors	29810.680000	388.26434
20050	PVNUTPRVND	PVN UTILITIES 	VND	1000	P	PVNUTPRVND	10000000000000.000000	2957227000000.000000	295.722700	2012/09/13	0:00:00	3	1	0	174.560363	0.000000	0	  	  	Sectors	1.000000	174.560363
20051	PVNUTPRUSD	PVN UTILITIES (USD)	USD	1000	P	PVNUTPRVND	476190476.190476	135094883.508451	283.699255	2012/09/13	0:00:00	3	1	0	175.803488	0.000000	0	  	  	Sectors	21890.000000	175.803488
20052	PVNUTPRJPY	PVN UTILITIES (JPY)	JPY	1000	P	PVNUTPRVND	37735849056.603800	10486620567.375900	277.895445	2012/09/13	0:00:00	3	1	0	170.811033	0.000000	0	  	  	Sectors	282.000000	170.811033
20053	PVNUTPREUR	PVN UTILITIES TR (EUR)	EUR	1000	P	PVNUTPRVND	344827586.206897	99200253.063667	287.680734	2012/09/13	0:00:00	3	1	0	175.248716	0.000000	0	  	  	Sectors	29810.680000	175.248716
20054	PVNBMTRVND	PVN BASIC MATERIALS TR 	VND	1000	R	PVNBMPRVND	10000000000000.000000	14803791408000.000000	1576.292311	2012/09/13	0:00:00	1	1	0	1381.968390	528706836000.000000	0	  	  	Sectors	1.000000	1381.96839
20055	PVNBMTRUSD	PVN BASIC MATERIALS TR (USD)	USD	1000	R	PVNBMPRVND	476190476190.476000	676281014.527181	1459.364985	2012/09/13	0:00:00	1	1	0	1390.825570	24152893.375971	0	  	  	Sectors	21890.000000	1390.82557
20056	PVNBMTRJPY	PVN BASIC MATERIALS TR (JPY)	JPY	1000	R	PVNBMPRVND	37735849056.603800	52495714212.766000	1481.023159	2012/09/13	0:00:00	1	1	0	1356.865396	1874846936.170210	0	  	  	Sectors	282.000000	1356.865396
20057	PVNBMTREUR	PVN BASIC MATERIALS TR (EUR)	EUR	1000	R	PVNBMPRVND	344827586206.897000	496593549.962631	1480.640931	2012/09/13	0:00:00	1	1	0	1391.535958	17735483.927237	0	  	  	Sectors	29810.680000	1391.535958
20058	PVNCSTRVND	PVN CONSUMER SERVICES TR 	VND	1000	R	PVNCSPRVND	10000000000000.000000	788158560000.000000	89.263864	2012/09/13	0:00:00	1	1	0	85.143588	105556950000.000000	0	  	  	Sectors	1.000000	85.143588
20059	PVNCSTRUSD	PVN CONSUMER SERVICES TR (USD)	USD	1000	R	PVNCSPRVND	476190476190.476000	36005416.171768	75.146745	2012/09/13	0:00:00	1	1	0	85.395280	4822153.951576	0	  	  	Sectors	21890.000000	85.39528
20060	PVNCSTRJPY	PVN CONSUMER SERVICES TR (JPY)	JPY	1000	R	PVNCSPRVND	37735849056.603800	2794888510.638300	84.322654	2012/09/13	0:00:00	1	1	0	83.375501	374315425.531915	0	  	  	Sectors	282.000000	83.375501
20061	PVNCSTREUR	PVN CONSUMER SERVICES TR (EUR)	EUR	1000	R	PVNCSPRVND	344827586206.897000	26438798.444048	77.237566	2012/09/13	0:00:00	1	1	0	85.881537	3540910.505899	0	  	  	Sectors	29810.680000	85.881537
20062	PVNFITRVND	PVN FINANCIALS TR 	VND	1000	R	PVNFIPRVND	10000000000000.000000	10683771510000.000000	1073.609692	2012/09/13	0:00:00	5	1	0	1114.031151	50000000000.000000	0	  	  	Sectors	1.000000	1114.031151
20063	PVNFITRUSD	PVN FINANCIALS TR (USD)	USD	1000	R	PVNFIPRVND	476190476190.476000	488066309.273641	1025.439264	2012/09/13	0:00:00	5	1	0	1121.456512	2284148.012791	0	  	  	Sectors	21890.000000	1121.456512
20064	PVNFITRJPY	PVN FINANCIALS TR (JPY)	JPY	1000	R	PVNFIPRVND	37735849056.603800	37885714574.468100	1008.500357	2012/09/13	0:00:00	5	1	0	1093.627579	177304964.539007	0	  	  	Sectors	282.000000	1093.627579
