STK_CODE	STK_NAME	STK_SHARES_IDX	STK_FLOAT_IDX	STK_CAPP_IDX	IDX_CODE	DATES
PXS	Petroleum Equipment Assembly and Metal Structure	59841300 	100.000000	100.000000000000	PVNCOPRVND	2012/09/13
PSI	PVN Securities Incorporated	157531264 	100.000000	100.000000000000	PVNCOPRVND	2012/09/13
PFL	Petro Dong Do Joint Stock Company	52356713 	100.000000	100.000000000000	PVNCOPRVND	2012/09/13
PSG	Saigon Petroleum Constrution And Investment JSC	23000000 	100.000000	100.000000000000	PVNCOPRVND	2012/09/13
PVE	PVN Investment Consultancy and Engineering	15000000 	100.000000	100.000000000000	PVNCOPRVND	2012/09/13
PXI	Petroleum Industrial and Civil Construction	18000000 	100.000000	100.000000000000	PVNCOPRVND	2012/09/13
PPS	Petro Vietnam Power Services Joint Stock Company	250000000 	100.000000	100.000000000000	PVNCOPRVND	2012/09/13
PXT	Petroleum Pipeline and Tank Construction	18870000 	100.000000	100.000000000000	PVNCOPRVND	2012/09/13
PXM	Mientrung Petroleum Construction	35000000 	100.000000	100.000000000000	PVNCOPRVND	2012/09/13
PCG	PetroVietnam Gas City Investment and Development JSC	297802094 	100.000000	100.000000000000	PVNCOPRVND	2012/09/13
PCT	Cuu Long Petro Gas Service Transportation	38000000 	100.000000	100.000000000000	PVNCOPRVND	2012/09/13
PPE	PetroVietnam Power Engineering Consulting JSC	27719850 	100.000000	100.000000000000	PVNCOPRVND	2012/09/13
DPM	PVN Fertilizer and Chemicals	377647740 	100.000000	100.000000000000	PVNHSXPRVND	2012/09/13
PVD	PVN Drilling & Well Services	70371300 	100.000000	100.000000000000	PVNHSXPRVND	2012/09/13
PVF	PVN Finance	100000000 	100.000000	100.000000000000	PVNHSXPRVND	2012/09/13
PGD	PVN Low Pressure Gas Distribution	600000000 	100.000000	100.000000000000	PVNHSXPRVND	2012/09/13
PVT	PVN Transportation	232600000 	100.000000	100.000000000000	PVNHSXPRVND	2012/09/13
PET	PVN General Services	30000000 	100.000000	100.000000000000	PVNHSXPRVND	2012/09/13
PTL	Petro Capital and Infrastructure Investment	15000000 	100.000000	100.000000000000	PVNHSXPRVND	2012/09/13
PXS	Petroleum Equipment Assembly and Metal Structure	37518001 	100.000000	100.000000000000	PVNHSXPRVND	2012/09/13
PXI	Petroleum Industrial and Civil Construction	20000000 	100.000000	100.000000000000	PVNHSXPRVND	2012/09/13
PXT	Petroleum Pipeline and Tank Construction	42900000 	100.000000	100.000000000000	PVNHSXPRVND	2012/09/13
PXM	Mientrung Petroleum Construction	209740215 	100.000000	100.000000000000	PVNHSXPRVND	2012/09/13
PVS	PVN Technical Services	50000000 	100.000000	100.000000000000	PVNHNXPRVND	2012/09/13
PVX	PVN Construction	35000000 	100.000000	100.000000000000	PVNHNXPRVND	2012/09/13
PVI	PVN Insurance	2000000 	100.000000	100.000000000000	PVNHNXPRVND	2012/09/13
PGS	PVN Southern Gas	59841300 	100.000000	100.000000000000	PVNHNXPRVND	2012/09/13
PVC	Drilling Mud Corp	157531264 	100.000000	100.000000000000	PVNHNXPRVND	2012/09/13
PVR	PVN Premier Recreation	52356713 	100.000000	100.000000000000	PVNHNXPRVND	2012/09/13
PVG	PVN Northern Gas	23000000 	100.000000	100.000000000000	PVNHNXPRVND	2012/09/13
PSI	PVN Securities Incorporated	15000000 	100.000000	100.000000000000	PVNHNXPRVND	2012/09/13
PFL	Petro Dong Do Joint Stock Company	18000000 	100.000000	100.000000000000	PVNHNXPRVND	2012/09/13
PSG	Saigon Petroleum Constrution And Investment JSC	250000000 	100.000000	100.000000000000	PVNHNXPRVND	2012/09/13
PVE	PVN Investment Consultancy and Engineering	18870000 	100.000000	100.000000000000	PVNHNXPRVND	2012/09/13
PPS	Petro Vietnam Power Services Joint Stock Company	35000000 	100.000000	100.000000000000	PVNHNXPRVND	2012/09/13
