tables	DBF	fields	field_dbf	headers	widths	aligns	formats	decimals	orders	edittype	editoption	field_len	example	page
idx_specs	IDX_SPECS	nxt_date	NXT_DATE	NEXT DATE	80	C	C	0	34	text		8	NULL	home
cur_rates	CUR_RATES	id	ID	ID	50	R	N	0	0	text		9	1641	sysformat
cur_rates	CUR_RATES	currency	CURRENCY	CURRENCY	60	C	C	0	1	text		10	VND	sysformat
cur_rates	CUR_RATES	tos	TOS	TOS	50	C	C	0	2	text		10	EUR	sysformat
cur_rates	CUR_RATES	code	CODE	CODE	100	L	C	0	3	text		20	VND_TO_EUR	sysformat
cur_rates	CUR_RATES	curr_conv	CURR_CONV	CURRCONV	100	R	N	0	4	text				sysformat
cur_rates	CUR_RATES	dates	DATES	DATES	70	C	C	0	5	text		8	40438	sysformat
cur_rates	CUR_RATES	times	TIMES	TIMES	60	C	C	0	6	text		8	0.375	sysformat
idx_bbs	IDX_BBS	id	ID	ID	50	C	N	0	0	text		11	1	sysformat
idx_bbs	IDX_BBS	idx_cat	IDX_CAT	IDX_CAT	100	C	C	0	3	text		10	EQUI	sysformat
idx_bbs	IDX_BBS	idx_cat_name	IDX_CAT_NAME	CAT NAME	200	L	C	0	4	text		50	Equity	sysformat
idx_bbs	IDX_BBS	idx_bbs	IDX_BBS	IDX_BBS	100	L	C	0	1	text		10	BLCH	sysformat
idx_bbs	IDX_BBS	 idx_bbs_name	IDX_BBS_NAME	BBS NAME	200	LB	C	0	2	text		50	Blue Chips	sysformat
idx_ca	IDX_CA	idx_sg	IDX_SG 	IDXSG	50	L	C	0	0	text		10		sysformat
idx_ca	IDX_CA	event_code	EVENT_CODE	EVENT CODE	60	L	C	0	0	text		10		sysformat
idx_ca	IDX_CA	to_adjust	TO_ADJUST	TO ADJUST	60	R	N	0	0	text		10		sysformat
idx_ca	IDX_CA	removal	REMOVAL	REMOVAL	55	R	N	0	0	text		1		sysformat
idx_ca	IDX_CA	id_pvnca	ID_PVNCA	IDPVNCA	50	C	N	0	0	text		11	5	sysformat
idx_ca	IDX_CA	language	LANGUAGE	LANGUAGE	80	L	C	0	0	text		255	en	sysformat
idx_ca	IDX_CA	files	FILES	FILES	100	L	C	0	0	text		255	http://www.hnx.vn/default.asp?actType=2&TypeGrp=1&...	sysformat
idx_ca	IDX_CA	date_update	DATE_UPDATE	DATEUPDATE	70	C	C	0	0	text		8	41031	sysformat
idx_ca	IDX_CA	date_cre	DATE_CRE	DATECRE	70	C	C	0	0	text		8	41031	sysformat
idx_ca	IDX_CA	active	ACTIVE	ACTIVE	40	C	N	0	0	text		1	1	sysformat
idx_ca	IDX_CA	description	DESCRIPTION	DESCRIPTION	100	L	C	0	0	text		255	"<p style=""text-align: justify;"">- Intensive number..."	sysformat
idx_ca	IDX_CA	title	TITLE	TITLE	100	L	C	0	0	text		255	PVX: Issues right for current shareholders	sysformat
idx_ca	IDX_CA	effective_date	EFFECTIVE_DATE	EFFECTIVEDATE	70	C	C	0	0	text		8	0000-00-00	sysformat
idx_ca	IDX_CA	times	TIMES	TIMES	50	C	C	0	0	text		8	0.410185185	sysformat
idx_ca	IDX_CA	id_ca	ID_CA	IDCA	50	L	C	0	0	text		255	RIGHTS	sysformat
idx_ca	IDX_CA	id	ID	ID	50	R	N	0	0	text		10	282	sysformat
idx_ca	IDX_CA	author	AUTHOR	AUTHOR	200	L	C	0	0	text		64	haidn	sysformat
idx_ca	IDX_CA	poster	POSTER	POSTER	200	L	C	0	0	text		64	haidn	sysformat
idx_ca	IDX_CA	stk_code	STK_CODE	CODE	50	C	C	0	1	text		255	PVX	sysformat
idx_ca	IDX_CA	dates	DATES	DATES	70	C	C	0	2	text		8	40882	sysformat
idx_ca	IDX_CA	new_shares	NEWSHARES	NEWSHARES	80	R	N	0	3	text		11	583153266	sysformat
idx_ca	IDX_CA	ex_date	EX_DATE	EXDATE	70	C	C	0	4	text		8	40889	sysformat
idx_ca	IDX_CA	idx_code	IDX_CODE	CODE	70	C	C	0	10	text		255	NULL	sysformat
idx_ca	IDX_CA	nxt_free_float	NXT_FLOAT	NEXT FLOAT	70	C	N	0	11	text		11	100	sysformat
idx_ca	IDX_CA	nxt_capping	NXT_CAPP	NEXT CAPPING	100	C	N	6	12	text		11	100	sysformat
idx_ca	IDX_CA	adj_close	ADJ_CLS	ADJ CLOSE	60	R	N	0	13	text			84	sysformat
idx_ca	IDX_CA	intro	INTRO	INTRO	40	C	N	0	14	text		1		sysformat
idx_ca	IDX_CA	event_name	EVENT_NAME	EVENT NAME	100	L	C	0	15	text				sysformat
idx_ca	IDX_CA	stk_split	STK_SPLIT	STK SPLIT	100	R	N	2	16	text				sysformat
idx_calendar	IDX_CALENDAR	id	ID	ID	50	R	N	0	0	text		11	1	sysformat
idx_calendar	IDX_CALENDAR	currdate	DATE	DATE	100	C	C	0	1	text		8	41156	sysformat
idx_calendar	IDX_CALENDAR	prevdate	PREV_DATE	PREVIOUS DATE	100	C	C	0	2	text		8	41155	sysformat
idx_compo	IDX_COMPO	id	ID	ID	50	C	N	0	0	text		10	152899	sysformat
idx_compo	IDX_COMPO	stk_code	STK_CODE	STK CODE	70	C	C	0	2	text		20	PVI	sysformat
idx_compo	IDX_COMPO	stk_name	STK_NAME	NAME	300	LB	C	0	3	text		255	PVN Fertilizer and Chemicals	sysformat
idx_compo	IDX_COMPO	stk_shares_idx	STK_SHARES_IDX	SHARES	150	R	N	0	4	text				sysformat
idx_compo	IDX_COMPO	stk_float_idx	STK_FLOAT_IDX	FLOAT	80	R	N	0	5	text		100		sysformat
idx_compo	IDX_COMPO	stk_capp_idx	STK_CAPP_IDX	CAPP	100	R	N	6	6	text		100		sysformat
idx_compo	IDX_COMPO	idx_code	IDX_CODE	IDX CODE	100	C	C	0	7	text		20	PVNASVND	sysformat
idx_compo	IDX_COMPO	dates	DATES	DATES	80	C	C	0	8	text		8	40438	sysformat
idx_compo	IDX_COMPO	times	TIMES	TIMES	60	C	C	0	9	text		8	0	sysformat
idx_composition	IDX_COMPOSITION	specs_id	SPECS_ID	SPECSID	50	R	N	0	0	text		10		sysformat
idx_composition	IDX_COMPOSITION	id	ID	ID	50	C	N	0	0	text		10	442991	sysformat
idx_composition	IDX_COMPOSITION	idx_code	IDX_CODE	IDX CODE	80	C	C	0	1	text		255	PVNASVND	sysformat
