STK_CODE	STK_NAME	STK_DIVNET	STK_DIVGROSS	EXDATE
DPM	VNX Fertilizer and Chemicals Corp	1300	1400	2012/09/13
PVD	VNX Drilling & Well Services Joint Stock 	1500	2200	2012/09/13
PVS	VNX Technical Services Corp	500	1200	2012/09/12
PVF	VNX Finance Joint Stock Corp	1000	500	2012/09/13
PET	VNX General Services	1500	1500	2012/09/13
PVC	Drilling Mud Corp	1000	1000	2012/09/17
PGS	VNX Southern Gas	1200	1200	2012/09/13
DPM	VNX Fertilizer and Chemicals Corp	1500	2000	2012/09/17
