CODE_DWL	COLUMN	DATAFIELD	LEFT	RIGHT	TYPE	FORMAT	DELIMITOR	MULT	OCCURRENCE	METAORDER	COMMENT
FPTPRUPCTW	13	vlm	>	<	N			1	1		
FPTPRUPCTW	16	trn	>	<	N			1000000	1		
VCBPRHSXHW	1	ticker	>	<	C				1		
VCBPRHSXHW	3	pcei	>	<	N			1000	1		
VCBPRHSXHW	4	pflr	>	<	N			1000	1		
VCBPRHSXHW	5	pref	>	<	N			1000	1		
VCBPRHSXHW	6	popn	>	<	N			1000	1		
VCBPRHSXHW	7	phgh	>	<	N			1000	1		
VCBPRHSXHW	8	plow	>	<	N			1000	1		
VCBPRHSXHW	9	pcls	>	<	N			1000	1		
VCBPRHSXHW	10	pavg	>	<	N			1000	1		
VCBPRHNXHW	1	ticker	>	<	C				1		
VCBPRHNXHW	3	pcei	>	<	N			1000	1		
VCBPRHNXHW	4	pflr	>	<	N			1000	1		
VCBPRHNXHW	5	pref	>	<	N			1000	1		
VCBPRHNXHW	6	popn	>	<	N			1000	1		
VCBPRHNXHW	7	phgh	>	<	N			1000	1		
VCBPRHNXHW	8	plow	>	<	N			1000	1		
VCBPRHNXHW	9	pavg	>	<	N			1000	1		
VCBPRHNXHW	10	pcls	>	<	N			1000	1		
VCBPRUPCHW	1	ticker	>	<	C				1		
VCBPRUPCHW	3	pcei	>	<	N			1000	1		
VCBPRUPCHW	4	pflr	>	<	N			1000	1		
VCBPRUPCHW	5	pref	>	<	N			1000	1		
VCBPRUPCHW	6	popn	>	<	N			1000	1		
VCBPRUPCHW	7	phgh	>	<	N			1000	1		
VCBPRUPCHW	8	plow	>	<	N			1000	1		
VCBPRUPCHW	9	pcls	>	<	N			1000	1		
VCBPRUPCHW	10	pavg	>	<	N			1000	1		
VCBPRHNXTW	1	ticker	>	<	C				1		
VCBPRHNXTW	3	pcei	>	<	N			1000	1		
VCBPRHNXTW	4	pflr	>	<	N			1000	1		
VCBPRHNXTW	5	pref	>	<	N			1000	1		
VCBPRHNXTW	6	popn	>	<	N			1000	1		
VCBPRHNXTW	7	phgh	>	<	N			1000	1		
VCBPRHNXTW	8	plow	>	<	N			1000	1		
VCBPRHNXTW	9	pcls	>	<	N			1000	1		
VCBPRHNXTW	10	pavg	>	<	N			1000	1		
VCBPRHSXTW	1	ticker	>	<	C				1		
VCBPRHSXTW	3	pcei	>	<	N			1000	1		
VCBPRHSXTW	4	pflr	>	<	N			1000	1		
VCBPRHSXTW	5	pref	>	<	N			1000	1		
VCBPRHSXTW	6	popn	>	<	N			1000	1		
VCBPRHSXTW	7	phgh	>	<	N			1000	1		
VCBPRHSXTW	8	plow	>	<	N			1000	1		
VCBPRHSXTW	9	pcls	>	<	N			1000	1		
VCBPRHSXTW	10	pavg	>	<	N			1000	1		
VCBPRUPCTW	1	ticker	>	<	C				1		
VCBPRUPCTW	3	pcei	>	<	N			1000	1		
VCBPRUPCTW	4	pflr	>	<	N			1000	1		
VCBPRUPCTW	5	pref	>	<	N			1000	1		
VCBPRUPCTW	6	popn	>	<	N			1000	1		
VCBPRUPCTW	7	phgh	>	<	N			1000	1		
VCBPRUPCTW	8	plow	>	<	N			1000	1		
VCBPRUPCTW	9	pcls	>	<	N			1000	1		
VCBPRUPCTW	10	pavg	>	<	N			1000	1		
VST06	2	ticker	>	<	C				2		
VST06	3	shli	>	<	N			1	1		
VST06	4	pref	>	<	N			1	1		
VST06	5	popn	>	<	N			1	1		
VST06	6	pcls	>	<	N			1	1		
VST06	10	phgh	>	<	N			1	1		
VST06	11	plow	>	<	N			1	1		
VST06	12	pavg	>	<	N			1	1		
VST06	13	vlm	>	<	N			1	1		
VST06	14	trn	>	<	N			1000000	1		
VST07	2	ticker	>	<	C				2		
VST07	3	shli	>	<	N			1	1		
VST07	4	pref	>	<	N			1	1		
VST07	9	pcls	>	<	N			1	1		
VST07	16	vlm	>	<	N			1	1		
VST07	17	trn	>	<	N			1000000	1		
CAFPRHSXHW	1	ticker	>	<	C				2		
CAFPRHSXHW	2	pcls	>	<	N			1000	1		
CAFPRHSXHW	6	pref	>	<	N			1000	1		
CAFPRHSXHW	7	popn	>	<	N			1000	1		
CAFPRHSXHW	8	phgh	>	<	N			1000	1		
CAFPRHSXHW	9	plow	>	<	N			1000	1		
CAFPRHSXHW	10	vlm	>	<	N			1	1		
CAFPRHSXHW	11	trn	>	<	N			1	1		
CAFPRHNXHW	1	ticker	>	<	C				2		
CAFPRHNXHW	2	pcls	>	<	N			1000	1		
CAFPRHNXHW	3	pavg	>	<	N			1000	1		
CAFPRHNXHW	6	pref	>	<	N			1000	1		
CAFPRHNXHW	7	popn	>	<	N			1000	1		
CAFPRHNXHW	8	phgh	>	<	N			1000	1		
CAFPRHNXHW	9	plow	>	<	N			1000	1		
CAFPRHNXHW	10	vlm	>	<	N			1	1		
CAFPRHNXHW	11	trn	>	<	N			1	1		
CAFPRUPCHW	1	ticker	>	<	C				2		
CAFPRUPCHW	2	pcls	>	<	N			1000	1		
CAFPRUPCHW	3	pavg	>	<	N			1000	1		
CAFPRUPCHW	6	pref	>	<	N			1000	1		
CAFPRUPCHW	7	popn	>	<	N			1000	1		
CAFPRUPCHW	8	phgh	>	<	N			1000	1		
CAFPRUPCHW	9	plow	>	<	N			1000	1		
CAFPRUPCHW	10	vlm	>	<	N			1	1		
CAFPRUPCHW	11	trn	>	<	N			1	1		
CPHREALLTW	2	ticker	<strong>	</strong>	C				1		
CPHREALLTW	5	ftrd	>	<	D				1		
CPHREALLTW	6	ipo_shli	>	<	N			1	1		
CPHREALLTW	8	shou	>	<	N			1	1		
CPHREALLTW	10	shli	>	<	N			1	1		
EXCPRHSXHHO	1	ticker	>	<	C				2		
EXCPRHSXHHO	2	pref	>	<	N			1000	2		
EXCPRHSXHHO	3	popn	>	<	N			1000	2		
EXCPRHSXHHO	4	pcls	>	<	N			1000	2		
EXCPRHSXHHO	7	plow	>	<	N			1000	2		
EXCPRHSXHHO	8	phgh	>	<	N			1000	2		
EXCPRHSXHHO	9	pavg	>	<	N			1000	2		
EXCPRHSXHHO	10	vlm	>	<	N			1	2		
EXCPRHSXHHO	11	trn	>	<	N			1000	2		
VSTREALLTW	2	ipo	>	<	D				4		
VSTREALLTW	3	ftrd_cls	>	<	N			1	4		
VSTREALLTW	4	ipo_shli	>	<	N			1	4		
VSTREALLTW	5	shli	>	<	N			1	4		
VSTREALLTW	6	shou	>	<	N			1	4		
VSTSTATHM	1	date	>	<	D				1		
VSTSTATHM	2	shli	>	<	N			1	1		
VSTSTATHM	3	shou	>	<	N			1	1		
VSTSTATHM	5	trn	>	<	N			1000000	1		Rounded
VSTSTATHM	7	phgh	>	<	N			1	1		
VSTSTATHM	8	plow	>	<	N			1	1		
VSTSTATHM	9	pavg	>	<	N			1	1		
VSTSTATHM	10	adj_pcls	>	<	N			1	1		
VSTSTATHM	14	vlm	>	<	N			1	1		
EXCPRUPCHH	2	ticker	>	<	C				2		
EXCPRUPCHH	3	pref	>	<	N			1000	1		
EXCPRUPCHH	4	pcei	>	<	N			1000	1		
EXCPRUPCHH	5	pflr	>	<	N			1000	1		
EXCPRUPCHH	6	popn	>	<	N			1000	1		
EXCPRUPCHH	7	pcls	>	<	N			1000	1		
EXCPRUPCHH	8	phgh	>	<	N			1	1		
EXCPRUPCHH	9	plow	>	<	N			1	1		
EXCPRUPCHH	10	pavg	>	<	N			1	1		
EXCPRUPCHH	14	vlm	>	<	N			1	1		
EXCPRUPCHH	15	trn	>	<	N			1	1		
CPHDIVCASTW	2	ticker	>	<	C				3		
CPHDIVCASTW	3	pay_method	>	<	C				1		
CPHDIVCASTW	4	date_ex	>	<	D				1		
CPHDIVCASTW	5	date_pay	>	<	D				1		
CPHDIVCASTW	7	dividend	<strong>	 đồng/cổ	N			1	1		
CPHDIVCASTW	7	price_exd	ngày GDKHQ:</strong>		N			1	2		
VSTPRHNXHH	2	ticker	>	<	C				2		
VSTPRHNXHH	3	shli	>	<	N			1	1		
VSTPRHNXHH	4	pref	>	<	N			1	1		
VSTPRHNXHH	5	popn	>	<	N			1	1		
VSTPRHNXHH	6	pcls	>	<	N			1	1		
VSTPRHNXHH	10	phgh	>	<	N			1	1		
VSTPRHNXHH	11	plow	>	<	N			1	1		
VSTPRHNXHH	12	pavg	>	<	N			1	1		
VSTPRHNXHH	13	vlm	>	<	N			1	1		
VSTPRHNXHH	14	trn	>	<	N			1	1		
VSTPRHSXHH	2	ticker	>	<	C				2		
VSTPRHSXHH	3	shli	>	<	N			1	1		
VSTPRHSXHH	4	pref	>	<	N			1	1		
VSTPRHSXHH	9	pcls	>	<	N			1	1		
VSTPRHSXHH	16	vlm	>	<	N			1	1		
VSTPRHSXHH	17	trn	>	<	N			1000000	1		
STBALLTW	1	name	>	<	C				1		
STBALLTW	2	own_pos	>	<	C				1		
STBALLTW	3	own_shares	>	<	N			1	1		
STBALLTW	4	own_perc	>	<	C				1		
STBALLTW	5	dateupd	>	<	D				1		
CAFPRHSXTW	1	ticker	>	<	C				2		
CAFPRHSXTW	2	pcls	>	<	N			1000	1		
CAFPRHSXTW	6	pref	>	<	N			1000	1		
CAFPRHSXTW	7	popn	>	<	N			1000	1		
CAFPRHSXTW	8	phgh	>	<	N			1000	1		
CAFPRHSXTW	9	plow	>	<	N			1000	1		
CAFPRHSXTW	10	vlm	>	<	N			1	1		
CAFPRHSXTW	11	trn	>	<	N			1	1		
CAFPRHNXTW	1	ticker	>	<	C				2		
CAFPRHNXTW	2	pcls	>	<	N			1000	1		
CAFPRHNXTW	3	pavg	>	<	N			1000	1		
CAFPRHNXTW	6	pref	>	<	N			1000	1		
CAFPRHNXTW	7	popn	>	<	N			1000	1		
CAFPRHNXTW	8	phgh	>	<	N			1000	1		
CAFPRHNXTW	9	plow	>	<	N			1000	1		
CAFPRHNXTW	10	vlm	>	<	N			1	1		
CAFPRHNXTW	11	trn	>	<	N			1	1		
CAFPRUPCTW	1	ticker	>	<	C				2		
CAFPRUPCTW	2	pcls	>	<	N			1000	1		
CAFPRUPCTW	3	pavg	>	<	N			1000	1		
CAFPRUPCTW	6	pref	>	<	N			1000	1		
CAFPRUPCTW	7	popn	>	<	N			1000	1		
CAFPRUPCTW	8	phgh	>	<	N			1000	1		
CAFPRUPCTW	9	plow	>	<	N			1000	1		
CAFPRUPCTW	10	vlm	>	<	N			1	1		
CAFPRUPCTW	11	trn	>	<	N			1	1		
CPHALLTW	2	name	>	<	C				1		
CPHALLTW	3	own_shares	>	<	N			1	1		
CPHALLTW	4	own_perc	>	<	C				1		
CPHALLTW	5	dateupd	>	<	D				1		
CAFALLTW	1	ticker	>	<	C				3		
CAFALLTW	2	name	>	<	C				2		
CAFALLTW	6	own_shbeg	>	<	N			1	1		
CAFALLTW	7	own_dbuy	>	<	N			1	1		
CAFALLTW	8	own_dsell	>	<	N			1	1		
CAFALLTW	9	own_dstart	>	<	C				1		
CAFALLTW	10	own_dend	>	<	C				1		
CAFALLTW	11	own_ebuy	>	<	N			1	1		
CAFALLTW	12	own_esell	>	<	N			1	1		
CAFALLTW	13	dateeff	>	<	D				1		
CAFALLTW	14	own_shend	>	<	N			1	1		
CAFALLTW	15	own_dwgt	>	<	C				1		
FPTDIVHW	1	ticker	>	<	C				1		
