id	IDX_CODE	IDX_NAME	IDX_CURR	IDX_BASE	IDX_TYPE	IDX_MOTHER	IDX_DIVISOR	IDX_MCAP	IDX_LAST	DATES	TIMES	RECORDS	CALCULS	PUBLICATIONS	IDX_PLAST	IDX_DCAP	TO_ADJUST	IDX_MCAP_NXT	IDX_DIVISOR_NXT	IDX_BBS	IDX_CONV	IDX_PCLOSE	NXT_DATE
20014	VNXHSXPRVND	VNX ALLSHARE HSX 	VND	1000	P	VNXHSXPRVND	25000000000000.000000	44040484805400.000000	1761.619392	2012/09/13	0:00:00	11	1	0		778523696000.000000	0	  	  	Benchmark	1.000000	1708.019	
20015	VNXHSXPRUSD	VNX ALLSHARE HSX (USD)	USD	1000	P	VNXHSXPRVND	1190476190.476190	2011899717.012330	1689.995762	2012/09/13	0:00:00	11	1	0		35565267.062586	0	  	  	Benchmark	21890.000000	1784.47	
20016	VNXHSXPRJPY	VNX ALLSHARE HSX (JPY)	JPY	1000	P	VNXHSXPRVND	94339622641.509400	156171931934.043000	1655.422479	2012/09/13	0:00:00	11	1	0		2760722326.241130	0	  	  	Benchmark	282.000000	1606.604	
20017	VNXHSXPREUR	VNX ALLSHARE HSX (EUR)	EUR	1000	P	VNXHSXPRVND	862068965.517241	1477339155.141710	1713.713420	2012/09/13	0:00:00	11	1	0		26115596.692192	0	  	  	Benchmark	29810.680000	1677.507	
20018	VNXHSXTRVND	VNX ALLSHARE HSX TR 	VND	1000	R	VNXHSXPRVND	25000000000000.000000	44040484805400.000000	2204.473459	2012/09/13	0:00:00	11	1	0		778523696000.000000	0	  	  	Benchmark	1.000000	2100.271	
20019	VNXHSXTRUSD	VNX ALLSHARE HSX TR (USD)	USD	1000	R	VNXHSXPRVND	1190476190476.190000	2011899717.012330	1492.914856	2012/09/13	0:00:00	11	1	0		35565267.062586	0	  	  	Benchmark	21890.000000	1576.344	
20020	VNXHSXTRJPY	VNX ALLSHARE HSX TR (JPY)	JPY	1000	R	VNXHSXPRVND	94339622641.509400	156171931934.043000	1765.413711	2012/09/13	0:00:00	11	1	0		2760722326.241130	0	  	  	Benchmark	282.000000	1683.59	
20021	VNXHSXTREUR	VNX ALLSHARE HSX TR (EUR)	EUR	1000	R	VNXHSXPRVND	862068965517.241000	1477339155.141710	1985.579621	2012/09/13	0:00:00	11	1	0		26115596.692192	0	  	  	Benchmark	29810.680000	1943.595	
20022	VNXHNXPRVND	VNX ALLSHARE HNX 	VND	1000	P	VNXHNXPRVND	8000000000000.000000	8168944913000.000000	1021.118114	2012/09/13	0:00:00	15	1	0		71809560000.000000	0	  	  	Benchmark	1.000000	1031.442	
20023	VNXHNXPRUSD	VNX ALLSHARE HNX (USD)	USD	1000	P	VNXHNXPRVND	380952380.952381	373181585.792599	979.601663	2012/09/13	0:00:00	15	1	0		3280473.275468	0	  	  	Benchmark	21890.000000	979.6017	
20024	VNXHNXPRJPY	VNX ALLSHARE HNX (JPY)	JPY	1000	P	VNXHNXPRVND	30188679245.283000	28967889762.411300	959.561348	2012/09/13	0:00:00	15	1	0		254643829.787234	0	  	  	Benchmark	282.000000	911.1447	
20025	VNXHNXPREUR	VNX ALLSHARE HNX (EUR)	EUR	1000	P	VNXHNXPRVND	275862068.965517	274027459.722489	993.349541	2012/09/13	0:00:00	15	1	0		2408853.471306	0	  	  	Benchmark	29810.680000	972.7445	
20026	VNXHNXTRVND	VNX ALLSHARE HNX TR 	VND	1000	R	VNXHNXPRVND	8000000000000.000000	8168944913000.000000	1118.021273	2012/09/13	0:00:00	15	1	0		71809560000.000000	0	  	  	Benchmark	1.000000	1119.484	
20027	VNXHNXTRUSD	VNX ALLSHARE HNX TR (USD)	USD	1000	R	VNXHNXPRVND	380952380952.381000	373181585.792599	1010.071841	2012/09/13	0:00:00	15	1	0		3280473.275468	0	  	  	Benchmark	21890.000000	1010.063	
20028	VNXHNXTRJPY	VNX ALLSHARE HNX TR (JPY)	JPY	1000	R	VNXHNXPRVND	30188679245.283000	28967889762.411300	1058.859856	2012/09/13	0:00:00	15	1	0		254643829.787234	0	  	  	Benchmark	282.000000	996.6716	
20029	VNXHNXTREUR	VNX ALLSHARE HNX TR (EUR)	EUR	1000	R	VNXHNXPRVND	275862068965.517000	274027459.722489	1149.869635	2012/09/13	0:00:00	15	1	0		2408853.471306	0	  	  	Benchmark	29810.680000	1126.008	
20030	VNXBMPRVND	VNX BASIC MATERIALS 	VND	1000	P	VNXBMPRVND	10000000000000.000000	14803791408000.000000	1480.379141	2012/09/13	0:00:00	1	1	0		528706836000.000000	0	  	  	Sectors	1.000000	1558.712	
20031	VNXBMPRUSD	VNX BASIC MATERIALS (USD)	USD	1000	P	VNXBMPRVND	476190476.190476	676281014.527181	1420.190131	2012/09/13	0:00:00	1	1	0		24152893.375971	0	  	  	Sectors	21890.000000	1362.596	
20032	VNXBMPRJPY	VNX BASIC MATERIALS (JPY)	JPY	1000	P	VNXBMPRVND	37735849056.603800	52495714212.766000	1391.136427	2012/09/13	0:00:00	1	1	0		1874846936.170210	0	  	  	Sectors	282.000000	1421.253	
20033	VNXBMPREUR	VNX BASIC MATERIALS (EUR)	EUR	1000	P	VNXBMPRVND	344827586.206897	496593549.962631	1440.121295	2012/09/13	0:00:00	1	1	0		17735483.927237	0	  	  	Sectors	29810.680000	1523.53	
20034	VNXCSPRVND	VNX CONSUMER SERVICES 	VND	1000	P	VNXCSPRVND	10000000000000.000000	788158560000.000000	78.815856	2012/09/13	0:00:00	1	1	0		105556950000.000000	0	  	  	Sectors	1.000000	80.58443	
20035	VNXCSPRUSD	VNX CONSUMER SERVICES (USD)	USD	1000	P	VNXCSPRVND	476190476.190476	36005416.171768	75.611374	2012/09/13	0:00:00	1	1	0		4822153.951576	0	  	  	Sectors	21890.000000	75.61137	
20036	VNXCSPRJPY	VNX CONSUMER SERVICES (JPY)	JPY	1000	P	VNXCSPRVND	37735849056.603800	2794888510.638300	74.064546	2012/09/13	0:00:00	1	1	0		374315425.531915	0	  	  	Sectors	282.000000	75.57809	
20037	VNXCSPREUR	VNX CONSUMER SERVICES (EUR)	EUR	1000	P	VNXCSPRVND	344827586.206897	26438798.444048	76.672515	2012/09/13	0:00:00	1	1	0		3540910.505899	0	  	  	Sectors	29810.680000	80.0805	
20038	VNXFIPRVND	VNX FINANCIALS 	VND	1000	P	VNXFIPRVND	10000000000000.000000	10683771510000.000000	1068.377151	2012/09/13	0:00:00	5	1	0		50000000000.000000	0	  	  	Sectors	1.000000	1090.766	
20039	VNXFIPRUSD	VNX FINANCIALS (USD)	USD	1000	P	VNXFIPRVND	476190476.190476	488066309.273641	1024.939249	2012/09/13	0:00:00	5	1	0		2284148.012791	0	  	  	Sectors	21890.000000	992.3158	
20040	VNXFIPRJPY	VNX FINANCIALS (JPY)	JPY	1000	P	VNXFIPRVND	37735849056.603800	37885714574.468100	1003.971436	2012/09/13	0:00:00	5	1	0		177304964.539007	0	  	  	Sectors	282.000000	983.5947	
20041	VNXFIPREUR	VNX FINANCIALS (EUR)	EUR	1000	P	VNXFIPRVND	344827586.206897	358387380.294579	1039.323403	2012/09/13	0:00:00	5	1	0		1677251.240160	0	  	  	Sectors	29810.680000	1072.052	
20042	VNXINPRVND	VNX INDUSTRIALS 	VND	1000	P	VNXINPRVND	10000000000000.000000	12555633734400.000000	1255.563373	2012/09/13	0:00:00	15	1	0		461428473000.000000	0	  	  	Sectors	1.000000	1216.447	
20043	VNXINPRUSD	VNX INDUSTRIALS (USD)	USD	1000	P	VNXINPRVND	476190476.190476	573578516.875286	1204.514885	2012/09/13	0:00:00	15	1	0		21079418.592965	0	  	  	Sectors	21890.000000	1204.515	
20044	VNXINPRJPY	VNX INDUSTRIALS (JPY)	JPY	1000	P	VNXINPRVND	37735849056.603800	44523523880.851100	1179.873383	2012/09/13	0:00:00	15	1	0		1636271180.851060	0	  	  	Sectors	282.000000	1143.17	
20045	VNXINPREUR	VNX INDUSTRIALS (EUR)	EUR	1000	P	VNXINPRVND	344827586.206897	421179045.040234	1221.419231	2012/09/13	0:00:00	15	1	0		15478629.571684	0	  	  	Sectors	29810.680000	1221.419	
20046	VNXOGPRVND	VNX OIL & GAS 	VND	1000	P	VNXOGPRVND	10000000000000.000000	13957715385000.000000	1395.771539	2012/09/13	0:00:00	5	1	0		700764606800.000000	0	  	  	Sectors	1.000000	1469.969	
20047	VNXOGPRUSD	VNX OIL & GAS (USD)	USD	1000	P	VNXOGPRVND	476190476.190476	637629757.195066	1339.022490	2012/09/13	0:00:00	5	1	0		32013001.681133	0	  	  	Sectors	21890.000000	1368.028	
20048	VNXOGPRJPY	VNX OIL & GAS (JPY)	JPY	1000	P	VNXOGPRVND	37735849056.603800	49495444627.659600	1311.629283	2012/09/13	0:00:00	5	1	0		2484980875.177300	0	  	  	Sectors	282.000000	1285.165	
20049	VNXOGPREUR	VNX OIL & GAS (EUR)	EUR	1000	P	VNXOGPRVND	344827586.206897	468211908.785710	1357.814535	2012/09/13	0:00:00	5	1	0		23507166.116305	0	  	  	Sectors	29810.680000	1420.125	
20050	VNXUTPRVND	VNX UTILITIES 	VND	1000	P	VNXUTPRVND	10000000000000.000000	2957227000000.000000	295.722700	2012/09/13	0:00:00	3	1	0		0.000000	0	  	  	Sectors	1.000000	295.7227	
20051	VNXUTPRUSD	VNX UTILITIES (USD)	USD	1000	P	VNXUTPRVND	476190476.190476	135094883.508451	283.699255	2012/09/13	0:00:00	3	1	0		0.000000	0	  	  	Sectors	21890.000000	275.3085	
20052	VNXUTPRJPY	VNX UTILITIES (JPY)	JPY	1000	P	VNXUTPRVND	37735849056.603800	10486620567.375900	277.895445	2012/09/13	0:00:00	3	1	0		0.000000	0	  	  	Sectors	282.000000	283.6662	
20053	VNXUTPREUR	VNX UTILITIES TR (EUR)	EUR	1000	P	VNXUTPRVND	344827586.206897	99200253.063667	287.680734	2012/09/13	0:00:00	3	1	0		0.000000	0	  	  	Sectors	29810.680000	304.0792	
20054	VNXBMTRVND	VNX BASIC MATERIALS TR 	VND	1000	R	VNXBMPRVND	10000000000000.000000	14803791408000.000000	1572.083919	2012/09/13	0:00:00	1	1	0		528706836000.000000	0	  	  	Sectors	1.000000	1598.191	
20055	VNXBMTRUSD	VNX BASIC MATERIALS TR (USD)	USD	1000	R	VNXBMPRVND	476190476190.476000	676281014.527181	1414.090209	2012/09/13	0:00:00	1	1	0		24152893.375971	0	  	  	Sectors	21890.000000	1356.695	
20056	VNXBMTRJPY	VNX BASIC MATERIALS TR (JPY)	JPY	1000	R	VNXBMPRVND	37735849056.603800	52495714212.766000	1689.963331	2012/09/13	0:00:00	1	1	0		1874846936.170210	0	  	  	Sectors	282.000000	1667.013	
20057	VNXBMTREUR	VNX BASIC MATERIALS TR (EUR)	EUR	1000	R	VNXBMPRVND	344827586206.897000	496593549.962631	1356.292708	2012/09/13	0:00:00	1	1	0		17735483.927237	0	  	  	Sectors	29810.680000	1434.795	
20058	VNXCSTRVND	VNX CONSUMER SERVICES TR 	VND	1000	R	VNXCSPRVND	10000000000000.000000	788158560000.000000	115.685213	2012/09/13	0:00:00	1	1	0		105556950000.000000	0	  	  	Sectors	1.000000	104.3109	
20059	VNXCSTRUSD	VNX CONSUMER SERVICES TR (USD)	USD	1000	R	VNXCSPRVND	476190476190.476000	36005416.171768	69.269660	2012/09/13	0:00:00	1	1	0		4822153.951576	0	  	  	Sectors	21890.000000	69.26038	
20060	VNXCSTRJPY	VNX CONSUMER SERVICES TR (JPY)	JPY	1000	R	VNXCSPRVND	37735849056.603800	2794888510.638300	103.212782	2012/09/13	0:00:00	1	1	0		374315425.531915	0	  	  	Sectors	282.000000	92.88238	
20061	VNXCSTREUR	VNX CONSUMER SERVICES TR (EUR)	EUR	1000	R	VNXCSPRVND	344827586206.897000	26438798.444048	78.735702	2012/09/13	0:00:00	1	1	0		3540910.505899	0	  	  	Sectors	29810.680000	82.22438	
20062	VNXFITRVND	VNX FINANCIALS TR 	VND	1000	R	VNXFIPRVND	10000000000000.000000	10683771510000.000000	927.580082	2012/09/13	0:00:00	5	1	0		50000000000.000000	0	  	  	Sectors	1.000000	942.607	
20063	VNXFITRUSD	VNX FINANCIALS TR (USD)	USD	1000	R	VNXFIPRVND	476190476190.476000	488066309.273641	964.580110	2012/09/13	0:00:00	5	1	0		2284148.012791	0	  	  	Sectors	21890.000000	933.8735	
20064	VNXFITRJPY	VNX FINANCIALS TR (JPY)	JPY	1000	R	VNXFIPRVND	37735849056.603800	37885714574.468100	1052.719375	2012/09/13	0:00:00	5	1	0		177304964.539007	0	  	  	Sectors	282.000000	1026.549	
20065	VNXFITREUR	VNX FINANCIALS TR (EUR)	EUR	1000	R	VNXFIPRVND	344827586206.897000	358387380.294579	987.535971	2012/09/13	0:00:00	5	1	0		1677251.240160	0	  	  	Sectors	29810.680000	1018.629	
20066	VNXINTRVND	VNX INDUSTRIALS TR 	VND	1000	R	VNXINPRVND	10000000000000.000000	12555633734400.000000	1457.781872	2012/09/13	0:00:00	15	1	0		461428473000.000000	0	  	  	Sectors	1.000000	1362.3	
20067	VNXINTRUSD	VNX INDUSTRIALS TR (USD)	USD	1000	R	VNXINPRVND	476190476190.476000	573578516.875286	1131.793485	2012/09/13	0:00:00	15	1	0		21079418.592965	0	  	  	Sectors	21890.000000	1131.752	
20068	VNXINTRJPY	VNX INDUSTRIALS TR (JPY)	JPY	1000	R	VNXINPRVND	37735849056.603800	44523523880.851100	1403.158135	2012/09/13	0:00:00	15	1	0		1636271180.851060	0	  	  	Sectors	282.000000	1311.317	
20069	VNXINTREUR	VNX INDUSTRIALS TR (EUR)	EUR	1000	R	VNXINPRVND	344827586206.897000	421179045.040234	1111.789067	2012/09/13	0:00:00	15	1	0		15478629.571684	0	  	  	Sectors	29810.680000	1111.748	
20070	VNXOGTRVND	VNX OIL & GAS TR 	VND	1000	R	VNXOGPRVND	10000000000000.000000	13957715385000.000000	1627.273178	2012/09/13	0:00:00	5	1	0		700764606800.000000	0	  	  	Sectors	1.000000	1631.848	
20071	VNXOGTRUSD	VNX OIL & GAS TR (USD)	USD	1000	R	VNXOGPRVND	476190476190.476000	637629757.195066	1416.451889	2012/09/13	0:00:00	5	1	0		32013001.681133	0	  	  	Sectors	21890.000000	1447.062	
20072	VNXOGTRJPY	VNX OIL & GAS TR (JPY)	JPY	1000	R	VNXOGPRVND	37735849056.603800	49495444627.659600	1726.787114	2012/09/13	0:00:00	5	1	0		2484980875.177300	0	  	  	Sectors	282.000000	1611.061	
20073	VNXOGTREUR	VNX OIL & GAS TR (EUR)	EUR	1000	R	VNXOGPRVND	344827586206.897000	468211908.785710	1407.667675	2012/09/13	0:00:00	5	1	0		23507166.116305	0	  	  	Sectors	29810.680000	1472.192	
20074	VNXUTTRVND	VNX UTILITIES TR 	VND	1000	R	VNXUTPRVND	10000000000000.000000	2957227000000.000000	293.877700	2012/09/13	0:00:00	3	1	0		0.000000	0	  	  	Sectors	1.000000	293.8777	
20075	VNXUTTRUSD	VNX UTILITIES TR (USD)	USD	1000	R	VNXUTPRVND	476190476190.476000	135094883.508451	318.256014	2012/09/13	0:00:00	3	1	0		0.000000	0	  	  	Sectors	21890.000000	308.8432	
20076	VNXUTTRJPY	VNX UTILITIES TR (JPY)	JPY	1000	R	VNXUTPRVND	37735849056.603800	10486620567.375900	244.275690	2012/09/13	0:00:00	3	1	0		0.000000	0	  	  	Sectors	282.000000	249.3483	
20077	VNXUTTREUR	VNX UTILITIES (EUR)	EUR	1000	R	VNXUTPRVND	344827586206.897000	99200253.063667	274.751434	2012/09/13	0:00:00	3	1	0		0.000000	0	  	  	Sectors	29810.680000	290.4129	
